chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁车公庄西703米,押2付3,6500,底层/3层,60,百万庄生肖区,简装
整租,距离地铁六里桥东1335米,押1付3,8300,高楼层/31层,100,茗筑,精装
整租,距离地铁达官营803米,押2付3,5800,高楼层/6层,60,天宁寺西里,精装
整租,距离地铁白堆子914米,押1付3,6300,低楼层/6层,45,物资部大院,精装
整租,距离地铁车公庄545米,押2付3,7500,高楼层/16层,39,官苑八号,精装
整租,距离地铁车公庄西232米,押1付3,16000,高楼层/18层,119.8,车公庄中里,精装
整租,距离地铁菜市口589米,押2付3,10500,高楼层/21层,88.5,中信锦园,精装
整租,距离地铁积水潭1390米,押2付3,4700,低楼层/6层,60,新风南里,中装
整租,距离地铁西单659米,押2付3,7800,高楼层/6层,45,京畿道,精装
整租,距离地铁广安门内377米,押2付3,6500,底层/6层,60,白广路二条,中装
整租,距离地铁安华桥765米,押1付3,12500,低楼层/19层,98.05,阳光丽景,精装
整租,距离地铁广安门内487米,押2付3,5500,中楼层/6层,50,下斜街,精装
整租,距离地铁积水潭1436米,押2付3,4500,中楼层/5层,35,新风街,中装
合租,距离地铁广安门内603米,押1付3,3400,低楼层/5层,16,长椿里,中装
整租,距离地铁长椿街504米,押2付3,9000,中楼层/18层,68,新文化街,中装
整租,距离地铁和平门441米,押2付3,9000,低楼层/6层,64,和平门厂甸,精装
整租,距离地铁达官营989米,押2付3,4000,高楼层/28层,40,京铁和园,精装
整租,距离地铁陶然亭1466米,押2付3,7000,中楼层/6层,65,右内西街甲10号院,精装
整租,距离地铁湾子1036米,押1付3,9300,中楼层/13层,98.84,信和嘉园,精装
整租,距离地铁陶然亭812米,押2付3,7000,低楼层/6层,75,育人里小区,中装
整租,距离地铁阜成门374米,押1付3,6500,高楼层/13层,39.7,阜成门北大街15号,精装
整租,距离地铁南礼士路546米,押1付3,10000,底层/6层,75,铁四区,简装
整租,距离地铁阜成门936米,押2付3,6500,中楼层/6层,60,月坛北小街,精装
整租,距离地铁南礼士路476米,押2付3,8500,中楼层/4层,50,地藏庵,精装
整租,距离地铁平安里692米,押2付3,8000,顶层/5层,65,富国里,中装
整租,距离地铁阜成门919米,押2付3,18000,中楼层/31层,108.48,南礼士路46号院,精装
整租,距离地铁菜市口419米,押1付6,8800,低楼层/21层,66,中信沁园,精装
整租,距离地铁复兴门673米,押1付3,28000,低楼层/13层,134.79,金宸公寓,精装
整租,距离地铁安德里北街1473米,押2付3,8800,低楼层/21层,80,新风街1号院,精装
随时看房,距离地铁灵境胡同585米,押2付12,37500,高楼层/11层,180,丰汇园小区,集中供暖
整租,距离地铁积水潭404米,押2付3,18000,高楼层/7层,150.17,观河锦苑,中装
整租,距离地铁南礼士路546米,押1付3,12000,低楼层/6层,90,铁四区,中装
整租,距离地铁西单416米,押1付3,8500,低楼层/6层,60,西单北安里,精装
整租,距离地铁长椿街504米,押2付3,6400,高楼层/6层,40.9,新文化街,精装
合租,距离地铁湾子268米,押2付3,2000,高楼层/6层,15,马连道北里,中装
整租,距离地铁安德里北街775米,押2付3,6500,顶层/7层,65,黄寺大街24号院,中装
整租,距离地铁南礼士路840米,押2付3,6800,顶层/16层,62.17,西便门东里,中装
整租,距离地铁南礼士路840米,押1付3,7000,高楼层/16层,65,西便门东里,中装
整租,距离地铁安德里北街959米,押1付3,6500,高楼层/6层,50.8,人定湖西里,中装
整租,距离地铁积水潭993米,押1付3,6200,低楼层/5层,57.2,德胜里一区,中装
整租,,押2付3,4500,高楼层/28层,43.54,欧园,精装
整租,距离地铁阜成门1014米,押2付3,8400,中楼层/6层,58,月坛西街西里,精装
整租,,押2付3,7000,顶层/6层,65,新街口外大街甲8号院,精装
整租,距离地铁长椿街504米,押2付3,10000,低楼层/16层,60,新文化街,精装
整租,距离地铁安德里北街1124米,押2付3,13000,低楼层/19层,98.54,德胜君玺,精装
整租,距离地铁菜市口589米,押1付3,11500,低楼层/21层,88.48,中信锦园,精装
整租,,押1付3,4500,中楼层/24层,45,乐城,精装
整租,距离地铁灵境胡同491米,押2付3,10000,底层/6层,59.8,大木仓胡同,精装
整租,距离地铁西直门437米,押1付3,6200,低楼层/6层,47.4,前半壁街,中装
整租,距离地铁长椿街479米,押2付3,13000,中楼层/18层,76,佟麟阁路62号院,中装
整租,距离地铁长椿街479米,押2付3,8000,高楼层/16层,49.9,佟麟阁路62号院,精装
整租,距离地铁达官营487米,押1付3,8000,中楼层/17层,78,远见名苑,精装
整租,距离地铁鼓楼大街198米,押2付3,6000,顶层/5层,40.2,小石桥胡同3号院,精装
整租,距离地铁车公庄545米,押1付6,7500,低楼层/16层,40,官苑八号,精装
整租,距离地铁长椿街242米,押2付3,6000,顶层/5层,55,长椿街西里,简装
整租,距离地铁长椿街430米,押2付3,12000,低楼层/16层,100,相来家园,精装
整租,距离地铁积水潭1390米,押2付3,4800,低楼层/6层,47,新风南里,精装
