chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁永安里643米,押2付3,9500,中楼层/30层,87,东方瑞景,精装
整租,距离地铁黄渠880米,押2付3,6200,中楼层/11层,70.52,柏林爱乐三期,精装
整租,距离地铁阜通1016米,押2付3,6700,顶层/6层,65.32,花家地西里一区,中装
整租,距离地铁芍药居760米,押2付3,7000,中楼层/20层,94.87,芍药居北里三区,精装
整租,距离地铁安华桥474米,押2付3,6900,高楼层/11层,65.55,安华西里二区,中装
整租,距离地铁芍药居116米,押2付3,6000,低楼层/18层,45.4,芍药居,精装
整租,距离地铁四惠东327米,押2付3,9800,中楼层/28层,105.54,通惠家园惠民园,精装
整租,距离地铁望京西1102米,押1付1,6500,低楼层/24层,87.65,芍药居北里二区,精装
合租,距离地铁阜通906米,押2付3,2600,顶层/6层,136.6,丽港美度,中装
整租,距离地铁草房315米,押2付3,7000,底层/30层,68.85,金隅丽景园,精装
整租,距离地铁褡裢坡702米,押2付3,4600,高楼层/6层,57.32,定福庄北里1号院,中装
整租,距离地铁望京西760米,押2付3,6500,中楼层/6层,57.29,南湖渠三巷6号院,中装
整租,距离地铁阜通179米,押2付3,18500,低楼层/18层,140.13,里外里公寓,精装
整租,距离地铁永安里508米,押2付3,7500,中楼层/7层,62.35,灵通观,精装
整租,距离地铁和平西桥513米,押1付3,7200,中楼层/16层,53.35,城市出品,精装
整租,距离地铁望京南529米,押1付3,13000,底层/6层,57.37,中环南路3号院,简装
合租,距离地铁朝阳公园522米,押2付3,3200,顶层/6层,18,团结湖北五条,精装
整租,距离地铁芍药居582米,押2付3,13500,低楼层/14层,136.41,芍药居36号,精装
合租,距离地铁望京西1102米,押1付1,2500,中楼层/24层,117.07,芍药居北里二区,精装
整租,距离地铁阜通793米,押2付3,7000,高楼层/20层,63.55,花家地北里,精装
合租,距离地铁东湖渠348米,押1付3,2500,中楼层/24层,106.98,利泽西园,精装
整租,距离地铁东湖渠348米,押1付3,9000,高楼层/16层,109.64,利泽西园,中装
整租,距离地铁望京西1102米,押1付3,7000,中楼层/24层,85.52,芍药居北里二区,精装
合租,距离地铁阜通978米,押2付3,3200,低楼层/4层,70.94,花家地西里三区,精装
合租,距离地铁望京东553米,押1付3,3200,低楼层/12层,127.26,慧谷阳光,精装
整租,距离地铁阜通1016米,押2付3,7200,中楼层/15层,68.5,花家地西里一区,精装
整租,距离地铁望京东450米,押1付3,7300,低楼层/24层,73.76,宝星国际,精装
整租,距离地铁望京555米,押1付3,13800,高楼层/20层,128.68,望京新城,精装
整租,距离地铁阜通604米,押2付3,24000,中楼层/27层,130.22,金石美苑,精装
整租,距离地铁望京西1102米,押1付3,8200,高楼层/24层,90.03,芍药居北里二区,中装
整租,,押1付3,11000,中楼层/26层,96.93,方舟苑,精装
整租,距离地铁百子湾867米,押1付3,7200,低楼层/8层,69.62,沿海赛洛城七期,精装
整租,距离地铁望京521米,押2付3,12000,底层/24层,87.33,望京西园三区,精装
整租,距离地铁双井346米,押2付3,6500,中楼层/21层,34.64,时代国际,精装
合租,距离地铁阜通1016米,押2付3,2600,低楼层/6层,20,花家地西里一区,精装
整租,距离地铁惠新西街南口388米,押1付3,8800,中楼层/16层,69.58,富仁名苑,精装
整租,距离地铁和平西桥404米,押2付3,11000,底层/6层,64.48,胜古南里,精装
整租,距离地铁传媒大学1006米,押1付3,4000,底层/6层,60,金星小区,精装
整租,距离地铁望京509米,押2付3,8500,低楼层/6层,80,南湖东园一区,中装
整租,距离地铁惠新西街南口487米,押2付3,5500,中楼层/14层,53,小关北里,中装
整租,距离地铁阜通129米,押2付3,7500,高楼层/14层,70.26,望京路3号院,精装
整租,距离地铁朝阳公园717米,押2付3,9000,中楼层/6层,70,六里屯西里,精装
整租,距离地铁青年路854米,押2付3,14000,中楼层/12层,139,华纺易城,精装
整租,距离地铁阜通604米,押1付3,13000,高楼层/27层,93.36,金石美苑,精装
整租,距离地铁惠新西街南口208米,押2付3,19000,低楼层/17层,87.29,惠新西街33号院,豪装
整租,距离地铁东湖渠785米,押2付3,11000,高楼层/26层,120.19,望京花园东区,精装
整租,距离地铁朝阳门920米,押2付3,10000,中楼层/6层,71,雅宝里,精装
合租,距离地铁望京248米,押2付3,3200,高楼层/20层,20,南湖东园二区,精装
整租,距离地铁柳芳829米,押1付3,5000,底层/6层,45,左家庄北里,中装
整租,距离地铁南楼梓庄619米,押2付3,6600,中楼层/11层,90,世纪东方城,中装
整租,距离地铁百子湾1073米,押2付3,6700,中楼层/25层,70.15,沿海赛洛城五期,精装
整租,距离地铁常营892米,押2付3,7500,低楼层/22层,94.92,柏林爱乐二期,精装
整租,距离地铁金台路250米,押2付3,4800,顶层/6层,36.36,延静里,中装
