chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁安德里北街924米,押1付3,7200,低楼层/18层,60,青年湖北里,精装
整租,距离地铁鼓楼大街549米,押1付3,7800,低楼层/6层,54,六铺炕,豪装
整租,距离地铁鼓楼大街609米,押2付3,12000,低楼层/28层,96,巷上嘉园,精装
整租,距离地铁安定门703米,押1付3,4800,低楼层/6层,36.7,安德路47号院,简装
整租,距离地铁鼓楼大街609米,押1付3,8500,低楼层/6层,75,安德路55号院,中装
整租,距离地铁和平里北街827米,押1付3,17000,高楼层/21层,106,盛德紫阙,精装
整租,距离地铁安定门440米,押1付3,9000,顶层/11层,82,上龙西里,精装
整租,距离地铁安德里北街480米,押2付3,6700,中楼层/6层,60,青年湖南街6号院、11、12、27号楼,中装
整租,距离地铁安定门527米,押2付3,20000,低楼层/14层,205.6,上龙嘉园,精装
整租,距离地铁安定门470米,押1付3,4800,低楼层/17层,40,西营房,中装
整租,距离地铁鼓楼大街410米,押1付3,7000,低楼层/14层,50,安德路乙61号院,简装
整租,距离地铁安德里北街424米,押1付12,9800,中楼层/10层,76.56,湖景苑,中装
合租,距离地铁雍和宫347米,押1付3,3600,中楼层/20层,20,安外东河沿,精装
整租,距离地铁安定门371米,押2付3,16500,底层/7层,111,官书院,中装
整租,距离地铁鼓楼大街549米,押1付3,8200,低楼层/6层,80,六铺炕,豪装
整租,距离地铁安定门845米,押1付3,8000,底层/6层,56,青年湖东里,精装
整租,距离地铁和平里北街827米,押1付3,14000,高楼层/23层,92,盛德紫阙,精装
整租,距离地铁安定门371米,押2付3,18000,高楼层/7层,122.62,官书院,精装
整租,距离地铁鼓楼大街474米,押2付3,7500,中楼层/6层,65,中绦胡同,中装
合租,距离地铁雍和宫347米,押1付3,3300,顶层/16层,20,安外东河沿,中装
整租,距离地铁安定门703米,押1付3,8000,底层/6层,70,安德路47号院,简装
