chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁朝阳门330米,押1付3,13000,中楼层/21层,90,豆瓣胡同,精装
整租,距离地铁朝阳门610米,押2付3,7000,顶层/6层,55,大方家胡同,简装
整租,距离地铁朝阳门330米,押1付3,9000,低楼层/21层,72,豆瓣胡同,精装
整租,距离地铁朝阳门610米,押2付3,7500,中楼层/6层,55,大方家胡同,精装
整租,距离地铁朝阳门431米,押2付3,6000,中楼层/6层,45,仓南胡同12号院,中装
整租,距离地铁朝阳门490米,押2付3,8800,高楼层/17层,75,西水井胡同,简装
整租,距离地铁朝阳门610米,押2付3,8500,中楼层/16层,75,大方家胡同,简装
整租,距离地铁朝阳门490米,押2付3,8500,中楼层/17层,75,西水井胡同,精装
整租,距离地铁朝阳门543米,押2付3,6800,低楼层/6层,55,后芳嘉园胡同,简装
整租,距离地铁朝阳门730米,押1付3,8500,中楼层/6层,68,仓南胡同,精装
整租,距离地铁灯市口783米,押2付3,3000,底层/1层,18,朝内南小街平房,中装
整租,距离地铁灯市口909米,押1付6,9000,中楼层/6层,75,禄米仓胡同,简装
整租,距离地铁朝阳门582米,押1付3,9000,中楼层/6层,72,朝内北小街,精装
整租,距离地铁朝阳门563米,押1付3,9000,高楼层/6层,78,南弓匠营胡同,精装
整租,距离地铁朝阳门582米,押2付3,8500,高楼层/6层,70,朝内北小街,简装
整租,距离地铁朝阳门330米,押1付3,7500,低楼层/21层,50,豆瓣胡同,简装
整租,距离地铁朝阳门490米,押1付3,12500,高楼层/17层,88,西水井胡同,精装
整租,距离地铁灯市口909米,押1付3,9600,中楼层/6层,75,禄米仓胡同,精装
整租,距离地铁朝阳门730米,押1付3,6500,中楼层/4层,52,仓南胡同,精装
整租,距离地铁朝阳门518米,押2付3,9000,高楼层/6层,75,竹杆胡同,精装
整租,距离地铁朝阳门330米,押2付3,8500,中楼层/21层,71,豆瓣胡同,中装
整租,距离地铁东四十条574米,押1付3,8800,中楼层/6层,78,南门仓胡同,中装
整租,距离地铁朝阳门582米,押2付3,10000,中楼层/6层,81,朝内北小街,中装
整租,距离地铁朝阳门582米,押2付3,8300,低楼层/6层,75,朝内北小街,中装
整租,距离地铁朝阳门330米,押1付3,13500,低楼层/21层,87,豆瓣胡同,中装
整租,距离地铁东四十条574米,押1付3,8500,底层/6层,80,南门仓胡同,精装
整租,距离地铁朝阳门420米,押2付3,10000,中楼层/16层,90,南竹竿胡同,豪装
整租,距离地铁朝阳门490米,押2付3,8000,低楼层/17层,75,西水井胡同,精装
整租,距离地铁朝阳门582米,押2付3,14000,底层/6层,126,朝内北小街,中装
整租,距离地铁朝阳门330米,押2付3,7000,中楼层/21层,55,豆瓣胡同,简装
整租,距离地铁朝阳门420米,押2付3,13000,顶层/16层,96,南竹竿胡同,简装
整租,距离地铁朝阳门660米,押2付3,9000,中楼层/6层,77,芳嘉园胡同,精装
整租,距离地铁朝阳门420米,押2付3,13500,低楼层/16层,90,南竹竿胡同,中装
整租,距离地铁朝阳门330米,押1付3,7500,高楼层/10层,55,豆瓣胡同,中装
整租,距离地铁朝阳门582米,押1付3,9500,中楼层/6层,78,朝内北小街,精装
整租,距离地铁朝阳门431米,押1付3,12000,高楼层/6层,61.38,仓南胡同12号院,豪装
整租,距离地铁灯市口909米,押1付3,5800,顶层/6层,48,禄米仓胡同,中装
整租,距离地铁朝阳门563米,押2付3,8600,高楼层/6层,68,南弓匠营胡同,中装
整租,距离地铁东四73米,押1付3,8800,顶层/6层,70,朝阳门内大街,精装
整租,距离地铁朝阳门330米,押1付3,7000,中楼层/10层,55,豆瓣胡同,精装
整租,距离地铁朝阳门330米,押2付3,7000,中楼层/11层,50,豆瓣胡同,简装
整租,距离地铁朝阳门424米,押2付3,25000,顶层/6层,172,烧酒胡同,精装
朝阳门内,距离地铁朝阳门468米,押1付3,6000,底层/6层,113.67,仓南胡同14号院,整租
整租,距离地铁朝阳门543米,押2付3,12000,底层/6层,95,后芳嘉园胡同,简装
整租,距离地铁朝阳门431米,押2付3,9500,顶层/6层,80,仓南胡同12号院,中装
整租,距离地铁朝阳门330米,押1付3,9000,中楼层/21层,72,豆瓣胡同,精装
整租,距离地铁朝阳门431米,押2付3,8600,低楼层/6层,65,仓南胡同12号院,中装
整租,距离地铁朝阳门518米,押1付3,7500,中楼层/6层,55,竹杆胡同,精装
整租,距离地铁朝阳门431米,押2付3,7000,高楼层/6层,62,仓南胡同12号院,精装
整租,距离地铁朝阳门660米,押2付3,8500,中楼层/6层,75,芳嘉园胡同,简装
合租,距离地铁朝阳门518米,押1付3,2800,低楼层/6层,10,竹杆胡同,简装
整租,距离地铁朝阳门610米,押2付3,8700,高楼层/16层,76,大方家胡同,中装
整租,距离地铁朝阳门518米,押2付3,6800,低楼层/6层,55,竹杆胡同,中装
整租,距离地铁朝阳门330米,押1付3,8500,高楼层/21层,83,豆瓣胡同,中装
整租,距离地铁朝阳门731米,押2付3,16000,中楼层/5层,120,大方家胡同36号院,简装
整租,距离地铁朝阳门518米,押1付3,7000,底层/16层,55,竹杆胡同,中装
整租,距离地铁朝阳门330米,押1付3,7500,中楼层/11层,48,豆瓣胡同,精装
朝阳门内,距离地铁朝阳门490米,押1付3,8600,中楼层/17层,74.89,西水井胡同,其他
整租,距离地铁朝阳门610米,押1付3,14500,中楼层/9层,116,大方家胡同,精装
整租,距离地铁朝阳门731米,押1付3,15000,低楼层/5层,113,大方家胡同36号院,精装
整租,距离地铁东四十条634米,押2付3,7600,低楼层/18层,62,东四十条甲34号院,毛坯
朝阳门内,距离地铁灯市口783米,押1付3,9000,高楼层/16层,82,朝内南小街平房,其他
随时看房,距离地铁东四73米,押2付3,8500,低楼层/7层,76.66,朝阳门内大街,自供暖 集中供暖
合租,距离地铁朝阳门518米,押2付3,3500,底层/16层,15,竹杆胡同,中装
朝阳门内,距离地铁东四十条574米,押1付3,9100,中楼层/6层,70,南门仓胡同,其他
朝阳门内,距离地铁东四十条634米,押1付3,6700,高楼层/18层,65,东四十条甲34号院,其他
距离地铁朝阳门730米,距离地铁朝阳门730米,押1付3,5500,中楼层/6层,45,仓南胡同,整租
朝阳门内,距离地铁灯市口909米,押1付3,6200,中楼层/6层,45,禄米仓胡同,其他
整租,距离地铁灯市口909米,押2付3,4200,底层/1层,35,禄米仓胡同,简装
距离地铁朝阳门330米,距离地铁朝阳门330米,押1付3,8500,中楼层/11层,80,豆瓣胡同,整租
朝阳门内,距离地铁朝阳门431米,押1付3,3800,底层/6层,10,仓南胡同12号院,其他
整租,距离地铁朝阳门431米,押2付3,7500,顶层/6层,65,仓南胡同12号院,精装
整租,距离地铁东四十条574米,押2付3,7000,高楼层/6层,65,南门仓胡同,中装
