chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁磁器口517米,押2付3,7000,中楼层/17层,60,新景家园东区,精装
整租,距离地铁磁器口349米,押2付3,27000,高楼层/19层,225,新中驿,中装
整租,距离地铁磁器口517米,押2付3,5200,高楼层/15层,35,新景家园东区,精装
整租,距离地铁磁器口349米,押2付3,13000,高楼层/19层,110,新中驿,精装
整租,距离地铁磁器口492米,押2付3,8000,中楼层/6层,75,都市馨园,精装
整租,距离地铁磁器口492米,押2付3,7500,低楼层/6层,69,都市馨园,精装
整租,距离地铁磁器口376米,押2付3,7000,低楼层/16层,60,新景家园西区,精装
整租,距离地铁磁器口492米,押2付3,6200,底层/6层,53,都市馨园,中装
整租,距离地铁崇文门434米,押2付3,4500,高楼层/16层,25,国瑞城中区,中装
整租,距离地铁磁器口376米,押2付3,7200,高楼层/18层,57.24,新景家园西区,精装
整租,距离地铁崇文门270米,押2付3,17000,中楼层/16层,145.74,国瑞城公寓,精装
合租,距离地铁崇文门434米,押2付3,3000,低楼层/16层,13,国瑞城中区,中装
整租,距离地铁磁器口517米,押1付6,18000,中楼层/15层,154.95,新景家园东区,精装
整租,距离地铁磁器口376米,押2付3,6800,底层/16层,60,新景家园西区,精装
整租,距离地铁磁器口349米,押1付3,12000,高楼层/19层,99.56,新中驿,精装
整租,距离地铁磁器口492米,押2付3,12000,低楼层/7层,51.66,都市馨园,精装
整租,距离地铁磁器口492米,押2付3,6100,高楼层/6层,53,都市馨园,精装
整租,距离地铁磁器口323米,押1付3,5600,中楼层/15层,37,新裕家园,中装
整租,距离地铁磁器口376米,押2付3,7800,中楼层/17层,60,新景家园西区,精装
整租,距离地铁天坛东门450米,押1付3,5800,中楼层/6层,57.02,营房西街,中装
整租,距离地铁磁器口825米,押2付3,5700,底层/6层,58,南岗子,中装
整租,距离地铁崇文门664米,押1付3,10000,中楼层/16层,90,国瑞城东区,精装
整租,距离地铁磁器口825米,押2付3,6500,底层/6层,60,南岗子,中装
整租,距离地铁崇文门434米,押2付3,11000,低楼层/16层,83.55,国瑞城中区,精装
整租,距离地铁磁器口517米,押2付3,10500,中楼层/17层,90,新景家园东区,中装
整租,距离地铁磁器口517米,押2付3,9300,低楼层/13层,80,新景家园东区,精装
整租,距离地铁磁器口492米,押1付3,6700,低楼层/6层,53,都市馨园,中装
整租,距离地铁磁器口517米,押1付3,7800,低楼层/16层,60,新景家园东区,精装
