chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁灯市口956米,押2付3,8000,高楼层/6层,58,东皇城根南街,精装
整租,距离地铁灯市口971米,押1付3,8100,顶层/6层,58,灯市口西街,精装
整租,距离地铁灯市口971米,押2付3,8000,中楼层/6层,65,灯市口西街,精装
整租,距离地铁灯市口241米,押1付3,12500,中楼层/10层,95,同福夹道,精装
整租,距离地铁东四692米,押2付3,8300,顶层/6层,60,东厂北巷,中装
整租,距离地铁灯市口881米,押1付3,5500,中楼层/6层,45,东皇城根南街86号院,精装
整租,距离地铁灯市口91米,押2付3,6500,高楼层/6层,48,甘雨胡同2号院,中装
整租,距离地铁灯市口799米,押1付3,8300,顶层/6层,65,锡拉胡同15号院,精装
整租,距离地铁灯市口461米,押1付3,7500,中楼层/6层,65,甘雨胡同,精装
整租,距离地铁东四1110米,押2付3,8000,低楼层/6层,65,骑河楼大街,精装
整租,距离地铁灯市口206米,押2付3,7000,低楼层/6层,60,甘雨胡同33号院,精装
整租,距离地铁东四362米,押2付3,6500,低楼层/7层,45,玉石胡同,中装
整租,距离地铁东四703米,押1付3,8000,中楼层/5层,60,东厂胡同,精装
整租,距离地铁灯市口590米,押2付3,8600,中楼层/10层,66,灯市口大街,精装
整租,距离地铁灯市口590米,押2付3,7800,中楼层/6层,58,灯市口大街,精装
整租,距离地铁东四550米,押1付3,4000,底层/1层,30,报房胡同,精装
整租,距离地铁东四692米,押1付3,8000,中楼层/6层,65,东厂北巷,中装
整租,距离地铁东四362米,押1付3,7000,高楼层/7层,60,玉石胡同,精装
整租,距离地铁灯市口638米,押1付3,16000,高楼层/9层,112,世纪大厦,精装
整租,距离地铁灯市口956米,押2付3,6500,底层/6层,60,东皇城根南街,中装
整租,距离地铁灯市口900米,押2付3,6200,底层/7层,50,锡拉胡同21号院,简装
整租,距离地铁灯市口900米,押2付3,8000,底层/7层,60,锡拉胡同21号院,中装
合租,距离地铁灯市口241米,押2付3,4500,底层/10层,16,同福夹道,精装
整租,距离地铁灯市口174米,押1付3,6000,中楼层/5层,45,柏树胡同,精装
整租,距离地铁东四1110米,押2付3,6700,高楼层/6层,45,骑河楼大街,精装
整租,距离地铁灯市口758米,押1付3,9000,高楼层/6层,85,韶九胡同15号院,中装
整租,距离地铁灯市口117米,押1付3,8300,中楼层/9层,75,西堂子胡同1号院,中装
整租,距离地铁灯市口241米,押2付3,12000,中楼层/11层,80,同福夹道,精装
整租,距离地铁东四362米,押1付3,4800,低楼层/7层,45,玉石胡同,中装
整租,距离地铁灯市口590米,押2付3,7600,中楼层/6层,55,灯市口大街,精装
整租,距离地铁王府井904米,押2付3,4200,底层/1层,40,北河沿大街,中装
整租,距离地铁灯市口956米,押1付12,8500,中楼层/6层,58.3,东皇城根南街,精装
整租,距离地铁灯市口91米,押1付3,7000,中楼层/6层,60,甘雨胡同2号院,中装
整租,距离地铁东四550米,押2付3,35000,底层/1层,260,报房胡同,精装
灯市口,距离地铁灯市口590米,押1付3,7300,中楼层/12层,60,灯市口大街,其他
灯市口,距离地铁东四703米,押1付3,6500,中楼层/6层,45,东厂胡同,其他
整租,距离地铁灯市口174米,押2付3,8000,顶层/5层,62,柏树胡同,简装
整租,距离地铁灯市口241米,押1付3,10000,低楼层/10层,65.78,同福夹道,中装
灯市口,距离地铁东四362米,押1付3,6300,中楼层/7层,44.84,玉石胡同,其他
灯市口,距离地铁东四141米,押1付3,7200,顶层/6层,55.47,东四西大街,其他
整租,距离地铁灯市口590米,押1付3,26000,低楼层/12层,230,灯市口大街,简装
