chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁广渠门内642米,押2付3,7000,中楼层/5层,58.93,东花市北里中区,中装
整租,距离地铁广渠门内393米,押1付3,13000,高楼层/9层,99,富贵园一区,精装
整租,距离地铁广渠门内117米,押2付3,23000,高楼层/12层,122.73,富贵园四区,精装
整租,距离地铁广渠门内533米,押2付3,11000,高楼层/6层,87,东花市北里东区,精装
合租,距离地铁广渠门内329米,押2付3,2800,高楼层/17层,15,本家润园三期,精装
整租,距离地铁广渠门内642米,押2付3,10500,底层/6层,93,东花市北里中区,中装
整租,距离地铁广渠门内393米,押2付3,16000,高楼层/8层,130,富贵园一区,精装
东花市,距离地铁广渠门内206米,押1付3,2000,低楼层/6层,15.5,中国强胡同,其他
整租,距离地铁广渠门内660米,押2付3,15000,底层/11层,80,天娇园,精装
整租,距离地铁广渠门内660米,押2付3,3100,高楼层/11层,15,天娇园,简装
整租,距离地铁广渠门内529米,押2付3,6000,中楼层/19层,55,花市枣苑,中装
合租,距离地铁广渠门内529米,押1付3,2500,高楼层/21层,146,花市枣苑,中装
整租,距离地铁广渠门内529米,押1付3,13000,高楼层/21层,124,花市枣苑,精装
整租,距离地铁广渠门内529米,押1付3,11500,低楼层/21层,111,花市枣苑,简装
整租,距离地铁广渠门内642米,押1付3,9000,低楼层/6层,95,东花市北里中区,中装
整租,距离地铁广渠门内660米,押2付3,13000,顶层/11层,102,天娇园,精装
整租,距离地铁广渠门内219米,押1付3,7700,高楼层/18层,86,富贵园三区,精装
整租,距离地铁广渠门内117米,押2付3,22000,低楼层/8层,153.52,富贵园四区,精装
整租,距离地铁广渠门内219米,押2付3,6500,中楼层/12层,57,富贵园三区,精装
整租,距离地铁广渠门内393米,押2付3,17000,底层/9层,160,富贵园一区,精装
整租,距离地铁广渠门内529米,押2付3,9000,高楼层/23层,103,花市枣苑,中装
整租,距离地铁广渠门内529米,押2付3,11000,低楼层/17层,96,花市枣苑,中装
整租,距离地铁广渠门内219米,押1付3,6000,高楼层/18层,55,富贵园三区,精装
东花市,距离地铁广渠门内660米,押1付3,5500,中楼层/16层,45,天娇园,其他
整租,距离地铁广渠门内642米,押2付3,5000,高楼层/6层,47,东花市北里中区,中装
整租,距离地铁广渠门内529米,押2付3,7800,低楼层/21层,69,花市枣苑,精装
整租,距离地铁广渠门内329米,押2付3,5500,中楼层/17层,49,本家润园三期,精装
整租,距离地铁广渠门内219米,押1付3,6000,高楼层/16层,57,富贵园三区,中装
整租,距离地铁广渠门内393米,押2付3,15500,低楼层/11层,128,富贵园一区,中装
整租,距离地铁广渠门内529米,押2付3,20000,顶层/21层,207,花市枣苑,精装
距离地铁广渠门内117米,距离地铁广渠门内117米,押1付3,6000,中楼层/10层,60,富贵园四区,整租
东花市,距离地铁广渠门内642米,押1付3,4900,底层/6层,47.22,东花市北里中区,其他
东花市,距离地铁广渠门内642米,押1付3,5280,底层/6层,78.98,东花市北里中区,其他
东花市,距离地铁广渠门内329米,押1付3,9000,中楼层/17层,77.71,本家润园三期,其他
东花市,距离地铁广渠门内329米,押1付3,5900,中楼层/18层,50,本家润园三期,其他
东花市,距离地铁广渠门内642米,押1付3,6400,中楼层/6层,68,东花市北里中区,其他
东花市,距离地铁广渠门内687米,押1付3,5500,底层/6层,67.74,东花市北里西区,其他
东花市,距离地铁广渠门内219米,押1付3,6400,底层/18层,55.8,富贵园三区,其他
整租,距离地铁广渠门内553米,押1付3,6200,低楼层/6层,60,东花市大街2号院,精装
整租,距离地铁广渠门内219米,押1付3,6500,中楼层/18层,56.22,富贵园三区,精装
整租,距离地铁广渠门内393米,押2付3,18000,高楼层/11层,146,富贵园一区,精装
整租,距离地铁广渠门内289米,押2付3,8000,高楼层/18层,82,富贵园二区,精装
整租,距离地铁广渠门内642米,押2付3,5000,中楼层/6层,47,东花市北里中区,中装
整租,距离地铁广渠门内393米,押2付3,7000,中楼层/9层,58,富贵园一区,精装
合租,距离地铁广渠门内219米,押2付3,2400,中楼层/18层,20,富贵园三区,简装
整租,距离地铁广渠门内329米,押2付3,8000,高楼层/17层,65,本家润园三期,精装
整租,距离地铁广渠门内393米,押2付3,18000,底层/9层,165,富贵园一区,精装
