chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁张自忠路425米,押2付3,6900,低楼层/5层,45.88,什锦花园,简装
东四,距离地铁东四十条713米,押1付3,7600,底层/8层,60.54,东直门南小街18、20号,其他
整租,距离地铁北新桥457米,押2付3,2800,底层/1层,8,新太仓胡同,简装
整租,距离地铁东四十条735米,押2付3,5400,底层/1层,38,东四十二条,中装
东四,距离地铁张自忠路540米,押1付3,3100,顶层/3层,17,华人一品,其他
整租,距离地铁张自忠路170米,押1付3,5800,高楼层/12层,46,东四北大街,中装
整租,距离地铁张自忠路170米,押2付3,5200,底层/1层,50,东四北大街,精装
东四,距离地铁张自忠路402米,押1付3,6000,底层/1层,12.5,东四六条,其他
距离地铁北新桥457米,距离地铁北新桥457米,押1付3,2650,底层/1层,15,新太仓胡同,合租
东四,距离地铁北新桥321米,押1付3,3300,底层/1层,20,板桥胡同26号,其他
整租,距离地铁张自忠路66米,押1付3,7500,底层/2层,50,东四十一条,精装
整租,距离地铁张自忠路219米,押1付3,6000,高楼层/16层,46,东四十条甲100号,精装
整租,距离地铁张自忠路170米,押1付3,3600,底层/1层,20,东四北大街,简装
整租,距离地铁张自忠路537米,押2付3,50000,底层/1层,210,东四十四条,中装
整租,距离地铁张自忠路479米,押2付3,8500,顶层/6层,58.16,汪芝麻胡同,精装
整租,距离地铁东四595米,押2付3,3300,底层/1层,15,东四四条,简装
整租,距离地铁张自忠路425米,押2付3,6000,低楼层/5层,40,什锦花园,中装
整租,距离地铁东四十条713米,押2付3,8000,底层/8层,60,东直门南小街18、20号,精装
整租,距离地铁张自忠路170米,押1付3,25000,底层/1层,200,东四北大街,简装
整租,距离地铁东四595米,押2付3,45000,底层/1层,200,东四四条,中装
整租,距离地铁东四十条7米,押2付3,8000,高楼层/17层,68,东四十条,精装
整租,距离地铁张自忠路537米,押2付3,2000,底层/1层,8.2,东四十四条,简装
整租,距离地铁张自忠路537米,押2付3,4000,底层/1层,30,东四十四条,中装
整租,距离地铁南锣鼓巷791米,押2付3,2550,底层/1层,15,达教胡同,简装
整租,距离地铁张自忠路243米,押2付3,3200,底层/1层,16,东四七条,简装
整租,距离地铁张自忠路219米,押2付3,8000,高楼层/16层,64,东四十条甲100号,中装
整租,距离地铁建国门923米,押2付3,2000,底层/1层,8,金宝街以北平房,中装
整租,距离地铁朝阳门775米,押2付3,3000,底层/1层,10,东四五条,简装
整租,距离地铁朝阳门775米,押2付3,3800,底层/1层,30,东四五条,精装
合租,距离地铁东四595米,押1付3,3000,底层/5层,15,东四四条,中装
整租,距离地铁东四595米,押1付3,3000,底层/1层,20,东四四条,简装
整租,距离地铁张自忠路425米,押2付3,6500,中楼层/5层,40,什锦花园,中装
整租,距离地铁张自忠路170米,押1付3,7300,低楼层/12层,65.45,东四北大街,简装
整租,距离地铁张自忠路479米,押2付3,5500,底层/1层,28.4,汪芝麻胡同,中装
整租,距离地铁东四146米,押1付3,8000,低楼层/6层,65,东四二条,精装
整租,距离地铁南锣鼓巷728米,押2付3,45000,底层/1层,130,景山东街,中装
整租,距离地铁东四382米,押2付3,5000,底层/1层,15,钱粮胡同,豪装
整租,距离地铁东四146米,押2付3,7800,顶层/5层,70,东四二条,简装
整租,距离地铁东四841米,押2付3,7500,低楼层/6层,60.9,皇城根,精装
