chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁东四十条516米,押2付3,7000,中楼层/6层,50,海运仓,精装
距离地铁东四十条516米,距离地铁东四十条516米,押1付3,6900,中楼层/22层,52,海运仓,整租
整租,距离地铁东四十条516米,押1付3,6500,中楼层/6层,48,海运仓,精装
整租,距离地铁东四十条586米,押2付3,8000,高楼层/8层,65,北门仓胡同,中装
合租,距离地铁东四十条586米,押1付3,3400,底层/9层,14,北门仓胡同,精装
整租,距离地铁东四十条362米,押1付3,7300,高楼层/6层,52,海运仓胡同,精装
合租,距离地铁东四十条586米,押1付3,3000,底层/6层,18,北门仓胡同,中装
东四十条,距离地铁东四十条614米,押1付3,6800,底层/6层,56,东城区东营房,其他
合租,距离地铁东四十条586米,押2付3,3000,底层/9层,20,北门仓胡同,简装
整租,距离地铁东四十条586米,押2付3,12000,顶层/6层,90,北门仓胡同,中装
