chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁雍和宫436米,押2付3,6000,低楼层/7层,70,柏林寺,精装
整租,距离地铁东直门1152米,押2付3,5000,顶层/5层,40,新源西里中街,中装
整租,距离地铁东直门857米,押1付3,26000,中楼层/32层,158.29,当代万国城,精装
整租,距离地铁东直门338米,押2付3,14500,低楼层/16层,119,民安小区,精装
整租,距离地铁东四十条407米,押2付3,5500,高楼层/6层,45,新中西里,简装
整租,距离地铁东直门338米,押2付3,14000,底层/14层,80,民安小区,豪装
整租,距离地铁东直门357米,押2付3,6500,低楼层/14层,49.39,察慈小区,精装
合租,距离地铁东直门357米,押2付3,4500,低楼层/14层,76.97,察慈小区,精装
整租,距离地铁雍和宫795米,押1付3,20000,中楼层/19层,167.93,东直门北小街2号,精装
合租,距离地铁东直门439米,押2付3,3500,顶层/5层,15,东直门中医研究院,精装
整租,距离地铁东直门857米,押2付3,9200,底层/32层,59.11,当代万国城,精装
整租,距离地铁东直门863米,押2付3,7200,底层/6层,59.45,北官厅胡同2号院,精装
整租,距离地铁东直门338米,押2付3,8500,中楼层/14层,75.14,民安小区,精装
整租,距离地铁雍和宫795米,押1付3,23000,高楼层/19层,248,东直门北小街2号,中装
整租,距离地铁东四十条549米,押2付3,6000,高楼层/6层,60,东中街,中装
整租,距离地铁东四十条245米,押1付3,13000,中楼层/23层,88.45,仓夹道,精装
整租,距离地铁东直门338米,押2付3,9500,中楼层/16层,79,民安小区,精装
整租,距离地铁东直门338米,押2付3,6300,高楼层/14层,50,民安小区,精装
整租,距离地铁北新桥130米,押2付3,6900,中楼层/6层,54.63,北新桥平房区,中装
整租,距离地铁东直门868米,押2付3,8000,低楼层/6层,75,胡家园小区,中装
整租,距离地铁东四十条386米,押2付3,30000,低楼层/15层,230,元嘉国际公寓,精装
整租,距离地铁东直门286米,押2付3,7500,高楼层/18层,43,东直门南大街4、8、12、甲2号楼,中装
整租,距离地铁北新桥811米,押2付3,5800,中楼层/6层,38.73,后永康胡同,中装
整租,距离地铁东直门701米,押1付3,21000,低楼层/28层,150,海晟名苑南区,精装
合租,距离地铁东直门1152米,押1付3,2700,中楼层/5层,20,新源西里中街,中装
整租,距离地铁东直门338米,押1付3,9000,低楼层/11层,78,民安小区,精装
整租,距离地铁东直门563米,押2付3,9500,低楼层/22层,45,海晟名苑北区,精装
整租,距离地铁东直门701米,押2付3,19000,低楼层/28层,140,海晟名苑南区,精装
整租,距离地铁东直门338米,押2付3,8800,中楼层/16层,71,民安小区,精装
整租,距离地铁东直门701米,押2付3,24000,底层/28层,148,海晟名苑南区,精装
整租,距离地铁东直门338米,押2付3,8500,底层/16层,75,民安小区,精装
电话预约,距离地铁东直门868米,押1付3,18000,顶层/6层,120,胡家园小区,集中供暖
整租,距离地铁东四十条271米,押2付3,24500,中楼层/25层,207,华普花园,简装
整租,距离地铁东直门701米,押1付3,22000,低楼层/28层,128,海晟名苑南区,精装
整租,距离地铁东直门338米,押2付3,10000,低楼层/14层,78,民安小区,精装
整租,距离地铁东直门701米,押2付3,22000,低楼层/28层,147,海晟名苑南区,精装
整租,距离地铁东直门357米,押2付3,7000,中楼层/14层,52,察慈小区,中装
整租,距离地铁雍和宫795米,押2付3,13000,低楼层/19层,131,东直门北小街2号,中装
整租,距离地铁东直门701米,押1付3,24000,低楼层/28层,147.3,海晟名苑南区,精装
整租,距离地铁东直门808米,押2付3,4500,低楼层/7层,40,华冠丽景,精装
整租,距离地铁北新桥362米,押1付3,2500,底层/1层,18,前永康一巷胡同,简装
东直门,距离地铁东直门540米,押1付3,5500,低楼层/18层,42,清水苑,其他
东直门,距离地铁东直门540米,押1付3,7025,中楼层/14层,68,清水苑,其他
东直门,距离地铁雍和宫851米,押1付3,5400,顶层/5层,40,北官厅胡同,其他
东直门,距离地铁东直门338米,押1付3,8000,底层/16层,77.56,民安小区,其他
东直门,距离地铁雍和宫810米,押1付3,5300,底层/6层,58.43,炮局胡同,其他
距离地铁东直门95米,距离地铁东直门95米,押1付3,5800,高楼层/16层,43,香河园北里23号楼,整租
东直门,距离地铁亮马桥1095米,押1付3,6000,中楼层/16层,43.46,新源西里东街,其他
东直门,距离地铁东直门1152米,押1付3,7400,高楼层/21层,64.61,新源西里中街,其他
东直门,距离地铁柳芳815米,押1付3,6000,中楼层/14层,44.57,香河园北里,其他
距离地铁东直门868米,距离地铁东直门868米,押1付3,4050,中楼层/20层,15,胡家园小区,合租
东直门,距离地铁东直门540米,押1付3,6500,高楼层/18层,50,清水苑,其他
东直门,距离地铁北新桥130米,押1付3,3500,底层/1层,22.3,北新桥平房区,其他
东直门,距离地铁东直门338米,押1付3,2500,底层/14层,30,民安小区,其他
东直门,距离地铁东直门75米,押1付3,8500,顶层/16层,68.11,东直门内大街,其他
距离地铁东直门868米,距离地铁东直门868米,押1付3,3000,中楼层/20层,12,胡家园小区,合租
整租,距离地铁东直门416米,押1付3,1500,底层/1层,20,北新仓小区,简装
整租,距离地铁东直门808米,押2付3,23500,中楼层/7层,145,华冠丽景,精装
东直门,距离地铁东直门357米,押1付3,7200,中楼层/14层,52,察慈小区,其他
整租,距离地铁东直门829米,押1付3,70000,低楼层/25层,305,当代MOMA,精装
东直门,距离地铁东直门302米,押1付3,5500,中楼层/6层,46,十字坡西里,其他
整租,距离地铁雍和宫795米,押2付3,20000,底层/19层,207,东直门北小街2号,简装
东直门,距离地铁北新桥351米,押2付3,30000,底层/1层,110,前永康胡同,整租
整租,距离地铁东四十条271米,押1付3,18500,高楼层/25层,145,华普花园,中装
东直门,距离地铁北新桥130米,押1付3,3400,底层/1层,18,北新桥平房区,其他
东直门,距离地铁雍和宫436米,押1付3,5500,高楼层/7层,31.85,柏林寺,其他
整租,距离地铁东直门857米,押2付3,22000,低楼层/32层,158,当代万国城,简装
东直门,距离地铁东直门1152米,押1付3,3600,中楼层/6层,20,新源西里中街,其他
整租,距离地铁东四十条271米,押2付3,28000,中楼层/25层,207,华普花园,简装
整租,距离地铁东直门701米,押2付3,30000,低楼层/28层,246,海晟名苑南区,精装
整租,距离地铁东直门857米,押2付3,12000,底层/32层,85,当代万国城,精装
整租,距离地铁东直门172米,押2付3,23000,低楼层/32层,138,东方银座,精装
整租,距离地铁东直门829米,押1付3,25000,低楼层/25层,125,当代MOMA,精装
整租,距离地铁东直门750米,押2付3,9200,中楼层/13层,84,东直门内北小街8号院,精装
整租,距离地铁东直门172米,押2付3,15000,低楼层/28层,82,东方银座,精装
整租,距离地铁东直门829米,押1付3,35000,低楼层/30层,186,当代MOMA,豪装
合租,距离地铁东四十条383米,押1付3,3000,顶层/6层,13,海运仓南里,精装
整租,距离地铁东直门701米,押2付3,22000,低楼层/28层,157,海晟名苑南区,精装
整租,距离地铁东直门701米,押2付3,36000,中楼层/28层,246,海晟名苑南区,精装
东直门,距离地铁东四十条549米,押1付3,8600,高楼层/6层,80,东中街,其他
整租,距离地铁东直门701米,押2付3,60000,顶层/28层,401,海晟名苑南区,精装
整租,距离地铁东直门338米,押2付3,9500,底层/16层,79,民安小区,精装
整租,距离地铁东四十条271米,押2付3,22000,低楼层/25层,171,华普花园,精装
整租,距离地铁东直门95米,押2付3,6000,高楼层/16层,57,香河园北里23号楼,简装
合租,距离地铁亮马桥1095米,押1付3,2800,顶层/16层,10,新源西里东街,精装
整租,距离地铁东直门286米,押2付3,6000,高楼层/18层,40,东直门南大街4、8、12、甲2号楼,精装
整租,距离地铁东直门701米,押2付3,19000,中楼层/28层,150,海晟名苑南区,精装
整租,距离地铁东直门563米,押2付3,8500,高楼层/22层,45,海晟名苑北区,精装
整租,距离地铁东直门75米,押2付3,600000,底层/16层,120,东直门内大街,中装
整租,距离地铁东直门701米,押2付3,30000,低楼层/28层,210,海晟名苑南区,精装
整租,距离地铁东直门338米,押1付3,8600,中楼层/6层,73.53,民安小区,中装
合租,距离地铁东直门868米,押2付3,3500,顶层/20层,14,胡家园小区,精装
整租,距离地铁东直门808米,押2付3,24000,中楼层/7层,145,华冠丽景,豪装
整租,距离地铁东直门857米,押1付3,8000,低楼层/32层,55,当代万国城,精装
东直门,距离地铁雍和宫436米,押1付3,7280,高楼层/6层,60,柏林寺,其他
合租,距离地铁东四十条407米,押2付3,3500,高楼层/6层,16,新中西里,简装
整租,距离地铁雍和宫795米,押2付3,20000,高楼层/19层,188,东直门北小街2号,精装
整租,距离地铁东直门338米,押2付3,8000,高楼层/11层,62,民安小区,精装
整租,距离地铁东直门563米,押2付3,12000,中楼层/22层,74,海晟名苑北区,精装
整租,距离地铁东直门75米,押1付3,8300,高楼层/16层,77,东直门内大街,简装
整租,距离地铁东直门857米,押1付3,36000,高楼层/32层,228,当代万国城,豪装
整租,距离地铁亮马桥1095米,押2付3,7000,底层/5层,50.85,新源西里东街,中装
整租,距离地铁东四十条775米,押1付3,8000,底层/1层,55,东直门内大街平房,精装
整租,距离地铁亮马桥1095米,押2付3,5800,低楼层/5层,40,新源西里东街,中装
整租,距离地铁亮马桥1095米,押1付6,8500,中楼层/5层,60,新源西里东街,精装
整租,距离地铁东直门95米,押1付3,5600,高楼层/16层,50,香河园北里23号楼,中装
整租,距离地铁东直门191米,押1付3,6800,高楼层/16层,57,东直门北大街10、12,中装
整租,距离地铁东直门701米,押1付3,20000,中楼层/28层,120,海晟名苑南区,精装
合租,距离地铁雍和宫436米,押1付3,3500,中楼层/6层,20,柏林寺,中装
整租,距离地铁北新桥695米,押1付12,9500,顶层/6层,80,北新桥草园胡同,中装
合租,距离地铁亮马桥1095米,押1付3,3300,低楼层/18层,17,新源西里东街,中装
整租,距离地铁东直门338米,押2付3,9000,低楼层/16层,75,民安小区,精装
整租,距离地铁东直门750米,押2付3,8800,底层/13层,85,东直门内北小街8号院,中装
整租,距离地铁东直门338米,押2付3,8700,中楼层/6层,80,民安小区,中装
合租,距离地铁东直门338米,押1付3,3200,高楼层/14层,12,民安小区,中装
整租,距离地铁东直门875米,押2付3,7500,中楼层/6层,70,东直门外小街8号院,中装
整租,距离地铁东直门338米,押2付3,8500,中楼层/14层,75,民安小区,精装
整租,距离地铁东直门338米,押2付3,14000,高楼层/16层,110,民安小区,精装
整租,距离地铁东直门338米,押2付3,8700,底层/14层,78,民安小区,中装
合租,距离地铁东直门1152米,押1付3,1500,中楼层/5层,10,新源西里中街,中装
整租,距离地铁东直门338米,押2付3,9000,高楼层/16层,80.9,民安小区,精装
