chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁广渠门内988米,押2付3,8000,低楼层/4层,101,幸福南里,毛坯
整租,距离地铁广渠门外665米,押1付3,6500,高楼层/22层,65,东环居苑,精装
整租,距离地铁广渠门内277米,押1付3,8000,中楼层/12层,70,幸福家园,精装
整租,距离地铁广渠门内446米,押2付3,12000,低楼层/11层,113.25,本家润园,精装
整租,距离地铁广渠门外659米,押2付3,7000,中楼层/31层,65.22,东城区金桥国际公寓,精装
整租,距离地铁广渠门外659米,押1付3,7200,高楼层/31层,65.01,东城区金桥国际公寓,精装
整租,距离地铁广渠门内588米,押2付3,7000,中楼层/21层,62.22,领行国际,中装
整租,距离地铁广渠门内681米,押1付3,7500,底层/6层,80,绿景馨园,精装
整租,距离地铁广渠门外547米,押2付3,7000,中楼层/16层,64,广渠门内大街,中装
整租,距离地铁广渠门外519米,押2付3,6000,低楼层/14层,61.59,忠实里南街,中装
整租,距离地铁广渠门内639米,押2付3,4200,低楼层/12层,32,绿景苑,精装
整租,距离地铁广渠门内274米,押2付3,6000,中楼层/15层,61.17,北京上舍,简装
整租,距离地铁广渠门内274米,押1付3,7200,中楼层/15层,55,北京上舍,精装
整租,距离地铁广渠门内639米,押2付3,16000,高楼层/14层,160,绿景苑,精装
整租,距离地铁广渠门内427米,押2付3,8000,中楼层/16层,75,培新街乙5号院,精装
整租,距离地铁广渠门外834米,押1付3,12500,中楼层/23层,117,水上华城,精装
整租,距离地铁广渠门内509米,押2付3,8000,中楼层/18层,86.63,安化南里,精装
整租,距离地铁广渠门外659米,押1付3,12000,高楼层/25层,90,东城区金桥国际公寓,精装
整租,距离地铁广渠门内588米,押2付3,12500,低楼层/24层,104.79,领行国际,精装
整租,距离地铁广渠门内277米,押2付3,13000,低楼层/14层,124,幸福家园,精装
整租,距离地铁广渠门内277米,押1付3,14000,中楼层/14层,127,幸福家园,精装
整租,距离地铁广渠门外659米,押2付3,6900,中楼层/25层,62.78,东城区金桥国际公寓,精装
整租,距离地铁广渠门内639米,押2付3,7000,低楼层/18层,78,绿景苑,中装
整租,距离地铁广渠门内681米,押2付3,8000,中楼层/6层,77,绿景馨园,精装
整租,距离地铁广渠门内1252米,押1付3,6000,顶层/5层,61.59,龙潭北里,精装
整租,距离地铁广渠门内1116米,押2付3,6500,低楼层/5层,65,光明楼,中装
整租,距离地铁广渠门外724米,押2付3,6500,低楼层/18层,66,金世纪嘉园,精装
整租,距离地铁广渠门内277米,押2付3,13800,中楼层/14层,126,幸福家园,精装
整租,距离地铁广渠门外547米,押2付3,9000,低楼层/14层,80,广渠门内大街,精装
整租,距离地铁广渠门内639米,押2付3,11000,中楼层/14层,92,绿景苑,精装
整租,距离地铁广渠门外403米,押2付3,6000,低楼层/7层,80,广渠门外南街,精装
整租,距离地铁广渠门内639米,押2付3,3200,中楼层/12层,33,绿景苑,精装
合租,距离地铁广渠门外665米,押2付3,3000,底层/18层,102,东环居苑,精装
整租,距离地铁广渠门内469米,押2付3,4500,顶层/5层,48,夕照寺西里,简装
整租,距离地铁广渠门外834米,押1付3,32000,高楼层/26层,266,水上华城,豪装
整租,距离地铁广渠门内274米,押2付3,6000,低楼层/15层,58,北京上舍,中装
整租,距离地铁广渠门外320米,押1付3,11000,中楼层/22层,127,远洋德邑,精装
整租,距离地铁广渠门外320米,押2付3,12000,中楼层/22层,132,远洋德邑,中装
整租,距离地铁广渠门内368米,押2付3,9500,高楼层/19层,89,保利蔷薇苑,中装
整租,距离地铁广渠门外834米,押2付3,18000,底层/26层,165,水上华城,精装
整租,距离地铁广渠门外665米,押1付3,9500,高楼层/22层,100,东环居苑,中装
整租,距离地铁广渠门内277米,押1付3,11000,中楼层/18层,97,幸福家园,中装
整租,距离地铁广渠门外665米,押2付3,8500,中楼层/18层,84.02,东环居苑,精装
整租,距离地铁广渠门外941米,押2付3,6500,底层/18层,60,板厂新里,精装
整租,距离地铁广渠门外320米,押2付3,13000,中楼层/22层,127.42,远洋德邑,精装
整租,距离地铁广渠门内144米,押2付3,6000,中楼层/5层,50.45,安化北里,中装
整租,距离地铁广渠门外724米,押2付3,6600,低楼层/21层,68.62,金世纪嘉园,中装
整租,距离地铁广渠门外724米,押2付3,6500,高楼层/21层,66,金世纪嘉园,简装
整租,距离地铁广渠门外403米,押2付3,6500,低楼层/6层,57.79,广渠门外南街,精装
整租,距离地铁广渠门内368米,押1付3,7300,中楼层/19层,60.66,保利蔷薇苑,精装
整租,距离地铁广渠门内277米,押2付3,8000,中楼层/16层,68,幸福家园,精装
整租,距离地铁广渠门外665米,押1付3,8500,低楼层/18层,102,东环居苑,精装
整租,距离地铁广渠门内274米,押2付3,9300,低楼层/15层,97,北京上舍,中装
距离地铁广渠门内458米,距离地铁广渠门内458米,押1付3,2450,顶层/10层,15,自由季,合租
广渠门,距离地铁广渠门内446米,押2付3,37500,底层/14层,191,本家润园,整租
距离地铁广渠门内458米,距离地铁广渠门内458米,押1付3,2500,顶层/10层,14,自由季,合租
整租,距离地铁广渠门内690米,押2付3,8000,底层/5层,68,光明西里,精装
