chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁安贞门750米,押2付3,6000,中楼层/6层,47.6,安贞苑50号院,简装
整租,距离地铁和平里北街162米,押2付3,9500,低楼层/21层,90,和平街十三区,中装
整租,距离地铁和平里北街80米,押2付3,5000,顶层/5层,40,地坛北里,精装
整租,距离地铁和平里北街334米,押1付3,5500,顶层/5层,45,地坛北门,精装
整租,距离地铁光熙门473米,押2付3,5100,高楼层/18层,50,和平街十五区,简装
整租,距离地铁和平里北街617米,押2付3,6800,底层/5层,56,兴化西里,中装
整租,距离地铁安贞门690米,押2付3,8000,中楼层/18层,53.4,安定路,精装
合租,距离地铁和平里北街80米,押2付3,2600,底层/5层,13,地坛北里,中装
整租,距离地铁柳芳758米,押2付3,6800,顶层/7层,65,民旺园19号院,精装
合租,距离地铁和平里北街162米,押2付3,2300,高楼层/6层,15,和平街十三区,精装
整租,距离地铁和平西桥60米,押2付3,7000,高楼层/18层,60,和平西街,精装
整租,距离地铁和平里北街80米,押2付3,7800,底层/5层,51,地坛北里,精装
整租,距离地铁光熙门489米,押2付3,5200,中楼层/5层,40,和平街十二区,中装
整租,距离地铁柳芳802米,押2付3,6500,底层/6层,60,民旺园,精装
整租,距离地铁和平里北街654米,押2付3,7200,底层/6层,50,西青年沟路,精装
整租,距离地铁柳芳532米,押2付3,7000,低楼层/7层,70,和平街十四区,中装
合租,距离地铁和平里北街362米,押1付3,3300,底层/5层,16,和平里七区,中装
整租,距离地铁安贞门690米,押2付3,6000,中楼层/20层,60,安定路,精装
整租,距离地铁和平里北街428米,押1付3,5600,高楼层/7层,48,和平里五区,精装
整租,距离地铁和平里北街428米,押2付3,5300,顶层/6层,45,和平里五区,中装
整租,距离地铁和平西桥257米,押1付3,8800,高楼层/18层,90,小黄庄3条8号院,中装
整租,距离地铁雍和宫832米,押1付3,7000,低楼层/18层,60,和平新城,简装
整租,距离地铁雍和宫832米,押2付3,6800,中楼层/20层,55,和平新城,精装
整租,距离地铁柳芳575米,押2付3,7000,中楼层/22层,60,彩楼,中装
整租,距离地铁和平里北街162米,押2付3,6600,高楼层/6层,60,和平街十三区,精装
整租,距离地铁和平里北街80米,押2付3,6800,中楼层/5层,60,地坛北里,中装
整租,距离地铁和平里北街315米,押2付3,4600,低楼层/6层,45,和平里三区,中装
整租,距离地铁和平里北街162米,押2付3,6500,低楼层/14层,66,和平街十三区,简装
合租,距离地铁和平里北街162米,押2付3,2800,中楼层/6层,20,和平街十三区,中装
整租,距离地铁安贞门750米,押1付3,7000,高楼层/6层,65.82,安贞苑50号院,精装
整租,距离地铁柳芳532米,押2付3,5500,高楼层/18层,50,和平街十四区,中装
