chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁建国门398米,押2付3,25000,高楼层/21层,168,贡院9号,豪装
整租,距离地铁建国门770米,押1付3,6200,顶层/6层,45,大羊宜宾胡同35号院,精装
整租,距离地铁灯市口542米,押2付3,16000,中楼层/7层,100,外交部街33号院,精装
整租,距离地铁灯市口542米,押2付3,6800,低楼层/7层,100,外交部街33号院,简装
电话预约,距离地铁北京站221米,押2付3,23000,低楼层/22层,188,汇豪阁,精装
整租,距离地铁建国门611米,押3付3,22000,低楼层/28层,146.08,建国5号,简装
距离地铁北京站221米,距离地铁北京站221米,押2付3,16000,中楼层/22层,110,汇豪阁,电话预约
距离地铁建国门398米,距离地铁建国门398米,押2付3,80000,顶层/21层,450,贡院9号,电话预约
整租,距离地铁建国门611米,押2付3,22000,中楼层/28层,145,建国5号,精装
整租,距离地铁北京站221米,押2付3,24500,中楼层/22层,177,汇豪阁,中装
整租,距离地铁北京站221米,押1付3,23500,低楼层/26层,171.54,汇豪阁,精装
整租,距离地铁建国门611米,押1付3,9500,高楼层/28层,65,建国5号,精装
整租,距离地铁建国门785米,押2付3,7500,中楼层/6层,60,赵堂子胡同,中装
整租,距离地铁北京站221米,押2付3,15000,高楼层/22层,83,汇豪阁,精装
整租,距离地铁东单642米,押2付3,40000,中楼层/24层,130,长安太和,中装
整租,距离地铁东单642米,押2付3,50000,中楼层/24层,270,长安太和,精装
整租,距离地铁北京站221米,押1付3,20000,高楼层/22层,160,汇豪阁,精装
整租,距离地铁建国门818米,押1付3,11700,高楼层/7层,85,北总布胡同,精装
整租,距离地铁北京站221米,押2付3,23000,高楼层/22层,168,汇豪阁,精装
整租,距离地铁建国门785米,押1付3,17000,顶层/11层,170,赵堂子胡同,简装
整租,距离地铁建国门785米,押2付3,9000,中楼层/11层,82,赵堂子胡同,简装
整租,距离地铁东单470米,押2付3,6300,中楼层/7层,45,西总布胡同55号院,中装
整租,距离地铁建国门785米,押2付3,8500,中楼层/7层,70,赵堂子胡同,简装
整租,距离地铁建国门785米,押1付3,8500,底层/11层,75,赵堂子胡同,精装
整租,距离地铁灯市口542米,押2付3,9500,中楼层/5层,58,外交部街33号院,中装
整租,距离地铁建国门785米,押2付3,7000,中楼层/11层,55,赵堂子胡同,精装
整租,距离地铁东单642米,押2付3,35000,中楼层/28层,143.76,长安太和,豪装
整租,距离地铁建国门756米,押1付3,8000,中楼层/17层,65,建国门北大街,精装
整租,距离地铁建国门563米,押2付3,4800,低楼层/7层,45,小羊宜宾胡同,中装
整租,距离地铁东单788米,押2付3,10500,高楼层/6层,81,外交部街,精装
整租,距离地铁北京站221米,押2付3,23000,中楼层/22层,180,汇豪阁,精装
