chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北新桥517米,押2付3,10000,低楼层/7层,70,交道口北二条35号院,精装
交道口,距离地铁北新桥169米,押1付3,4600,底层/1层,70,香饵胡同,其他
整租,距离地铁北新桥517米,押2付3,9000,底层/7层,51,交道口北二条35号院,中装
整租,距离地铁北新桥577米,押2付3,2800,顶层/4层,15,土儿胡同,精装
整租,距离地铁北新桥517米,押2付3,7500,中楼层/7层,55,交道口北二条35号院,简装
整租,距离地铁张自忠路598米,押2付3,6000,底层/1层,45,文丞相胡同,中装
整租,距离地铁北新桥709米,押1付12,30000,底层/1层,200,安定门内大街,精装
整租,距离地铁北新桥517米,押2付3,8000,底层/7层,56,交道口北二条35号院,简装
整租,距离地铁北新桥399米,押1付3,7800,高楼层/6层,55,花梗胡同,精装
整租,距离地铁张自忠路606米,押1付3,8000,底层/2层,50,桃条胡同,精装
整租,距离地铁北新桥577米,押2付3,9000,高楼层/6层,66.93,土儿胡同,简装
整租,距离地铁南锣鼓巷730米,押2付3,16000,底层/1层,120,交道口南大街胡同区,中装
整租,距离地铁北新桥709米,押1付3,3500,底层/1层,16,安定门内大街,中装
整租,距离地铁北新桥577米,押2付3,9500,底层/6层,72,土儿胡同,精装
整租,距离地铁张自忠路379米,押1付3,4800,底层/1层,38,细管胡同,简装
整租,距离地铁南锣鼓巷496米,押1付3,40000,底层/1层,117,府学胡同区,简装
整租,距离地铁北新桥709米,押1付3,6500,底层/1层,61,安定门内大街,精装
整租,距离地铁北新桥709米,押1付3,18000,底层/1层,45,安定门内大街,简装
整租,距离地铁北新桥162米,押1付3,7000,中楼层/11层,52.53,交道口东大街,中装
整租,距离地铁北新桥709米,押1付3,2800,底层/1层,18,安定门内大街,简装
整租,距离地铁北新桥709米,押2付3,3000,顶层/2层,15,安定门内大街,精装
整租,距离地铁北新桥709米,押1付3,3500,底层/1层,20,安定门内大街,精装
整租,距离地铁北新桥162米,押2付3,9000,中楼层/11层,72.57,交道口东大街,简装
整租,距离地铁北新桥169米,押1付3,9800,高楼层/6层,72,香饵胡同,精装
整租,距离地铁北新桥709米,押2付3,4300,底层/1层,30,安定门内大街,中装
整租,距离地铁北新桥162米,押1付3,9800,顶层/12层,73.59,交道口东大街,中装
整租,距离地铁北新桥709米,押1付3,2500,底层/1层,8,安定门内大街,中装
