chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁灯市口646米,押1付3,7500,底层/5层,61,史家胡同,精装
整租,距离地铁朝阳门727米,押2付3,6300,底层/1层,60,礼士胡同,中装
金宝街,距离地铁灯市口554米,押1付3,8500,中楼层/6层,60.24,东罗圈胡同,其他
整租,距离地铁灯市口554米,押1付3,9000,底层/1层,85,东罗圈胡同,中装
整租,距离地铁灯市口610米,押1付3,3600,底层/1层,20,本司胡同,简装
整租,距离地铁灯市口610米,押2付3,3200,底层/1层,16,本司胡同,简装
整租,距离地铁东四340米,押2付3,30000,高楼层/17层,164,禾风相府,豪装
整租,距离地铁东四340米,押1付3,20000,底层/10层,75,禾风相府,精装
整租,距离地铁朝阳门741米,押2付3,7000,底层/1层,50,演乐胡同,中装
整租,距离地铁灯市口610米,押1付3,2500,底层/1层,18,本司胡同,简装
整租,距离地铁东四340米,押1付3,20000,低楼层/10层,75.47,禾风相府,精装
整租,距离地铁东四340米,押2付3,30000,中楼层/17层,164,禾风相府,精装
整租,距离地铁东四340米,押2付3,6800,高楼层/17层,40,禾风相府,精装
整租,距离地铁东四675米,押1付3,5000,低楼层/5层,42,后拐棒胡同,精装
整租,距离地铁朝阳门741米,押2付3,4200,底层/1层,15,演乐胡同,精装
整租,距离地铁灯市口756米,押2付3,5000,底层/1层,25,干面胡同,简装
整租,距离地铁东四340米,押1付3,13000,高楼层/10层,93,禾风相府,精装
整租,距离地铁东四340米,押1付3,6200,中楼层/17层,40,禾风相府,中装
整租,距离地铁灯市口554米,押2付3,8300,底层/6层,65,东罗圈胡同,精装
整租,距离地铁灯市口646米,押1付3,6000,顶层/5层,45,史家胡同,精装
整租,距离地铁东四340米,押2付3,8500,中楼层/17层,55,禾风相府,精装
