chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁东四467米,押1付3,17000,底层/2层,91,王府井平房区,精装
整租,距离地铁灯市口895米,押1付3,8500,中楼层/6层,62,锡拉胡同,精装
整租,距离地铁东四467米,押2付3,2800,底层/1层,15,王府井平房区,中装
整租,距离地铁东四467米,押1付3,72000,底层/2层,186,王府井平房区,豪装
距离地铁灯市口895米,距离地铁灯市口895米,押1付3,7600,顶层/5层,50.2,锡拉胡同,整租
整租,距离地铁东四467米,押2付3,8500,底层/1层,55,王府井平房区,精装
整租,距离地铁南锣鼓巷1010米,押2付3,5200,底层/1层,40,沙滩,精装
合租,距离地铁南锣鼓巷1010米,押1付3,2800,低楼层/1层,15,沙滩,中装
整租,距离地铁东四467米,押2付3,7500,底层/1层,50,王府井平房区,中装
整租,距离地铁前门270米,押1付3,7500,中楼层/13层,55,东交民巷,中装
整租,距离地铁东四467米,押1付3,5000,底层/1层,40,王府井平房区,中装
整租,距离地铁前门270米,押1付3,6500,中楼层/13层,60,东交民巷,中装
