chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁景泰465米,押2付3,10000,低楼层/11层,148.39,天天家园,中装
合租,距离地铁景泰581米,押2付3,3800,低楼层/21层,38,富莱茵花园,豪装
整租,距离地铁景泰155米,押2付3,13000,底层/9层,101.98,鼎盛园,简装
整租,距离地铁永定门外649米,押2付3,4800,高楼层/6层,60,西革新里108号院,中装
整租,距离地铁永定门外220米,押1付3,4700,高楼层/12层,47.18,城市亮点,精装
整租,距离地铁景泰581米,押2付3,5800,高楼层/14层,72.13,富莱茵花园,精装
整租,距离地铁永定门外501米,押2付3,6200,中楼层/16层,71,建予园,简装
整租,距离地铁景泰597米,押2付3,5000,顶层/6层,65,定安里,中装
整租,距离地铁景泰686米,押2付3,5000,中楼层/6层,60,宝华里,精装
整租,距离地铁景泰332米,押2付3,4700,底层/6层,50,安乐林路65号,中装
整租,距离地铁景泰295米,押2付3,7500,中楼层/11层,92,景泰西里西区,精装
整租,距离地铁景泰465米,押1付3,7500,顶层/11层,112.1,天天家园,精装
整租,距离地铁景泰510米,押2付3,7500,中楼层/15层,80,华龙美晟,简装
合租,距离地铁景泰597米,押2付3,1900,中楼层/6层,15,定安里,精装
整租,距离地铁景泰555米,押2付3,5500,顶层/6层,60,琉璃井东街,简装
整租,距离地铁景泰577米,押0付3,5000,底层/6层,45,桃杨路北里,精装
整租,距离地铁景泰555米,押2付3,5500,顶层/6层,66,琉璃井东街,中装
整租,距离地铁景泰188米,押2付3,5000,低楼层/11层,43,新奥洋房,精装
整租,距离地铁景泰686米,押1付3,5500,底层/6层,50,宝华里,中装
整租,距离地铁景泰188米,押2付3,5600,底层/11层,60,新奥洋房,中装
整租,距离地铁永定门外220米,押2付3,5500,中楼层/12层,76,城市亮点,精装
合租,距离地铁景泰345米,押2付3,2000,低楼层/6层,15,安乐林头条2号院,中装
整租,距离地铁永定门外501米,押2付3,7600,低楼层/16层,95,建予园,精装
距离地铁景泰577米,距离地铁景泰577米,押1付3,2300,低楼层/6层,15,桃杨路北里,合租
整租,距离地铁永定门外299米,押2付3,4000,中楼层/5层,40,民主北街22号院,中装
合租,距离地铁景泰577米,押2付3,1650,顶层/6层,18,桃杨路北里,简装
永定门,距离地铁景泰597米,押1付3,1600,顶层/6层,10,定安里,其他
距离地铁景泰577米,距离地铁景泰577米,押1付3,2300,低楼层/6层,15,桃杨路北里,合租
永定门,距离地铁景泰490米,押1付3,1800,高楼层/6层,14,郭庄北里,其他
永定门,距离地铁永定门外220米,押1付3,4300,顶层/12层,45.39,城市亮点,其他
永定门,距离地铁景泰581米,押1付3,2400,底层/6层,28,富莱茵花园,其他
永定门,距离地铁景泰686米,押1付3,3730,高楼层/6层,52.96,宝华里,其他
距离地铁景泰465米,距离地铁景泰465米,押1付3,3500,顶层/11层,25,天天家园,合租
距离地铁景泰465米,距离地铁景泰465米,押1付3,2500,顶层/11层,20,天天家园,合租
永定门,距离地铁景泰510米,押1付3,4200,底层/15层,38.03,华龙美晟,其他
永定门,距离地铁景泰659米,押1付3,2400,高楼层/21层,18,宝华家园,其他
距离地铁景泰465米,距离地铁景泰465米,押1付3,3500,顶层/11层,15,天天家园,合租
整租,距离地铁景泰510米,押2付3,6000,中楼层/15层,98,华龙美晟,中装
