chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁方庄880米,押1付3,11000,低楼层/16层,124,左安漪园,精装
左安门,距离地铁天坛东门608米,押1付3,4800,顶层/6层,70,龙潭西里,其他
左安门,距离地铁方庄919米,押1付3,5500,中楼层/18层,53.98,左安浦园,其他
左安门,距离地铁方庄919米,押1付3,4500,低楼层/14层,49.55,左安浦园,其他
整租,距离地铁天坛东门704米,押2付3,6000,中楼层/6层,56,体育馆路,精装
整租,距离地铁方庄919米,押1付3,5800,高楼层/18层,68,左安浦园,精装
左安门,距离地铁方庄919米,押1付3,1500,高楼层/18层,12,左安浦园,其他
左安门,距离地铁方庄880米,押1付3,8600,低楼层/17层,124,左安漪园,其他
左安门,距离地铁方庄880米,押1付3,9500,中楼层/16层,113,左安漪园,其他
左安门,距离地铁方庄880米,押1付3,8200,高楼层/17层,117,左安漪园,其他
整租,距离地铁天坛东门807米,押1付3,9000,中楼层/6层,98,鸿运花园,精装
整租,距离地铁天坛东门1084米,押1付3,5200,中楼层/6层,49.01,火桥北里,精装
整租,距离地铁方庄919米,押1付3,6000,低楼层/17层,89.45,左安浦园,精装
整租,距离地铁方庄880米,押2付3,9600,高楼层/15层,83.34,左安漪园,精装
整租,距离地铁天坛东门1084米,押2付3,6000,中楼层/6层,50,火桥北里,精装
合租,距离地铁天坛东门868米,押2付3,2400,中楼层/6层,20,长青园,精装
整租,距离地铁天坛东门586米,押1付3,6500,中楼层/6层,58.08,东四块玉南街,精装
整租,距离地铁天坛东门868米,押2付3,4500,顶层/6层,62,长青园,简装
整租,距离地铁天坛东门386米,押2付3,9200,底层/6层,82,双玉中街,豪装
整租,距离地铁方庄880米,押1付3,14000,低楼层/16层,162,左安漪园,精装
整租,距离地铁天坛东门868米,押2付3,4800,高楼层/6层,45,长青园,精装
整租,距离地铁方庄919米,押2付3,7000,高楼层/18层,62,左安浦园,精装
整租,距离地铁方庄880米,押1付3,8500,低楼层/16层,89,左安漪园,精装
合租,距离地铁天坛东门868米,押2付3,2800,中楼层/6层,20,长青园,中装
整租,距离地铁方庄1030米,押2付3,20000,中楼层/4层,209.34,怡龙别墅,豪装
整租,距离地铁方庄919米,押1付3,6000,高楼层/18层,68,左安浦园,精装
整租,距离地铁方庄919米,押1付3,5800,中楼层/18层,68,左安浦园,豪装
整租,距离地铁方庄880米,押1付3,7800,高楼层/16层,84,左安漪园,精装
整租,距离地铁方庄880米,押2付3,20000,低楼层/16层,200.98,左安漪园,精装
