chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
北大地,距离地铁丰台东大街901米,押1付3,4600,中楼层/6层,60,东货场40号院,其他
北大地,距离地铁丰台东大街1213米,押1付3,2300,高楼层/7层,20,东安街头条1号院,其他
整租,距离地铁泥洼271米,押2付3,6800,低楼层/24层,100,前泥洼小区,精装
北大地,距离地铁丰台东大街857米,押1付3,4800,中楼层/6层,65,电报局街,其他
北大地,距离地铁丰台东大街1400米,押1付3,7600,中楼层/20层,134.08,福顺里小区,其他
北大地,距离地铁丰台东大街1213米,押1付3,1700,高楼层/7层,20,东安街头条1号院,其他
北大地,距离地铁科怡路1315米,押1付3,5500,底层/6层,61.33,OLD韩庄子二里,其他
北大地,距离地铁丰台东大街926米,押1付3,4400,中楼层/5层,80.13,北大地四里,其他
北大地,距离地铁泥洼271米,押1付3,6300,高楼层/18层,67.4,前泥洼小区,其他
整租,距离地铁大井1209米,押1付3,7500,高楼层/6层,120,北大地三里16号院,精装
合租,距离地铁丰台东大街1020米,押2付3,1800,中楼层/5层,20,北大地一里,中装
北大地,距离地铁丰台东大街561米,押1付3,6850,中楼层/6层,83.77,同盛里,其他
整租,距离地铁泥洼271米,押2付3,8500,低楼层/24层,110,前泥洼小区,精装
整租,距离地铁丰台东大街1400米,押2付1,4000,低楼层/20层,58.39,福顺里小区,精装
合租,距离地铁丰台东大街1020米,押2付3,2500,顶层/5层,20,北大地一里,精装
整租,距离地铁郭庄子1439米,押2付3,6500,中楼层/18层,120,西四环南路81号院,精装
北大地,距离地铁丰台东大街1020米,押1付3,4500,低楼层/6层,50.98,北大地一里,其他
距离地铁七里庄358米,距离地铁七里庄358米,押1付3,2500,高楼层/14层,20,丰台北路46号楼,合租
整租,距离地铁丰台东大街1213米,押2付3,4500,中楼层/6层,40,东安街头条1号院,精装
整租,距离地铁丰台东大街771米,押2付3,3500,中楼层/4层,71,北大地二里,中装
整租,距离地铁丰台东大街760米,押2付3,4000,高楼层/6层,45,正阳小区,精装
整租,距离地铁丰台东大街998米,押2付3,6200,高楼层/21层,100,永善里小区,中装
整租,距离地铁泥洼271米,押1付3,6700,中楼层/6层,80,前泥洼小区,中装
整租,距离地铁丰台东大街771米,押2付3,4800,低楼层/5层,63,北大地二里,中装
整租,距离地铁丰台东大街775米,押1付3,6000,高楼层/24层,82,文体路甲三号院,中装
整租,距离地铁丰台东大街1023米,押2付3,4500,中楼层/6层,55.6,正阳大街8号楼,中装
整租,,押2付3,4500,底层/6层,56,东安街头条,精装
北大地,距离地铁丰台东大街1482米,押1付3,3800,顶层/6层,51.8,西安街4号院,其他
整租,距离地铁丰台东大街771米,押2付3,4800,底层/5层,50,北大地二里,中装
整租,距离地铁丰台东大街1020米,押1付3,5200,中楼层/6层,62,北大地三里,精装
北大地,距离地铁丰台东大街615米,押1付3,5000,低楼层/6层,51.5,北大街南里,其他
整租,距离地铁丰台东大街857米,押2付3,5600,顶层/6层,70,电报局街,中装
整租,距离地铁丰台东大街998米,押2付3,6500,低楼层/24层,104.7,永善里小区,精装
北大地,距离地铁丰台东大街1020米,押1付3,4500,中楼层/5层,57.8,北大地三里,其他
整租,距离地铁大井1209米,押1付3,7000,顶层/5层,135,北大地三里16号院,精装
北大地,,押1付3,4600,高楼层/6层,54.11,东安街头条,其他
距离地铁丰台东大街1051米,距离地铁丰台东大街1051米,押1付3,2300,顶层/6层,15,西幸福街,合租
北大地,距离地铁丰台东大街857米,押1付3,4400,高楼层/6层,58.5,电报局街,其他
北大地,距离地铁丰台东大街1020米,押1付3,4900,中楼层/6层,54.33,北大地三里,其他
北大地,距离地铁丰台东大街1020米,押1付3,4200,高楼层/6层,62,北大地三里,其他
合租,距离地铁泥洼271米,押2付3,1500,高楼层/6层,90,前泥洼小区,精装
整租,距离地铁丰台东大街1003米,押2付3,4500,低楼层/6层,55,西四环南路,中装
北大地,距离地铁丰台东大街926米,押1付3,4400,底层/6层,59.4,北大地四里,其他
合租,距离地铁泥洼271米,押2付3,2500,顶层/7层,20,前泥洼小区,精装
北大地,距离地铁丰台东大街998米,押1付3,6500,低楼层/21层,102,永善里小区,其他
北大地,距离地铁科怡路1315米,押1付3,4600,顶层/6层,65.23,OLD韩庄子二里,其他
