chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北京南站1247米,押2付3,8500,高楼层/16层,128,晨益安和,精装
整租,距离地铁北京南站1010米,押2付3,5500,高楼层/6层,80,开阳里三区,中装
北京南站,距离地铁北京南站770米,押1付3,5100,低楼层/18层,50.5,翠林一里,其他
整租,距离地铁北京南站582米,押1付3,4500,低楼层/6层,38.5,右外东庄,豪装
整租,距离地铁北京南站744米,押2付3,12000,高楼层/24层,158,开阳里六区,精装
整租,距离地铁北京南站744米,押2付3,5800,中楼层/6层,76.79,开阳里六区,中装
整租,距离地铁北京南站1010米,押2付3,7000,中楼层/24层,120,开阳里三区,中装
整租,距离地铁北京南站744米,押2付3,8500,低楼层/28层,96,世纪金色嘉园,精装
整租,距离地铁北京南站744米,押2付3,3900,高楼层/28层,30,世纪金色嘉园,精装
整租,距离地铁北京南站582米,押2付3,5100,顶层/6层,58.2,右外东庄,简装
整租,距离地铁北京南站1010米,押2付3,7000,高楼层/25层,90,开阳里三区,精装
整租,距离地铁北京南站582米,押2付3,5000,中楼层/6层,59.2,右外东庄,中装
整租,距离地铁北京南站744米,押2付3,15000,低楼层/22层,167,开阳里六区,简装
整租,距离地铁北京南站541米,押2付3,8000,中楼层/9层,110,开阳里八区,精装
整租,距离地铁北京南站744米,押1付3,5500,低楼层/28层,58,世纪金色嘉园,精装
整租,距离地铁马家堡1191米,押2付3,10000,中楼层/16层,103.7,家和园,精装
整租,距离地铁北京南站582米,押2付3,6500,低楼层/7层,80,右外东庄,简装
北京南站,距离地铁马家堡983米,押2付3,7500,中楼层/21层,85,鼎立水岸家园,中装
整租,距离地铁北京南站760米,押2付3,4300,顶层/6层,47,翠林二里,精装
整租,距离地铁北京南站1121米,押2付3,15000,中楼层/24层,208,迦南大厦,中装
整租,距离地铁马家堡983米,押2付3,7400,底层/21层,88.45,鼎立水岸家园,精装
整租,距离地铁北京南站760米,押2付3,5000,中楼层/6层,67,翠林二里,中装
整租,距离地铁北京南站688米,押2付3,5000,高楼层/6层,45.53,开阳里五区,中装
整租,距离地铁北京南站744米,押2付3,7000,底层/28层,144,世纪金色嘉园,中装
整租,距离地铁北京南站582米,押2付3,5500,中楼层/6层,60,右外东庄,精装
北京南站,距离地铁北京南站744米,押1付3,3600,低楼层/28层,26,世纪金色嘉园,其他
北京南站,距离地铁北京南站666米,押1付3,6400,低楼层/13层,79.94,东滨河路2号院,其他
北京南站,距离地铁北京南站1010米,押1付3,6300,中楼层/6层,62.43,开阳里三区,其他
北京南站,距离地铁北京南站1058米,押1付3,2000,顶层/6层,15,开阳里一区,其他
北京南站,距离地铁北京南站1010米,押1付3,6000,底层/6层,62.43,开阳里三区,其他
北京南站,距离地铁北京南站744米,押1付3,6500,中楼层/6层,85,开阳里六区,其他
北京南站,距离地铁北京南站744米,押1付3,5800,顶层/28层,63.85,世纪金色嘉园,其他
北京南站,距离地铁北京南站1010米,押1付3,6000,高楼层/25层,90,开阳里三区,其他
北京南站,距离地铁北京南站793米,押1付3,5800,底层/12层,62.78,开阳里一街,其他
北京南站,距离地铁北京南站744米,押1付3,3800,低楼层/28层,23.75,世纪金色嘉园,其他
距离地铁北京南站744米,距离地铁北京南站744米,押1付3,8000,中楼层/18层,120.48,开阳里六区,整租
整租,距离地铁北京南站541米,押2付3,6200,中楼层/6层,95,开阳里八区,精装
北京南站,距离地铁北京南站770米,押1付3,5000,中楼层/6层,60,翠林一里,其他
北京南站,距离地铁北京南站744米,押1付3,5500,中楼层/18层,73.92,开阳里六区,其他
整租,距离地铁北京南站1121米,押2付3,15000,高楼层/24层,208,迦南大厦,中装
整租,距离地铁北京南站744米,押2付3,3800,低楼层/28层,26,世纪金色嘉园,精装
整租,距离地铁北京南站1121米,押2付3,17000,中楼层/24层,208.46,迦南大厦,中装
整租,距离地铁北京南站541米,押2付3,5800,高楼层/6层,90,开阳里八区,中装
北京南站,距离地铁北京南站1066米,押1付3,7000,顶层/5层,70.59,开阳里二区,其他
整租,距离地铁北京南站744米,押2付3,3300,中楼层/28层,26,世纪金色嘉园,精装
整租,距离地铁北京南站1121米,押2付3,10000,中楼层/24层,131,迦南大厦,精装
整租,距离地铁北京南站744米,押2付3,3700,中楼层/28层,23.75,世纪金色嘉园,中装
整租,距离地铁北京南站582米,押2付3,5200,低楼层/6层,65,右外东庄,精装
整租,距离地铁北京南站526米,押2付3,8000,底层/6层,100,开阳里七区,简装
整租,距离地铁北京南站744米,押2付3,3800,低楼层/28层,26,世纪金色嘉园,精装
整租,距离地铁北京南站1121米,押2付3,10000,中楼层/24层,119,迦南大厦,精装
北京南站,距离地铁北京南站846米,押1付3,6300,底层/6层,78.38,开阳里四区,其他
北京南站,距离地铁北京南站1247米,押1付3,6500,顶层/16层,86,晨益安和,其他
北京南站,距离地铁北京南站744米,押1付3,3600,高楼层/28层,23.75,世纪金色嘉园,其他
北京南站,距离地铁北京南站1010米,押1付3,5200,低楼层/24层,65.79,开阳里三区,其他
距离地铁北京南站760米,距离地铁北京南站760米,押1付3,3600,高楼层/6层,50,翠林二里,整租
北京南站,距离地铁北京南站846米,押1付3,5300,中楼层/6层,56.95,开阳里四区,其他
北京南站,距离地铁北京南站582米,押1付3,4900,顶层/6层,60,右外东庄,其他
北京南站,距离地铁北京南站760米,押1付3,4300,中楼层/6层,42,翠林二里,其他
北京南站,距离地铁北京南站582米,押1付3,5400,低楼层/6层,25.6,右外东庄,其他
北京南站,距离地铁北京南站1121米,押1付3,8000,高楼层/24层,117.72,迦南大厦,其他
北京南站,距离地铁北京南站760米,押1付3,4300,中楼层/6层,50,翠林二里,其他
北京南站,距离地铁北京南站744米,押1付3,8000,低楼层/28层,102.88,世纪金色嘉园,其他
北京南站,距离地铁北京南站1010米,押1付3,5600,低楼层/18层,80,开阳里三区,其他
北京南站,距离地铁北京南站760米,押1付3,4000,顶层/6层,47,翠林二里,其他
北京南站,距离地铁马家堡652米,押1付3,4100,高楼层/6层,33.1,翠林三里,其他
整租,距离地铁北京南站760米,押2付3,4300,低楼层/6层,45,翠林二里,精装
整租,距离地铁北京南站1010米,押2付3,5500,高楼层/18层,75,开阳里三区,中装
整租,距离地铁北京南站744米,押2付3,7000,中楼层/24层,123.83,开阳里六区,中装
合租,距离地铁北京南站1010米,押2付3,2100,底层/18层,15,开阳里三区,中装
整租,距离地铁北京南站582米,押2付3,4200,低楼层/6层,38,右外东庄,精装
整租,距离地铁北京南站666米,押2付3,6500,低楼层/13层,95.32,东滨河路2号院,简装
整租,距离地铁北京南站541米,押2付3,6500,高楼层/6层,66,开阳里八区,精装
整租,距离地铁北京南站793米,押2付3,7500,高楼层/6层,85,开阳里一街,精装
