chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,5500,中楼层/20层,91.68,万润风景小区,精装
整租,,押2付3,11000,高楼层/20层,135,顺驰蓝调国际,精装
整租,,押2付3,5300,中楼层/28层,60,金泰城丽湾,精装
整租,,押2付3,7800,高楼层/20层,84,顺驰蓝调国际,精装
整租,,押2付3,11500,高楼层/28层,140,金泰城丽湾,精装
整租,,押1付3,15000,中楼层/31层,160,鹏润家园,中装
整租,,押2付3,6000,低楼层/20层,77,顺驰蓝调国际,精装
整租,,押1付3,5300,高楼层/20层,177.08,顺驰蓝调国际,精装
整租,,押2付3,5200,中楼层/20层,50,顺驰蓝调国际,精装
整租,,押2付3,5800,中楼层/18层,91,万润风景小区,精装
整租,,押2付3,5000,中楼层/29层,62,金都苑,中装
整租,,押2付3,11000,高楼层/20层,130,顺驰蓝调国际,精装
整租,,押2付3,12000,底层/11层,70,万润风景小区,中装
整租,,押2付3,7200,中楼层/30层,93,鹏润家园,精装
整租,,押2付3,7800,高楼层/26层,107,嘉莲苑,精装
整租,,押1付3,6000,低楼层/15层,90,诺德家园,精装
整租,,押2付3,4000,中楼层/18层,50,万润风景小区,精装
菜户营,,押1付3,6500,底层/18层,86.63,天伦北里,其他
菜户营,,押1付3,5000,高楼层/20层,61,金泰城丽湾,其他
菜户营,,押1付3,5300,中楼层/18层,77.34,天伦北里,其他
菜户营,,押1付3,7000,低楼层/18层,113,天伦北里,其他
菜户营,,押1付3,11000,低楼层/29层,118.52,金泰城丽湾,其他
菜户营,,押1付3,7000,低楼层/30层,103.83,鹏润家园,其他
整租,,押2付3,26000,低楼层/31层,184.66,鹏润家园,精装
整租,,押2付3,7500,中楼层/20层,110,顺驰蓝调国际,精装
整租,,押2付3,8000,低楼层/29层,123,金都苑,中装
整租,,押2付3,26000,低楼层/31层,148.17,鹏润家园,中装
整租,,押2付3,2300,高楼层/16层,94,鹏润家园,中装
整租,,押2付6,15000,底层/30层,190,鹏润家园,精装
菜户营,,押1付3,11000,中楼层/20层,119.98,金泰城丽湾,其他
菜户营,,押1付3,6200,中楼层/18层,86.63,天伦北里,其他
合租,,押2付3,2000,高楼层/31层,16,鹏润家园,中装
