chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁角门西733米,押1付3,11000,高楼层/25层,119.99,玺萌丽苑,精装
整租,距离地铁角门西701米,押2付3,12000,低楼层/6层,120.82,玺萌公馆,精装
整租,距离地铁草桥359米,押1付3,5300,高楼层/18层,68,草桥欣园四区,精装
整租,距离地铁草桥521米,押2付3,5600,中楼层/6层,72,草桥欣园三区,中装
整租,距离地铁草桥516米,押2付3,9500,低楼层/24层,116.57,风景CLUB,精装
整租,距离地铁草桥487米,押2付3,7500,中楼层/12层,96.31,未来上层,精装
整租,距离地铁草桥333米,押2付3,12000,高楼层/18层,156,恋日花都,精装
整租,距离地铁草桥333米,押2付3,10000,中楼层/15层,145,恋日花都,中装
整租,距离地铁草桥521米,押1付3,2700,中楼层/12层,30,草桥欣园三区,中装
整租,距离地铁草桥364米,押2付3,11000,低楼层/18层,150,恋日嘉园一期,精装
整租,距离地铁草桥703米,押2付3,7200,中楼层/24层,100,草桥28号院,精装
整租,距离地铁草桥521米,押2付3,5500,高楼层/6层,64,草桥欣园三区,精装
整租,距离地铁草桥487米,押2付3,12000,中楼层/12层,159.14,未来上层,简装
整租,距离地铁马家堡807米,押2付3,4200,低楼层/24层,28.22,玺萌鹏苑,中装
整租,距离地铁草桥364米,押2付3,10000,低楼层/16层,134.07,恋日嘉园一期,中装
整租,距离地铁草桥770米,押2付3,5700,低楼层/11层,66,玺萌城市间,精装
整租,距离地铁草桥359米,押1付3,9500,中楼层/15层,140,草桥欣园四区,中装
整租,距离地铁角门西733米,押2付3,11000,中楼层/24层,127,玺萌丽苑,中装
整租,距离地铁草桥487米,押2付3,11000,中楼层/12层,117.56,未来上层,精装
整租,距离地铁草桥770米,押2付3,6000,低楼层/11层,68,玺萌城市间,中装
整租,距离地铁草桥268米,押2付3,12000,高楼层/19层,135,恋日嘉园二期,精装
整租,距离地铁草桥359米,押2付3,6500,中楼层/15层,93.85,草桥欣园四区,中装
整租,距离地铁草桥359米,押2付3,5800,高楼层/18层,74,草桥欣园四区,精装
