chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁方庄457米,押2付3,4500,高楼层/26层,44.38,10AM新坐标,精装
整租,距离地铁方庄298米,押2付3,4300,低楼层/25层,48,芳星园二区,中装
整租,距离地铁方庄541米,押1付3,8500,中楼层/26层,92.6,芳城园一区,精装
整租,距离地铁方庄351米,押1付3,6500,低楼层/25层,73.2,芳城园三区,简装
整租,距离地铁方庄457米,押2付3,4600,低楼层/33层,45.44,10AM新坐标,精装
整租,距离地铁方庄541米,押2付3,6100,低楼层/27层,62,芳城园一区,精装
整租,距离地铁蒲黄榆105米,押1付3,5500,低楼层/32层,46.39,GOGO新世代,精装
整租,距离地铁方庄634米,押2付3,4600,高楼层/25层,48,芳星园一区,中装
整租,距离地铁方庄457米,押1付3,5200,低楼层/30层,34.25,10AM新坐标,精装
整租,距离地铁方庄650米,押1付3,7000,低楼层/25层,91,芳城园二区,精装
整租,距离地铁蒲黄榆370米,押1付3,5700,高楼层/16层,63,芳古园一区,简装
整租,距离地铁刘家窑474米,押2付3,6000,高楼层/6层,65,芳群园三区,精装
整租,距离地铁蒲黄榆530米,押2付3,5200,高楼层/15层,52.92,芳群园二区,中装
整租,距离地铁方庄541米,押1付3,9000,高楼层/32层,103,芳城园一区,中装
整租,距离地铁蒲黄榆370米,押2付3,5800,底层/6层,60,芳古园一区,精装
整租,距离地铁方庄676米,押2付3,5500,中楼层/16层,60,芳星园三区,精装
整租,距离地铁蒲黄榆304米,押2付3,5500,低楼层/20层,61,芳群园一区,简装
整租,距离地铁方庄267米,押1付3,5500,低楼层/20层,75,芳城东里,简装
整租,距离地铁蒲黄榆530米,押2付3,8000,中楼层/25层,93,芳群园二区,中装
整租,距离地铁蒲黄榆105米,押2付3,5500,低楼层/32层,46.39,GOGO新世代,中装
整租,距离地铁方庄457米,押1付3,5000,高楼层/32层,46,10AM新坐标,精装
随时看房,距离地铁方庄425米,,12500,底层/28层,53,紫芳园四区,中装
整租,距离地铁方庄351米,押2付3,6150,低楼层/25层,69,芳城园三区,中装
整租,距离地铁方庄634米,押2付3,4800,中楼层/25层,48,芳星园一区,中装
整租,距离地铁蒲黄榆530米,押2付3,7200,中楼层/25层,58,芳群园二区,精装
合租,距离地铁方庄541米,押1付3,2900,高楼层/30层,97,芳城园一区,精装
整租,距离地铁蒲黄榆105米,押1付3,5000,低楼层/32层,46.39,GOGO新世代,精装
整租,距离地铁方庄541米,押1付3,9500,低楼层/28层,101.82,芳城园一区,简装
整租,距离地铁方庄457米,押1付3,5100,中楼层/32层,45,10AM新坐标,精装
整租,距离地铁方庄541米,押1付3,25000,低楼层/32层,237.93,芳城园一区,中装
整租,距离地铁方庄541米,押2付3,5800,中楼层/25层,62,芳城园一区,中装
合租,距离地铁蒲黄榆370米,押2付3,1860,中楼层/6层,10,芳古园一区,中装
整租,距离地铁方庄437米,押2付3,4000,高楼层/25层,93.85,时代紫芳,中装
整租,距离地铁方庄457米,押1付3,4999,高楼层/32层,39.54,10AM新坐标,精装
整租,距离地铁方庄267米,押2付3,8500,高楼层/6层,95,芳城东里,精装
整租,距离地铁方庄541米,押1付3,12000,低楼层/19层,140,芳城园一区,中装
整租,距离地铁方庄541米,押1付3,7600,中楼层/27层,95,芳城园一区,精装
整租,距离地铁蒲黄榆370米,押1付3,6300,中楼层/6层,58,芳古园一区,中装
整租,距离地铁刘家窑712米,押2付3,6500,中楼层/12层,60,芳群园四区,中装
整租,距离地铁方庄437米,押2付3,6500,高楼层/25层,72,时代紫芳,精装
合租,距离地铁蒲黄榆304米,押2付3,2300,低楼层/25层,82,芳群园一区,精装
整租,距离地铁刘家窑712米,押2付3,14000,中楼层/18层,145.16,芳群园四区,精装
整租,距离地铁刘家窑712米,押2付3,14000,中楼层/18层,110.98,芳群园四区,精装
整租,距离地铁方庄541米,押2付3,20000,中楼层/32层,213,芳城园一区,精装
合租,距离地铁蒲黄榆370米,押2付3,2200,顶层/6层,18,芳古园一区,中装
整租,距离地铁蒲黄榆370米,押2付3,8200,中楼层/25层,85,芳古园一区,中装
整租,距离地铁蒲黄榆304米,押2付3,6500,高楼层/22层,56,芳群园一区,中装
整租,距离地铁蒲黄榆370米,押2付3,6000,中楼层/6层,60,芳古园一区,中装
合租,距离地铁方庄380米,押2付3,3000,中楼层/28层,140.72,时代绿荫,精装
整租,距离地铁蒲黄榆304米,押2付3,8000,中楼层/5层,91,芳群园一区,精装
合租,距离地铁方庄634米,押2付3,2500,中楼层/25层,65,芳星园一区,精装
整租,距离地铁刘家窑712米,押2付3,5800,中楼层/6层,56.76,芳群园四区,中装
整租,距离地铁蒲黄榆370米,押1付3,9000,中楼层/25层,78,芳古园一区,精装
整租,距离地铁蒲黄榆663米,押2付3,5300,底层/11层,56,芳古园二区,精装
整租,距离地铁蒲黄榆105米,押2付3,4800,低楼层/32层,46.39,GOGO新世代,中装
整租,距离地铁方庄437米,押2付3,5100,中楼层/25层,53,时代紫芳,精装
整租,距离地铁刘家窑289米,押2付3,8900,低楼层/11层,104.15,芳群公寓,精装
整租,距离地铁刘家窑712米,押2付3,4500,中楼层/20层,45,芳群园四区,中装
整租,距离地铁蒲黄榆304米,押2付3,5300,高楼层/25层,45,芳群园一区,中装
整租,距离地铁方庄412米,押2付3,10000,中楼层/11层,124,紫芳园二区,中装
整租,距离地铁蒲黄榆304米,押2付3,7000,高楼层/25层,85,芳群园一区,精装
整租,距离地铁方庄541米,押1付3,8200,低楼层/25层,96,芳城园一区,精装
整租,距离地铁方庄425米,押2付3,18000,中楼层/22层,144.41,紫芳园四区,精装
整租,距离地铁方庄437米,押1付3,6000,中楼层/25层,82,时代紫芳,精装
整租,距离地铁方庄634米,押2付3,6000,中楼层/25层,63,芳星园一区,精装
方庄,距离地铁方庄541米,押1付3,6000,高楼层/27层,62,芳城园一区,其他
方庄,距离地铁方庄650米,押1付3,4600,低楼层/27层,43,芳城园二区,其他
距离地铁方庄541米,距离地铁方庄541米,押1付3,6000,中楼层/25层,72,芳城园一区,整租
方庄,距离地铁方庄351米,押1付3,2700,底层/25层,20,芳城园三区,其他
方庄,距离地铁蒲黄榆304米,押1付3,4800,中楼层/25层,44.54,芳群园一区,其他
方庄,距离地铁刘家窑712米,押1付3,6200,低楼层/12层,60.48,芳群园四区,其他
