chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3800,中楼层/6层,65,丰仪家园,精装
整租,,押2付3,5000,高楼层/9层,90,园博府,中装
整租,,押2付3,5000,中楼层/18层,88,园博嘉园,精装
整租,,押2付3,50000,底层/34层,333,广安康馨家园,精装
整租,,押2付3,4800,顶层/6层,120,东山坡三里,精装
整租,,押2付3,5000,中楼层/11层,128,珠江御景,中装
整租,,押2付3,5000,中楼层/6层,111,东山坡三里,精装
整租,距离地铁张郭庄1043米,押2付3,4000,低楼层/18层,77,张郭庄小区,精装
合租,距离地铁张郭庄1043米,押2付3,3700,高楼层/6层,77.72,张郭庄小区,简装
整租,,押1付3,3800,底层/6层,79,卢西嘉园,精装
整租,,押2付3,3300,顶层/6层,60,玉皇庄小区,精装
整租,,押2付3,2700,中楼层/6层,40,玉皇庄小区,精装
整租,,押1付3,4000,高楼层/6层,83,卢西嘉园,中装
整租,,押1付3,3500,中楼层/6层,69,东山坡一里,精装
整租,,押2付3,3500,高楼层/6层,70,花园北里,简装
整租,,押2付3,5000,低楼层/6层,103,东山坡三里,精装
整租,,押2付3,3500,中楼层/6层,68,东山坡一里,中装
丰台其它,,押2付3,5000,顶层/6层,93.38,汤泉墅二区,整租
整租,,押2付3,5600,高楼层/11层,138,珠江御景,精装
整租,,押2付3,2800,底层/6层,70,云岗北区东里,中装
整租,,押2付3,20000,高楼层/19层,308,园博府,毛坯
整租,,押2付3,3000,低楼层/18层,70,云岗北里,中装
丰台其它,,押1付3,5000,底层/34层,72.14,广安康馨家园,其他
整租,,押2付3,3800,中楼层/6层,96,汤泉墅二区,中装
整租,,押2付3,3000,顶层/6层,60,永兴里,精装
整租,,押2付3,2900,高楼层/6层,50,东山坡二里,中装
整租,,押1付3,5500,顶层/6层,138,汤泉墅一区,豪装
整租,,押1付3,4000,底层/15层,60,东海仪园,精装
整租,,押2付3,5100,高楼层/34层,75,广安康馨家园,精装
整租,,押1付3,4200,低楼层/34层,52,广安康馨家园,中装
整租,,押1付3,3500,低楼层/25层,65,中奥广场首站,精装
整租,,押2付3,4300,低楼层/28层,109,清水绿洲嘉园,精装
整租,,押1付3,3000,底层/6层,53,东山坡一里,简装
整租,,押2付3,3500,低楼层/10层,56,中奥广场首站,精装
