chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁丰台东大街487米,押2付3,5000,中楼层/6层,47,前泥洼三区,精装
整租,距离地铁泥洼386米,押2付3,6000,低楼层/9层,98,丰益花园西区,中装
合租,距离地铁泥洼418米,押2付3,2300,中楼层/6层,15,前泥洼二区,精装
整租,距离地铁泥洼386米,押2付3,6200,高楼层/25层,89,丰益花园西区,精装
整租,距离地铁泥洼418米,押2付3,5100,中楼层/6层,90,前泥洼二区,精装
整租,距离地铁泥洼386米,押2付3,6000,低楼层/9层,90,丰益花园西区,精装
整租,距离地铁泥洼386米,押2付3,6000,低楼层/9层,73,丰益花园西区,中装
整租,距离地铁丰台东大街263米,押2付3,4500,中楼层/6层,60,东营里小区,精装
丰益桥,距离地铁丰台东大街208米,押1付3,5700,低楼层/6层,60.65,东货场42号院,其他
丰益桥,距离地铁泥洼418米,押1付3,7200,中楼层/6层,100.7,前泥洼二区,其他
整租,距离地铁泥洼386米,押2付3,7000,中楼层/9层,95,丰益花园西区,精装
丰益桥,距离地铁泥洼386米,押1付3,8500,高楼层/12层,111.93,丰益花园西区,其他
整租,距离地铁泥洼386米,押2付3,6000,高楼层/25层,78,丰益花园西区,中装
丰益桥,距离地铁丰台东大街487米,押1付3,5000,高楼层/6层,60,前泥洼三区,其他
丰益桥,距离地铁泥洼386米,押1付3,6300,高楼层/25层,77.52,丰益花园西区,其他
距离地铁泥洼229米,距离地铁泥洼229米,押1付3,2400,底层/9层,18,OLD丰益花园西区,合租
