chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3500,中楼层/6层,40,和义东里,简装
整租,,押1付3,3500,中楼层/6层,54,西宏苑,中装
整租,,押1付12,5000,顶层/6层,98.67,久敬佳园,中装
整租,,押2付3,4500,高楼层/6层,68.87,西宏苑,中装
整租,,押1付3,3800,高楼层/6层,60,和义东里,精装
整租,,押2付3,3700,低楼层/6层,60,和义东里,精装
整租,,押1付3,4800,高楼层/6层,90,久敬佳园,精装
整租,,押2付3,5500,中楼层/6层,101,久敬佳园,精装
整租,,押2付3,4500,高楼层/6层,83,世嘉丽晶,中装
整租,,押2付3,5500,低楼层/12层,109,南苑蓝天怡景,精装
整租,,押1付3,4200,低楼层/6层,55,和义东里,精装
整租,,押2付3,4000,中楼层/6层,68,久敬佳园,中装
整租,,押1付3,3600,顶层/6层,60,世嘉丽晶,中装
整租,,押1付6,4900,中楼层/6层,102,久敬佳园,简装
整租,,押2付3,4000,中楼层/6层,52.09,和义西里二区,精装
整租,,押1付3,4000,中楼层/6层,60,和义东里,中装
整租,,押2付3,4000,中楼层/6层,50,世嘉丽晶,精装
整租,,押2付3,4200,顶层/6层,74,和义西里三区,中装
整租,,押2付3,4100,顶层/6层,60,和义东里,精装
整租,,押1付12,4500,顶层/6层,60,和义西里三区,精装
整租,,押2付3,5500,中楼层/16层,108,益丰园小区,中装
整租,,押2付3,4500,低楼层/6层,80,南苑北里三区,精装
整租,,押2付3,4500,中楼层/6层,71,和义西里二区,中装
整租,,押1付3,4000,顶层/6层,60,和义东里,精装
整租,,押2付3,3500,底层/5层,50,和义东里,中装
整租,,押1付3,3800,中楼层/6层,60,和义东里,中装
整租,,押2付3,3800,高楼层/6层,60,和义东里,中装
和义,,押1付3,3800,顶层/6层,75,南苑北里三区,其他
整租,,押2付3,3800,顶层/6层,60,和义东里,精装
整租,,押2付3,4000,底层/4层,50,和义东里,简装
和义,,押1付3,5400,高楼层/10层,100,久敬佳园,其他
整租,,押2付3,3800,顶层/6层,74.1,和义西里三区,精装
和义,,押1付3,3800,低楼层/6层,62.1,南苑北里三区,其他
和义,,押1付3,3400,中楼层/19层,45.35,世界之花假日广场,其他
和义,,押1付3,4000,底层/6层,70,西宏苑,其他
和义,,押1付3,2150,低楼层/6层,20,OLD和义西里,其他
整租,,押2付3,4000,高楼层/6层,56,益丰园小区,精装
整租,,押2付3,5500,中楼层/10层,114,南苑蓝天怡景,精装
整租,,押2付3,4000,顶层/6层,76,久敬佳园,精装
和义,,押1付3,5500,顶层/10层,98,久敬佳园,其他
,,押1付3,1800,中楼层/11层,16,西宏苑,合租
整租,,押1付12,4300,高楼层/6层,60,和义东里,精装
和义,,押1付3,4000,底层/6层,54.25,和义东里,其他
,,押1付3,2350,中楼层/6层,20,世嘉丽晶,合租
整租,,押2付3,5300,顶层/6层,108,久敬佳园,中装
