chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,4500,中楼层/20层,58,天伦锦城,中装
整租,,押1付12,3500,中楼层/6层,50,宜兰园,中装
整租,距离地铁郭公庄1442米,押1付3,13000,高楼层/11层,146,益辰欣园,精装
整租,,押2付3,5500,低楼层/12层,95,天伦锦城,中装
整租,,押2付3,3500,底层/6层,63,宜兰园,中装
整租,,押2付3,4300,中楼层/9层,60,期颐百年,中装
整租,,押2付3,7500,中楼层/16层,133.8,银地家园,简装
整租,,押2付3,4500,中楼层/20层,58,天伦锦城,中装
整租,,押2付3,5500,低楼层/12层,92,天伦锦城,中装
整租,,押1付6,5600,低楼层/15层,97.4,天伦锦城,简装
整租,,押1付3,5200,顶层/15层,94,宜兰园,中装
整租,,押1付3,10000,中楼层/7层,165,风格与林,精装
整租,,押2付3,7000,低楼层/6层,130,宜兰园,精装
整租,,押2付3,5500,低楼层/11层,95,宜兰园,简装
整租,,押2付3,5500,低楼层/12层,92,天伦锦城,中装
整租,,押2付3,5800,中楼层/6层,109.94,银地家园,精装
合租,,押1付1,2200,低楼层/16层,15,银地家园,简装
整租,,押2付3,7200,低楼层/16层,120,银地家园,中装
整租,,押2付3,4800,高楼层/6层,68,宜兰园,中装
整租,,押2付3,6500,高楼层/6层,120,宜兰园,中装
整租,,押2付3,7500,顶层/17层,119,银地家园,中装
整租,,押2付3,5800,高楼层/6层,110,银地家园,精装
整租,距离地铁郭公庄1442米,押2付3,6700,高楼层/11层,95,益辰欣园,精装
整租,,押1付12,5000,高楼层/20层,75,天伦锦城,中装
整租,,押1付6,7500,顶层/7层,117,风格与林,精装
整租,,押2付3,4800,高楼层/12层,59,期颐百年,简装
整租,距离地铁郭公庄1442米,押1付3,8700,中楼层/13层,141.29,益辰欣园,精装
整租,,押2付3,8000,中楼层/20层,150,天伦锦城,精装
整租,,押2付3,4500,中楼层/17层,70,银地家园,中装
整租,,押2付3,4800,低楼层/6层,86,银地家园,中装
整租,,押2付3,4200,高楼层/6层,68,银地家园,简装
整租,,押2付3,13000,底层/4层,161.31,风格与林,精装
整租,距离地铁郭公庄1442米,押2付3,5300,低楼层/11层,95,益辰欣园,中装
整租,距离地铁郭公庄1442米,押1付6,8500,中楼层/11层,142,益辰欣园,精装
整租,距离地铁郭公庄1442米,押2付3,6300,中楼层/13层,95.85,益辰欣园,中装
整租,,押2付3,5000,底层/20层,60,天伦锦城,中装
整租,,押1付12,4500,中楼层/18层,60,天伦锦城,简装
整租,,押1付3,5800,高楼层/13层,94.44,天伦锦城,中装
花乡,距离地铁郭公庄1442米,押1付3,6000,中楼层/6层,80.8,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6288,高楼层/11层,81.39,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,9000,中楼层/11层,145.41,益辰欣园,其他
花乡,,押1付3,7100,顶层/7层,113.79,风格与林,其他
花乡,距离地铁郭公庄1442米,押1付3,6200,低楼层/11层,81.39,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6000,低楼层/11层,79.17,益辰欣园,其他
花乡,,押1付3,6600,中楼层/11层,107.73,天伦锦城,其他
花乡,距离地铁郭公庄1442米,押1付3,5900,顶层/11层,80.72,益辰欣园,其他
整租,,押2付3,4500,中楼层/13层,64,天伦锦城,简装
整租,距离地铁郭公庄1442米,押2付3,20000,顶层/11层,300,益辰欣园,精装
花乡,距离地铁丰台科技园1273米,押1付3,6500,高楼层/6层,92,育仁里小区,其他
整租,,押2付3,5500,高楼层/16层,90,银地家园,精装
整租,,押2付3,7500,高楼层/6层,115,宜兰园,中装
整租,,押2付3,6800,底层/16层,106.95,天伦锦城,精装
整租,,押2付3,5600,中楼层/6层,82,银地家园,中装
整租,,押2付3,7600,中楼层/13层,144,天伦锦城,豪装
整租,,押1付3,13000,低楼层/16层,199,银地家园,精装
整租,,押2付3,7600,低楼层/13层,130,天伦锦城,中装
整租,,押1付3,15000,底层/6层,80,银地家园,中装
整租,,押2付3,5800,低楼层/16层,90,银地家园,精装
,,押1付3,6800,中楼层/4层,140.43,期颐百年,整租
花乡,距离地铁郭公庄1442米,押1付3,6300,顶层/11层,80.72,益辰欣园,其他
距离地铁郭公庄1442米,距离地铁郭公庄1442米,押1付3,2900,顶层/11层,25,益辰欣园,合租
花乡,距离地铁郭公庄1442米,押1付3,7200,低楼层/11层,88.91,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,底层/11层,81.56,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,中楼层/11层,80.72,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,中楼层/11层,78.51,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,中楼层/11层,80.79,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,高楼层/11层,80.85,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,7200,顶层/11层,88.66,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,低楼层/11层,80.72,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,低楼层/6层,80.85,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,7000,中楼层/11层,88.68,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,顶层/11层,80.8,益辰欣园,其他
花乡,,押1付3,5500,低楼层/13层,76.57,天伦锦城,其他
整租,,押2付3,7000,顶层/17层,130,银地家园,精装
花乡,距离地铁郭公庄1442米,押1付3,6300,顶层/11层,80.79,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,5900,中楼层/11层,81.24,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,低楼层/11层,81.24,益辰欣园,其他
整租,距离地铁丰台科技园1273米,押2付3,5600,底层/6层,80,育仁里小区,精装
,,押1付3,3600,高楼层/13层,38,银地家园,整租
花乡,,押1付3,3600,中楼层/13层,45,银地家园,其他
花乡,,押1付3,7200,高楼层/16层,128,银地家园,其他
,,押1付3,2400,顶层/6层,16,银地家园,合租
花乡,,押1付3,4400,底层/6层,50.35,银地家园,其他
,,押1付3,2400,顶层/6层,14,银地家园,合租
花乡,,押1付3,7500,高楼层/15层,128.4,银地家园,其他
,,押1付3,2200,顶层/6层,14,银地家园,合租
整租,,押2付3,13000,低楼层/16层,200,银地家园,精装
花乡,,押1付3,5600,中楼层/18层,83.69,天伦锦城,其他
,,押1付3,3000,顶层/6层,20,银地家园,合租
整租,距离地铁丰台科技园1273米,押1付3,6300,中楼层/6层,100,育仁里小区,精装
,,押1付3,7000,中楼层/12层,130.7,天伦锦城,整租
整租,距离地铁郭公庄1442米,押1付3,18000,底层/11层,236.99,益辰欣园,精装
整租,距离地铁丰台科技园1273米,押1付3,5000,中楼层/6层,60.3,育仁里小区,中装
整租,,押2付3,2000,低楼层/16层,15,银地家园,简装
整租,,押2付3,3500,高楼层/13层,45,银地家园,中装
整租,,押2付3,6800,高楼层/16层,120,银地家园,中装
整租,,押2付3,4000,低楼层/6层,55,银地家园,中装
整租,,押2付3,4800,中楼层/6层,70,银地家园,中装
整租,,押2付3,4800,低楼层/6层,86,银地家园,中装
花乡,,押1付3,3850,低楼层/20层,40.86,天伦锦城,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,低楼层/11层,80.75,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,底层/11层,81.09,益辰欣园,其他
花乡,,押1付3,2400,高楼层/8层,15,银地家园,其他
花乡,距离地铁郭公庄1442米,押1付3,6200,低楼层/11层,80.75,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,中楼层/11层,81.56,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,8988,中楼层/11层,169,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6500,高楼层/11层,78.51,益辰欣园,其他
花乡,,押1付3,4400,底层/6层,43.13,银地家园,其他
花乡,距离地铁郭公庄1442米,押1付3,6300,顶层/11层,81.31,益辰欣园,其他
花乡,距离地铁郭公庄1442米,押1付3,6288,低楼层/11层,81.02,益辰欣园,其他
整租,,押1付12,4500,中楼层/6层,70,宜兰园,精装
整租,,押2付3,5300,中楼层/17层,72,银地家园,中装
花乡,,押1付3,2000,顶层/6层,15,银地家园,其他
整租,,押2付3,4200,低楼层/6层,67,宜兰园,中装
