chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁角门东426米,押1付3,6000,中楼层/18层,86,角门东里,简装
角门,距离地铁大红门455米,押1付3,5500,低楼层/18层,80,翠源居,其他
合租,距离地铁角门东619米,押2付3,1800,低楼层/6层,15,马家堡甲120号院,中装
角门,距离地铁角门东516米,押1付3,5000,低楼层/14层,64,司达小区,其他
整租,距离地铁角门东516米,押2付3,4500,底层/6层,62,司达小区,简装
角门,距离地铁角门东639米,押1付3,6200,中楼层/22层,110,杏林苑,其他
整租,距离地铁角门东516米,押2付3,5100,高楼层/6层,62,司达小区,精装
整租,距离地铁角门东426米,押1付3,5500,中楼层/18层,81,角门东里,精装
角门,距离地铁角门东426米,押1付3,6300,底层/18层,77,角门东里,其他
角门,距离地铁角门东453米,押1付3,2000,顶层/6层,15,角门甲4号院,其他
角门,距离地铁角门东196米,押1付3,2700,中楼层/20层,18,京华苑,其他
角门,距离地铁角门东453米,押1付3,6000,高楼层/6层,73.01,角门甲4号院,其他
距离地铁角门东426米,距离地铁角门东426米,押1付3,4600,低楼层/6层,56.6,角门东里,整租
距离地铁角门东369米,距离地铁角门东369米,押1付3,7000,高楼层/21层,90,阳光花园,整租
角门,距离地铁角门东426米,押1付3,2000,低楼层/18层,15,角门东里,其他
整租,距离地铁角门东426米,押1付6,6500,顶层/6层,59.8,角门东里,精装
角门,距离地铁角门西527米,押1付3,5000,低楼层/15层,95,角门12号院,其他
角门,距离地铁角门东600米,押1付3,6000,底层/6层,54.21,西马厂,其他
角门,距离地铁角门东560米,押1付3,7500,中楼层/6层,83.16,鑫福里,其他
整租,距离地铁角门东426米,押2付3,6000,高楼层/6层,59.8,角门东里,中装
整租,距离地铁角门东600米,押2付3,7000,顶层/6层,75,西马厂,精装
整租,距离地铁角门东600米,押2付3,8000,底层/6层,84,西马厂,中装
整租,距离地铁角门东369米,押2付3,7800,中楼层/20层,92,阳光花园,精装
整租,距离地铁角门东516米,押2付3,6500,高楼层/6层,83,司达小区,简装
整租,距离地铁角门东369米,押2付3,7600,低楼层/21层,95,阳光花园,中装
整租,距离地铁角门东516米,押2付3,5500,中楼层/6层,65,司达小区,精装
整租,距离地铁角门东516米,押2付3,4200,顶层/6层,42,司达小区,中装
整租,距离地铁角门东516米,押2付3,5000,中楼层/6层,58,司达小区,中装
整租,距离地铁角门西556米,押2付3,5700,中楼层/15层,67.95,和园居,精装
整租,距离地铁角门东426米,押1付3,4000,高楼层/6层,41,角门东里,精装
整租,距离地铁角门东600米,押2付3,4200,高楼层/6层,56,西马厂,精装
整租,距离地铁角门东426米,押2付3,6000,中楼层/6层,56.6,角门东里,中装
整租,距离地铁角门东369米,押1付3,7500,低楼层/21层,92,阳光花园,中装
整租,距离地铁角门东369米,押2付3,7300,低楼层/21层,92,阳光花园,精装
整租,距离地铁角门东426米,押2付3,7000,底层/18层,96,角门东里,中装
整租,距离地铁角门东426米,押1付3,5600,中楼层/6层,57,角门东里,精装
整租,距离地铁角门东453米,押2付3,5300,中楼层/6层,50,角门甲4号院,中装
