chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
看丹桥,距离地铁丰台南路1018米,押1付3,4000,高楼层/29层,48.26,OLD西四环南路103号院,其他
整租,距离地铁丰台南路934米,押1付3,5800,中楼层/18层,91,鸿业兴园二区,中装
整租,距离地铁丰台南路934米,押2付3,5500,底层/18层,90,鸿业兴园二区,中装
看丹桥,距离地铁丰台南路197米,押1付3,1800,高楼层/6层,12,造甲街南里,其他
整租,距离地铁丰台南路698米,押1付3,5100,中楼层/24层,61.7,新华街五里西区,中装
整租,距离地铁丰台南路934米,押1付3,5000,中楼层/18层,67,鸿业兴园二区,精装
看丹桥,距离地铁丰台南路722米,押1付12,5000,高楼层/6层,56.47,建国街二里,其他
看丹桥,距离地铁丰台南路511米,押1付3,1800,高楼层/27层,20,新华街三里,其他
看丹桥,距离地铁丰台南路698米,押1付3,5000,低楼层/14层,70,新华街五里西区,其他
看丹桥,距离地铁丰台东大街704米,押1付3,4300,低楼层/6层,55.14,造甲街北里,其他
看丹桥,距离地铁丰台南路504米,押1付3,3800,顶层/6层,42.3,新华街一里,其他
看丹桥,距离地铁丰台南路511米,押1付3,2100,高楼层/27层,15,新华街三里,其他
看丹桥,距离地铁丰台南路347米,押1付3,3500,顶层/3层,50,新华街二里,其他
整租,距离地铁丰台南路177米,押2付3,4500,顶层/6层,65,华林家园,豪装
整租,距离地铁丰台南路177米,押2付3,5000,顶层/6层,92.78,华林家园,精装
整租,距离地铁丰台南路511米,押1付3,4800,低楼层/24层,70,新华街三里,中装
整租,距离地铁丰台南路722米,押2付3,4900,顶层/6层,61,建国街二里,中装
看丹桥,距离地铁科怡路872米,押1付3,5000,底层/6层,59.5,OLD韩庄子四里,其他
整租,距离地铁丰台南路719米,押2付3,5700,中楼层/6层,69,韩庄子二里,简装
整租,距离地铁丰台南路722米,押1付6,4800,顶层/6层,61,建国街二里,精装
整租,距离地铁丰台南路511米,押2付3,4900,底层/6层,68.3,新华街四里,中装
整租,距离地铁丰台南路615米,押2付3,5100,低楼层/6层,63,韩庄子三里,精装
看丹桥,距离地铁科怡路1411米,押1付3,1600,中楼层/22层,18,OLD韩庄子西里,其他
看丹桥,距离地铁丰台东大街704米,押1付3,4600,顶层/6层,70,造甲街北里,其他
看丹桥,距离地铁丰台南路197米,押1付3,5400,底层/6层,57.7,造甲街南里,其他
看丹桥,距离地铁丰台南路504米,押1付3,4500,顶层/6层,63.8,造甲街,其他
看丹桥,距离地铁丰台南路1018米,押1付3,4300,高楼层/29层,52.04,OLD西四环南路103号院,其他
距离地铁丰台南路442米,距离地铁丰台南路442米,押1付3,2500,中楼层/16层,20,丰台南路116号院,合租
看丹桥,距离地铁丰台南路698米,押1付3,4400,中楼层/5层,53.35,新华街五里西区,其他
看丹桥,距离地铁丰台南路347米,押1付3,4500,高楼层/6层,56,新华街二里,其他
看丹桥,距离地铁丰台南路813米,押1付3,4400,顶层/6层,48.23,建国街一里,其他
距离地铁丰台南路511米,距离地铁丰台南路511米,押1付3,2300,中楼层/24层,10,新华街三里,合租
看丹桥,距离地铁丰台南路1311米,押1付3,1900,高楼层/6层,10,南开西里,其他
看丹桥,距离地铁丰台南路1311米,押1付3,4200,高楼层/6层,50.15,南开西里,其他
看丹桥,距离地铁丰台南路347米,押1付3,4500,顶层/6层,56,新华街二里,其他
看丹桥,距离地铁丰台南路1018米,押1付3,4200,高楼层/29层,46,OLD西四环南路103号院,其他
看丹桥,距离地铁丰台南路297米,押1付3,4500,高楼层/6层,57.36,丰台南路103号,其他
看丹桥,距离地铁丰台南路1033米,押1付3,4300,低楼层/5层,56.61,南开地,其他
看丹桥,距离地铁丰台南路721米,押1付3,6900,中楼层/23层,106.41,新华街八里,其他
看丹桥,距离地铁丰台南路1018米,押1付3,4100,低楼层/26层,46,OLD西四环南路103号院,其他
看丹桥,距离地铁丰台南路1223米,押1付3,4100,中楼层/6层,37.1,富丰园,其他
看丹桥,距离地铁丰台南路177米,押1付3,6200,中楼层/6层,89.54,华林家园,其他
看丹桥,距离地铁丰台南路511米,押1付3,4500,顶层/6层,62.6,新华街四里,其他
看丹桥,距离地铁科怡路1411米,押1付3,7500,中楼层/22层,114.22,OLD韩庄子西里,其他
看丹桥,距离地铁丰台南路1311米,押1付3,4400,高楼层/6层,53.76,南开西里,其他
看丹桥,距离地铁丰台南路1018米,押1付3,4268,低楼层/29层,48.81,OLD西四环南路103号院,其他
看丹桥,距离地铁丰台南路1311米,押1付3,4500,中楼层/6层,50.11,南开西里,其他
看丹桥,距离地铁丰台南路934米,押1付3,5100,低楼层/18层,60,鸿业兴园二区,其他
看丹桥,距离地铁丰台南路511米,押1付3,4800,顶层/24层,60,新华街三里,其他
看丹桥,距离地铁丰台南路1018米,押1付3,4000,中楼层/29层,46.96,OLD西四环南路103号院,其他
整租,距离地铁丰台南路615米,押1付3,4800,顶层/6层,58,韩庄子三里,中装
看丹桥,距离地铁丰台南路1033米,押1付3,4200,中楼层/5层,60,南开地,其他
看丹桥,距离地铁丰台南路1033米,押1付3,4500,中楼层/5层,50.17,南开地,其他
整租,距离地铁丰台南路355米,押1付3,5500,中楼层/6层,70,韩庄子东里,精装
整租,距离地铁丰台南路570米,押2付3,5500,底层/6层,65,韩庄子西里,中装
整租,距离地铁丰台南路570米,押2付3,4700,中楼层/6层,70,韩庄子西里,中装
整租,距离地铁丰台南路934米,押2付3,5500,中楼层/18层,90,鸿业兴园二区,精装
整租,距离地铁丰台南路719米,押2付3,6200,中楼层/6层,75.65,韩庄子二里,中装
整租,距离地铁丰台南路719米,押1付6,4800,中楼层/6层,65,韩庄子二里,精装
整租,距离地铁丰台南路934米,押2付3,6200,高楼层/18层,88.07,鸿业兴园二区,精装
整租,距离地铁丰台南路177米,押2付3,6000,底层/6层,105,华林家园,精装
看丹桥,距离地铁科怡路1411米,押1付3,4800,低楼层/22层,69.25,OLD韩庄子西里,其他
整租,距离地铁丰台南路511米,押1付3,5000,底层/6层,62,新华街四里,中装
整租,距离地铁丰台南路698米,押1付3,3500,低楼层/6层,50,新华街五里西区,中装
整租,距离地铁丰台南路511米,押2付3,5500,高楼层/9层,60,新华街三里,中装
整租,距离地铁丰台南路1223米,押2付3,3500,中楼层/6层,45,富丰园,精装
整租,距离地铁丰台南路767米,押1付3,4800,高楼层/24层,65.3,新华街七里,中装
整租,距离地铁丰台南路719米,押1付3,4500,中楼层/6层,45,韩庄子二里,中装
看丹桥,距离地铁科怡路1099米,押1付3,4500,中楼层/6层,62.8,OLD韩庄子三里,其他
看丹桥,距离地铁丰台南路511米,押1付3,5100,高楼层/24层,65.5,新华街三里,其他
看丹桥,距离地铁丰台南路813米,押1付3,4500,中楼层/6层,65.78,建国街一里,其他
看丹桥,距离地铁丰台南路767米,押1付3,4600,低楼层/24层,65,新华街七里,其他
看丹桥,距离地铁丰台南路1018米,押1付3,3700,中楼层/29层,35,OLD西四环南路103号院,其他
看丹桥,距离地铁科怡路1411米,押1付3,2600,中楼层/22层,28,OLD韩庄子西里,其他
看丹桥,距离地铁丰台南路511米,押1付3,7000,中楼层/27层,114.59,新华街三里,其他
看丹桥,距离地铁丰台南路1018米,押1付3,4100,低楼层/29层,47.94,OLD西四环南路103号院,其他
看丹桥,距离地铁丰台南路1018米,押1付3,3800,低楼层/29层,46.67,OLD西四环南路103号院,其他
整租,距离地铁丰台南路511米,押2付3,4800,高楼层/27层,70,新华街三里,精装
整租,距离地铁丰台南路511米,押2付3,5800,中楼层/27层,88.37,新华街三里,精装
整租,距离地铁丰台南路355米,押2付3,4500,低楼层/6层,55,韩庄子东里,中装
整租,距离地铁丰台南路570米,押1付3,6200,低楼层/24层,92,韩庄子西里,中装
整租,距离地铁丰台南路698米,押2付3,5200,高楼层/24层,62,新华街五里西区,精装
整租,距离地铁丰台南路615米,押2付3,4700,中楼层/6层,63,韩庄子三里,简装
整租,距离地铁丰台南路767米,押2付3,5000,低楼层/24层,65,新华街七里,简装
整租,距离地铁丰台南路347米,押1付3,4800,顶层/6层,65,新华街二里,中装
整租,距离地铁丰台南路934米,押1付3,6200,低楼层/18层,88.9,鸿业兴园二区,中装
