chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁科怡路550米,押1付6,5500,低楼层/26层,62,怡海花园恒丰园,精装
整租,距离地铁科怡路695米,押2付3,5800,高楼层/24层,84,南极星,中装
整租,距离地铁科怡路621米,押2付3,5500,中楼层/30层,73.11,怡锦园,精装
整租,距离地铁科怡路353米,押2付3,8500,低楼层/18层,140,怡海花园富润园,中装
整租,距离地铁丰台南路1018米,押2付3,4100,中楼层/26层,46.96,设计师广场,精装
整租,距离地铁丰台南路1018米,押2付3,4400,高楼层/26层,48,设计师广场,精装
整租,距离地铁大葆台1431米,押1付3,17000,顶层/10层,134.17,中海苏黎世家,精装
整租,距离地铁科怡路695米,押2付3,5800,低楼层/24层,82,南极星,中装
整租,距离地铁科怡路550米,押1付3,11000,高楼层/22层,129.11,怡海花园恒丰园,精装
整租,距离地铁科怡路493米,押2付3,9000,底层/6层,114,恒富花园,简装
整租,距离地铁科怡路366米,押2付3,4600,低楼层/28层,70,天下儒寓,精装
整租,距离地铁科怡路550米,押1付3,5800,低楼层/26层,69.11,怡海花园恒丰园,中装
整租,距离地铁大葆台387米,押1付6,28000,底层/4层,220,大溪地,精装
整租,距离地铁郭公庄590米,押1付3,6300,低楼层/20层,96,郭公庄幸福家园,中装
整租,距离地铁丰台南路1018米,押1付3,4300,中楼层/29层,48,设计师广场,精装
整租,距离地铁科怡路348米,押2付3,6000,底层/6层,70,怡海花园恒泰园,中装
整租,距离地铁科怡路431米,押1付3,4800,中楼层/29层,68.85,天龙华鹤,精装
整租,距离地铁科怡路695米,押2付3,6300,中楼层/24层,90,南极星,精装
整租,距离地铁大葆台436米,押2付3,7000,中楼层/18层,85,京投万科西华府,中装
整租,距离地铁科怡路353米,押1付3,8500,低楼层/30层,105,怡海花园富润园,精装
整租,距离地铁科怡路431米,押1付3,4500,低楼层/29层,70,天龙华鹤,精装
整租,距离地铁科怡路431米,押1付3,8000,中楼层/32层,77,天龙华鹤,精装
整租,距离地铁科怡路318米,押2付3,4800,底层/6层,66,恒富中街3，4，6，7号院,精装
整租,距离地铁科怡路348米,押1付3,6200,高楼层/6层,74,怡海花园恒泰园,精装
整租,距离地铁科怡路353米,押2付3,7800,高楼层/30层,101.9,怡海花园富润园,精装
整租,距离地铁大葆台1097米,押2付3,9000,低楼层/6层,114,富锦嘉园二区,精装
整租,距离地铁科怡路348米,押2付3,16000,高楼层/29层,204,怡海花园恒泰园,豪装
整租,距离地铁科怡路364米,押2付3,13000,底层/31层,148,怡海花园富泽园,中装
整租,距离地铁大葆台1431米,押2付3,13000,低楼层/11层,100,中海苏黎世家,精装
整租,距离地铁科怡路550米,押1付3,11000,高楼层/22层,133,怡海花园恒丰园,精装
整租,距离地铁科怡路348米,押1付6,24000,低楼层/29层,258,怡海花园恒泰园,中装
整租,距离地铁大葆台263米,押2付3,7800,中楼层/19层,80,新方向家园,中装
整租,距离地铁大葆台940米,押2付3,5800,中楼层/21层,49.05,中海御景春天,豪装
整租,距离地铁科怡路635米,押1付3,28000,底层/18层,132,吉利双星,中装
整租,距离地铁科怡路635米,押1付3,28000,底层/18层,163.37,吉利双星,简装
整租,距离地铁大葆台1084米,押2付3,5200,高楼层/7层,70,富锦嘉园四区,精装
整租,,押1付6,5100,顶层/6层,72.2,富丰路8号,精装
整租,距离地铁科怡路348米,押2付3,16000,顶层/6层,219.66,怡海花园恒泰园,精装
整租,距离地铁丰台南路1018米,押1付3,4000,高楼层/29层,37.38,设计师广场,中装
整租,距离地铁科怡路550米,押2付3,5700,中楼层/27层,62.86,怡海花园恒丰园,中装
整租,距离地铁大葆台436米,押2付3,7200,高楼层/21层,85,京投万科西华府,精装
整租,距离地铁科怡路364米,押2付3,9000,顶层/6层,123,怡海花园富泽园,精装
整租,距离地铁郭公庄680米,押2付3,25000,高楼层/19层,179.71,中海九号公馆,精装
整租,距离地铁科怡路621米,押2付3,7000,高楼层/30层,105,怡锦园,精装
整租,距离地铁科怡路621米,押1付3,11000,高楼层/30层,136,怡锦园,中装
整租,距离地铁科怡路348米,押2付3,8200,中楼层/6层,109,怡海花园恒泰园,中装
整租,距离地铁郭公庄460米,押2付3,6000,高楼层/23层,46.24,中海御鑫阁,精装
科技园区,距离地铁郭公庄1158米,押1付3,7000,底层/6层,88.58,亿城天筑,其他
科技园区,距离地铁郭公庄460米,押1付3,4400,低楼层/25层,38,中海御鑫阁,其他
科技园区,距离地铁科怡路621米,押1付3,6600,低楼层/30层,90,怡锦园,其他
距离地铁科怡路432米,距离地铁科怡路432米,押1付3,2200,低楼层/18层,13,阳光四季,合租
科技园区,距离地铁郭公庄1158米,押1付3,7000,低楼层/18层,88.84,亿城天筑,其他
整租,距离地铁科怡路431米,押2付3,33000,低楼层/32层,280,天龙华鹤,中装
整租,距离地铁科怡路550米,押2付3,13000,低楼层/22层,138,怡海花园恒丰园,精装
整租,,押2付3,5200,中楼层/6层,75,富丰路8号,精装
整租,距离地铁科怡路364米,押2付3,16000,顶层/6层,200,怡海花园富泽园,简装
整租,距离地铁科怡路364米,押1付3,16000,高楼层/31层,200,怡海花园富泽园,精装
整租,,押2付3,3500,高楼层/7层,51,高鑫家园,中装
整租,距离地铁科怡路353米,押2付3,25000,高楼层/30层,294.8,怡海花园富润园,精装
整租,,押2付3,3400,低楼层/14层,50,高鑫家园,中装
整租,距离地铁郭公庄680米,押1付3,80000,底层/5层,435,中海九号公馆,精装
整租,距离地铁科怡路514米,押1付3,5200,中楼层/18层,55,新城市经典,精装
整租,,押1付3,5800,高楼层/7层,98,高鑫家园,精装
整租,,押2付3,21000,底层/3层,400,明春苑,豪装
整租,距离地铁科怡路431米,押1付3,12500,中楼层/32层,154.47,天龙华鹤,简装
整租,距离地铁科怡路268米,押2付3,5000,高楼层/30层,61.12,宝隆公寓,中装
整租,距离地铁科怡路493米,押1付3,8500,中楼层/22层,120,恒富花园,中装
科技园区,距离地铁郭公庄1158米,押1付3,7000,顶层/6层,88.64,亿城天筑,其他
整租,距离地铁大葆台263米,押1付3,7500,中楼层/15层,84,新方向家园,精装
科技园区,距离地铁郭公庄1158米,押1付3,7000,高楼层/6层,89.38,亿城天筑,其他
科技园区,距离地铁大葆台436米,押1付3,7000,高楼层/16层,82.57,京投万科西华府,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,顶层/6层,78.51,亿城天筑,其他
科技园区,距离地铁科怡路431米,押1付3,4800,中楼层/29层,70.26,天龙华鹤,其他
科技园区,距离地铁郭公庄1158米,押1付3,7000,低楼层/6层,87.98,亿城天筑,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,底层/25层,80.98,亿城天筑,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,高楼层/6层,81.09,亿城天筑,其他
距离地铁科怡路431米,距离地铁科怡路431米,押1付3,6200,高楼层/28层,20,天龙华鹤,合租
科技园区,距离地铁大葆台387米,押1付3,21000,底层/4层,270,大溪地,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,高楼层/4层,81.24,亿城天筑,其他
科技园区,距离地铁科怡路695米,押1付3,6400,中楼层/24层,90,南极星,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,中楼层/6层,81.52,亿城天筑,其他
科技园区,距离地铁科怡路268米,押1付3,4400,高楼层/30层,42,宝隆公寓,其他
科技园区,距离地铁科怡路695米,押1付3,6280,低楼层/24层,83.49,南极星,其他
科技园区,距离地铁郭公庄1158米,押1付3,6800,中楼层/10层,88.23,亿城天筑,其他
整租,,押2付3,4000,中楼层/6层,90,明春苑,简装
科技园区,距离地铁科怡路268米,押1付3,6100,中楼层/30层,94.32,宝隆公寓,其他
科技园区,距离地铁科怡路366米,押1付3,4500,低楼层/28层,59.75,天下儒寓,其他
整租,,押2付3,3800,高楼层/6层,60,明春苑,精装
整租,距离地铁郭公庄460米,押2付3,4300,低楼层/20层,49.94,中海御鑫阁,精装
整租,距离地铁科怡路550米,押1付3,6500,顶层/27层,75,怡海花园恒丰园,中装
整租,,押2付3,6500,顶层/6层,108,富丰路8号,中装
整租,,押2付3,5300,低楼层/14层,92,高鑫家园,精装
整租,,押1付3,5200,中楼层/7层,99,高鑫家园,简装
合租,距离地铁科怡路514米,押2付3,2100,底层/18层,20,新城市经典,中装
整租,距离地铁丰台南路1018米,押2付3,4200,高楼层/26层,50,设计师广场,豪装
整租,,押2付3,4000,高楼层/14层,46,高鑫家园,精装
整租,距离地铁科怡路514米,押2付3,2500,低楼层/18层,15,新城市经典,精装
整租,,押2付3,4200,顶层/7层,48,高鑫家园,中装
整租,距离地铁丰台南路1018米,押2付3,4500,低楼层/29层,52,设计师广场,中装
整租,,押2付3,5300,低楼层/6层,94,高鑫家园,精装
整租,,押2付3,5800,底层/7层,97,高鑫家园,精装
科技园区,距离地铁大葆台940米,押1付3,4600,高楼层/15层,48.52,中海御景春天,其他
科技园区,距离地铁科怡路366米,押1付3,4800,低楼层/28层,65,天下儒寓,其他
整租,距离地铁科怡路353米,押2付3,18000,中楼层/30层,199,怡海花园富润园,中装
整租,距离地铁科怡路268米,押2付3,4200,低楼层/30层,67,宝隆公寓,中装
整租,距离地铁丰台南路1300米,押2付3,5800,顶层/6层,89.6,看丹路8号院,中装
整租,距离地铁丰台南路1103米,押1付3,6000,高楼层/6层,97,看丹路6号院,中装
整租,距离地铁丰台南路1018米,押2付3,3700,低楼层/29层,37.34,设计师广场,精装
整租,距离地铁丰台南路1018米,押1付3,4700,低楼层/29层,40,设计师广场,精装
整租,距离地铁科怡路353米,押2付3,14000,低楼层/30层,199,怡海花园富润园,中装
整租,距离地铁丰台科技园1179米,押2付3,6000,高楼层/28层,87,白盆窑天兴家园,精装
整租,距离地铁丰台南路1018米,押1付6,3800,高楼层/26层,35,设计师广场,精装
整租,距离地铁科怡路268米,押2付3,4600,低楼层/30层,60.45,宝隆公寓,精装
整租,距离地铁丰台南路1018米,押1付3,4500,中楼层/29层,47,设计师广场,精装
科技园区,距离地铁郭公庄460米,押1付3,4300,底层/25层,30.62,中海御鑫阁,其他
科技园区,,押1付3,4500,中楼层/6层,62,保温段,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,底层/6层,81.02,亿城天筑,其他
科技园区,距离地铁科怡路268米,押1付3,6300,顶层/30层,103.86,宝隆公寓,其他
科技园区,距离地铁郭公庄1158米,押1付3,5400,高楼层/8层,80.8,亿城天筑,其他
科技园区,距离地铁郭公庄1158米,押1付3,5800,低楼层/18层,81.52,亿城天筑,其他
距离地铁科怡路432米,距离地铁科怡路432米,押1付3,2980,中楼层/18层,18,阳光四季,合租
距离地铁科怡路493米,距离地铁科怡路493米,押1付3,2850,高楼层/6层,26,恒富花园,合租
科技园区,距离地铁丰台南路1030米,押1付3,4400,中楼层/6层,56.66,看丹路4号院,其他
科技园区,距离地铁科怡路268米,押1付3,4800,低楼层/30层,67,宝隆公寓,其他
科技园区,距离地铁科怡路366米,押1付3,4600,低楼层/28层,70,天下儒寓,其他
科技园区,距离地铁科怡路583米,押1付3,6280,中楼层/6层,80.4,丰泽居,其他
科技园区,距离地铁郭公庄460米,押1付3,4380,底层/25层,41.63,中海御鑫阁,其他
科技园区,距离地铁科怡路583米,押1付3,6980,顶层/6层,106.2,丰泽居,其他
科技园区,距离地铁科怡路431米,押1付3,6000,低楼层/29层,77.77,天龙华鹤,其他
整租,距离地铁科怡路514米,押2付3,7000,高楼层/18层,105,新城市经典,中装
科技园区,距离地铁郭公庄1158米,押1付3,7000,顶层/4层,88.66,亿城天筑,其他
整租,距离地铁科怡路550米,押2付3,5500,低楼层/26层,68,怡海花园恒丰园,精装
整租,距离地铁科怡路268米,押1付3,5000,中楼层/30层,60,宝隆公寓,精装
整租,距离地铁科怡路268米,押2付3,5000,低楼层/30层,65,宝隆公寓,中装
整租,距离地铁科怡路550米,押2付3,20000,高楼层/29层,199.75,怡海花园恒丰园,精装
整租,距离地铁科怡路431米,押2付3,8200,中楼层/29层,128,天龙华鹤,简装
整租,距离地铁科怡路550米,押0付3,18000,低楼层/29层,204,怡海花园恒丰园,简装
整租,距离地铁科怡路348米,押2付3,18000,低楼层/29层,208,怡海花园恒泰园,豪装
整租,距离地铁科怡路550米,押2付3,15000,低楼层/29层,199,怡海花园恒丰园,中装
整租,距离地铁科怡路550米,押1付3,5500,中楼层/27层,77,怡海花园恒丰园,中装
整租,距离地铁科怡路353米,押1付3,6800,中楼层/30层,108,怡海花园富润园,中装
整租,距离地铁科怡路348米,押1付3,20000,中楼层/29层,254,怡海花园恒泰园,精装
整租,距离地铁科怡路431米,押2付3,5500,高楼层/29层,78,天龙华鹤,精装
整租,,押2付3,4600,底层/6层,60,保温段,精装
整租,距离地铁科怡路431米,押2付3,5500,低楼层/29层,73,天龙华鹤,中装
整租,距离地铁科怡路583米,押2付3,8000,顶层/6层,126.9,丰泽居,中装
整租,距离地铁郭公庄170米,押2付3,26000,底层/3层,220,加来小镇,中装
整租,距离地铁丰台南路1018米,押2付3,4000,高楼层/29层,35,设计师广场,精装
整租,,押1付3,2800,中楼层/6层,40,保温段,中装
整租,距离地铁丰台南路1018米,押2付3,4300,中楼层/29层,50,设计师广场,精装
整租,距离地铁科怡路348米,押2付3,18000,中楼层/29层,254.95,怡海花园恒泰园,豪装
整租,距离地铁郭公庄460米,押2付3,4400,高楼层/25层,50,中海御鑫阁,精装
