chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁宋家庄587米,押2付3,5200,中楼层/14层,69,日新家园,精装
整租,距离地铁宋家庄686米,押2付3,7800,顶层/24层,100,一栋苑,中装
整租,距离地铁宋家庄133米,押2付3,17000,中楼层/21层,152.3,扑满山,精装
整租,距离地铁宋家庄158米,押2付3,4500,中楼层/20层,48,鑫兆雅园北区,中装
整租,距离地铁宋家庄158米,押2付3,5200,中楼层/20层,48,鑫兆雅园北区,精装
整租,距离地铁刘家窑471米,押2付3,13500,低楼层/18层,137,嘉业大厦,精装
整租,距离地铁宋家庄270米,押2付3,15000,中楼层/6层,150,鑫兆雅园南区,精装
整租,距离地铁宋家庄270米,押2付3,7300,中楼层/6层,90,鑫兆雅园南区,精装
整租,距离地铁刘家窑348米,押2付3,4500,高楼层/24层,51.8,正邦嘉园,精装
合租,距离地铁刘家窑634米,押1付3,2500,高楼层/6层,15,顺五条,精装
整租,距离地铁刘家窑560米,押2付3,5500,低楼层/18层,70,顺四条37号院,中装
整租,距离地铁宋家庄218米,押2付3,6300,低楼层/29层,70,宋家庄家园,中装
整租,距离地铁刘家窑318米,押2付3,4800,高楼层/16层,65,南三环中路,中装
整租,距离地铁宋家庄218米,押1付6,6500,低楼层/29层,69,宋家庄家园,精装
整租,距离地铁宋家庄158米,押1付3,40000,底层/20层,63,鑫兆雅园北区,中装
整租,距离地铁刘家窑557米,押1付3,5600,低楼层/12层,94,顺四条甲20号院,精装
整租,距离地铁石榴庄610米,押2付3,20000,中楼层/9层,166,建邦华府,精装
整租,距离地铁石榴庄610米,押2付3,7000,中楼层/18层,94,建邦华府,精装
整租,距离地铁刘家窑640米,押2付3,2000,顶层/23层,120,方南家园二期,中装
整租,距离地铁刘家窑433米,押2付3,6000,中楼层/6层,90,横七条,中装
整租,距离地铁刘家窑351米,押2付3,5500,高楼层/23层,56,筑梦园,精装
合租,距离地铁宋家庄639米,押2付3,2600,高楼层/6层,20,顺六条,中装
整租,距离地铁宋家庄133米,押2付3,16300,中楼层/21层,150,扑满山,精装
整租,距离地铁宋家庄133米,押2付3,17000,中楼层/19层,150,扑满山,精装
距离地铁刘家窑375米,距离地铁刘家窑375米,押1付3,1900,顶层/6层,17,同仁园小区,合租
刘家窑,距离地铁石榴庄715米,押1付3,1800,顶层/6层,14,贾家花园,其他
距离地铁刘家窑375米,距离地铁刘家窑375米,押1付3,2000,高楼层/25层,17,同仁园小区,合租
整租,距离地铁宋家庄133米,押2付3,17000,中楼层/19层,150,扑满山,中装
整租,距离地铁刘家窑471米,押2付3,10000,高楼层/26层,140,嘉业大厦,精装
刘家窑,距离地铁刘家窑433米,押1付3,5000,中楼层/6层,51.53,横七条,其他
整租,距离地铁宋家庄218米,押2付3,6300,低楼层/27层,69,宋家庄家园,中装
距离地铁刘家窑375米,距离地铁刘家窑375米,押1付3,2400,高楼层/25层,20,同仁园小区,合租
整租,距离地铁石榴庄610米,押2付3,20000,高楼层/9层,166,建邦华府,豪装
刘家窑,距离地铁刘家窑471米,押1付3,13500,高楼层/18层,130,嘉业大厦,其他
整租,距离地铁刘家窑471米,押1付3,19000,高楼层/24层,178,嘉业大厦,精装
整租,距离地铁刘家窑791米,押1付3,3500,底层/3层,20,东铁匠营,精装
