chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁六里桥395米,押1付3,8800,中楼层/22层,108,风荷曲苑,精装
整租,距离地铁六里桥东870米,押1付3,9000,高楼层/25层,117,莲馨嘉园,豪装
整租,距离地铁五棵松1462米,押2付3,6500,高楼层/22层,95.18,京铁家园,精装
整租,距离地铁六里桥1054米,押1付3,4000,顶层/6层,50,莲宝路10号院,毛坯
整租,距离地铁六里桥1196米,押2付3,20000,中楼层/35层,172,海淀九号,精装
整租,距离地铁莲花桥438米,押2付3,8800,高楼层/25层,81.74,盛今佳园,精装
整租,距离地铁六里桥1196米,押2付3,13000,顶层/29层,187,海淀九号,中装
整租,距离地铁六里桥1156米,押2付3,5800,中楼层/24层,70,莲宝路7号院,精装
整租,距离地铁六里桥1329米,押2付3,2800,低楼层/27层,70,莲熙嘉园,精装
整租,距离地铁莲花桥438米,押2付3,8500,高楼层/25层,112,盛今佳园,精装
整租,距离地铁六里桥1054米,押2付3,6800,中楼层/6层,81,莲宝路10号院,中装
整租,距离地铁万寿路1273米,押1付3,5200,高楼层/6层,60,金家村,简装
整租,距离地铁六里桥395米,押2付3,8500,底层/22层,104,风荷曲苑,中装
整租,距离地铁六里桥812米,押1付3,7000,顶层/14层,90,莲怡园,中装
整租,距离地铁六里桥812米,押1付3,4500,低楼层/24层,65,莲怡园,中装
整租,距离地铁六里桥1156米,押1付3,6800,中楼层/24层,80,莲宝路7号院,精装
整租,距离地铁五棵松1462米,押1付6,7500,高楼层/22层,98.37,京铁家园,精装
整租,距离地铁六里桥812米,押2付3,7800,中楼层/6层,80,莲怡园,精装
整租,距离地铁六里桥1054米,押1付3,9000,中楼层/24层,95,莲宝路10号院,精装
整租,距离地铁六里桥507米,押1付3,5700,中楼层/6层,58,六里桥7号院,中装
整租,距离地铁五棵松1462米,押2付3,6800,顶层/22层,90,京铁家园,精装
整租,距离地铁六里桥754米,押2付3,6300,高楼层/6层,76.44,六里桥北里小区,中装
合租,距离地铁六里桥1264米,押2付3,2500,高楼层/7层,20,靛厂路6号院,精装
整租,距离地铁六里桥657米,押2付3,6500,中楼层/27层,70.38,永翌公馆,精装
整租,距离地铁五棵松1462米,押1付3,6800,中楼层/14层,130,京铁家园,中装
整租,距离地铁六里桥1101米,押2付3,6600,底层/6层,110,精图小区,精装
整租,距离地铁万寿路1273米,押2付3,4500,顶层/6层,60,金家村,中装
整租,距离地铁六里桥879米,押2付3,8800,低楼层/24层,106,莲香园,中装
合租,距离地铁五棵松1462米,押2付3,2500,高楼层/22层,25,京铁家园,精装
整租,距离地铁六里桥1062米,押2付3,8000,中楼层/26层,96,橙色年代,精装
整租,距离地铁六里桥1101米,押2付3,5000,低楼层/6层,80,精图小区,简装
整租,距离地铁六里桥1062米,押1付6,8000,中楼层/24层,96.74,橙色年代,精装
整租,距离地铁六里桥1329米,押1付3,5500,高楼层/24层,65,莲熙嘉园,中装
整租,距离地铁五棵松1462米,押2付3,6000,低楼层/22层,90,京铁家园,中装
六里桥,距离地铁莲花桥577米,押1付3,5000,低楼层/27层,25,莲花小区,其他
六里桥,距离地铁莲花桥577米,押1付3,3499,低楼层/27层,15,莲花小区,其他
六里桥,距离地铁六里桥269米,押1付3,3900,高楼层/6层,48,六里桥北里10号院,其他
六里桥,距离地铁万寿路1273米,押1付3,2000,中楼层/6层,10,金家村,其他
六里桥,距离地铁六里桥1031米,押1付3,6500,中楼层/24层,86.4,盛今大厦,其他
六里桥,距离地铁五棵松1462米,押1付3,6500,底层/22层,95.71,京铁家园,其他
整租,距离地铁六里桥395米,押1付3,5500,高楼层/22层,53,风荷曲苑,精装
整租,距离地铁六里桥269米,押1付3,6800,顶层/6层,90,六里桥北里10号院,中装
整租,距离地铁六里桥1329米,押1付3,5500,高楼层/27层,70,莲熙嘉园,精装
整租,距离地铁六里桥1196米,押2付3,16800,中楼层/29层,200,海淀九号,精装
整租,距离地铁六里桥754米,押1付3,12000,底层/6层,110,六里桥北里小区,中装
整租,距离地铁六里桥619米,押2付3,15000,中楼层/19层,198,马官营家园,中装
整租,距离地铁六里桥1329米,押1付3,5500,高楼层/24层,65,莲熙嘉园,精装
六里桥,距离地铁万寿路1273米,押1付3,4500,底层/6层,56.04,金家村,其他
六里桥,距离地铁六里桥1062米,押1付3,1800,中楼层/24层,15,橙色年代,其他
六里桥,距离地铁六里桥1062米,押1付3,6700,低楼层/26层,96,橙色年代,其他
六里桥,距离地铁六里桥364米,押1付3,2300,中楼层/6层,15,六里桥9号院,其他
距离地铁莲花桥606米,距离地铁莲花桥606米,押1付3,2800,低楼层/24层,20,莲花池西里,合租
距离地铁莲花桥606米,距离地铁莲花桥606米,押1付3,2300,低楼层/24层,10,莲花池西里,合租
整租,距离地铁六里桥1196米,押2付3,15000,低楼层/29层,180.15,海淀九号,精装
整租,,押2付3,9000,底层/6层,100,六里桥3号楼,中装
整租,距离地铁五棵松1462米,押2付3,13000,中楼层/14层,170,京铁家园,精装
合租,距离地铁六里桥1031米,押2付3,4000,高楼层/24层,30,盛今大厦,中装
六里桥,距离地铁万寿路1273米,押1付3,5000,高楼层/24层,55,金家村,其他
六里桥,距离地铁六里桥269米,押1付3,4200,中楼层/6层,45,六里桥北里10号院,其他
整租,距离地铁莲花桥438米,押2付3,50000,中楼层/24层,439,盛今佳园,毛坯
六里桥,距离地铁六里桥1062米,押1付3,5200,中楼层/24层,70.39,橙色年代,其他
合租,距离地铁五棵松1462米,押2付3,1800,顶层/22层,16,京铁家园,中装
整租,距离地铁六里桥1054米,押2付3,5000,中楼层/24层,50,莲宝路10号院,中装
整租,距离地铁五棵松1462米,押1付3,9000,中楼层/14层,140,京铁家园,精装
整租,距离地铁六里桥1101米,押2付3,6500,顶层/6层,98,精图小区,中装
整租,距离地铁莲花桥577米,押2付3,15000,高楼层/27层,170,莲花小区,中装
整租,距离地铁六里桥1196米,押2付3,10000,低楼层/29层,110,海淀九号,中装
整租,距离地铁五棵松1462米,押2付3,6800,高楼层/22层,90,京铁家园,中装
整租,距离地铁莲花桥1069米,押1付3,6300,底层/6层,61.03,吴家场铁路小区,中装
整租,距离地铁五棵松1462米,押2付3,6800,中楼层/23层,108,京铁家园,简装
整租,距离地铁六里桥东870米,押2付3,8800,高楼层/25层,110,莲馨嘉园,精装
合租,距离地铁五棵松1462米,押2付3,1500,低楼层/22层,10,京铁家园,精装
整租,距离地铁六里桥879米,押1付3,9000,高楼层/16层,126,莲香园,中装
整租,距离地铁六里桥431米,押1付3,7500,高楼层/20层,79,保利百合花园,精装
