chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁西局278米,押2付3,5300,中楼层/18层,65,丽泽景园,精装
整租,距离地铁西局278米,押2付3,5000,高楼层/25层,65,丽泽景园,精装
丽泽,距离地铁六里桥571米,押1付3,12000,高楼层/10层,135.05,益丰苑小区,其他
距离地铁泥洼592米,距离地铁泥洼592米,押1付3,2400,中楼层/12层,15,丰益花园东区,合租
合租,距离地铁西局278米,押2付3,2500,中楼层/24层,18,丽泽景园,中装
整租,距离地铁泥洼592米,押2付3,6600,中楼层/12层,98,丰益花园东区,精装
整租,距离地铁西局278米,押2付3,5500,低楼层/24层,65,丽泽景园,精装
丽泽,距离地铁西局278米,押1付3,5800,中楼层/27层,78.44,丽泽景园,其他
整租,距离地铁泥洼592米,押2付3,6300,低楼层/28层,92,丰益花园东区,精装
整租,距离地铁泥洼592米,押2付3,6000,中楼层/12层,97,丰益花园东区,中装
