chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3200,中楼层/22层,55,晓月新苑,中装
整租,,押2付3,3500,高楼层/6层,52,晓月苑二里,中装
整租,,押2付3,4200,顶层/6层,70,晓月苑二里,简装
整租,,押2付3,4000,高楼层/6层,67,卢沟桥南里,中装
整租,,押2付3,4000,高楼层/22层,65,晓月新苑,精装
整租,,押2付3,3500,低楼层/24层,50,晓月新城,中装
整租,,押2付3,3200,中楼层/6层,60,晓月苑二里,中装
整租,,押2付3,3500,顶层/22层,60,晓月新苑,精装
,,押1付3,1950,底层/6层,12,OLD晓月苑三里,合租
,,押1付3,1760,底层/6层,10,OLD晓月苑三里,合租
卢沟桥,距离地铁大瓦窑1497米,押1付3,5500,顶层/6层,103,银海星月,其他
,,押1付3,1800,底层/6层,12,OLD晓月苑三里,合租
卢沟桥,,押1付3,4900,高楼层/22层,119.46,晓月新苑,其他
卢沟桥,,押1付3,2800,底层/6层,46.74,OLD晓月苑三里,其他
卢沟桥,距离地铁大瓦窑1348米,押1付3,3700,中楼层/6层,58.5,OLD卢沟桥南里,其他
,,押1付3,3500,低楼层/24层,55.4,晓月新城,整租
,,押1付3,2000,底层/6层,10,OLD晓月苑二里,合租
,,押1付3,1800,低楼层/22层,12,晓月新苑,合租
整租,,押1付3,4500,高楼层/6层,95,晓月苑二里,中装
整租,,押2付3,5000,底层/5层,80.07,卢沟桥南里,精装
整租,,押2付3,3500,低楼层/14层,61,丰泰家园,精装
整租,,押2付3,10000,底层/6层,223,领秀翡翠山,毛坯
整租,,押2付3,4500,顶层/6层,70,卢沟桥南里,精装
整租,,押2付3,4600,中楼层/22层,87,晓月新苑,精装
整租,,押2付3,130000,底层/5层,140,晓月苑三里,精装
整租,,押2付3,4500,中楼层/25层,80,沸城,简装
整租,,押2付3,5200,中楼层/24层,94,晓月新城,精装
整租,,押1付12,4700,高楼层/22层,107,晓月新苑,精装
整租,,押2付3,3500,低楼层/24层,42,晓月新城,简装
整租,,押2付3,6500,高楼层/25层,127,沸城,精装
整租,,押2付3,6500,中楼层/18层,128,沸城,精装
整租,,押2付3,3500,中楼层/22层,46,晓月新苑,精装
整租,,押2付3,3500,低楼层/22层,61,晓月新苑,中装
整租,,押2付3,4800,中楼层/22层,87,晓月新苑,精装
整租,,押2付3,5200,中楼层/24层,88.9,晓月新城,精装
整租,,押2付3,5000,低楼层/25层,103,沸城,中装
整租,,押2付3,3800,顶层/22层,60.57,晓月新苑,精装
整租,,押2付3,8500,高楼层/6层,160.12,晓月苑三里,精装
卢沟桥,,押1付3,4300,顶层/21层,96.77,晓月新苑,其他
整租,,押2付3,3300,低楼层/22层,76,鑫湖家园,中装
整租,,押2付3,3500,低楼层/20层,61,中奥嘉园,精装
整租,,押2付3,3500,顶层/5层,86,鑫湖家园,中装
整租,,押2付3,3000,中楼层/5层,80,鑫湖家园,中装
整租,,押2付3,2500,中楼层/6层,57,鑫湖家园,精装
整租,,押2付3,3300,底层/16层,77,鑫湖家园,中装
整租,,押2付3,2500,中楼层/5层,50,鑫湖家园,简装
整租,,押2付3,3300,底层/18层,77,鑫湖家园,精装
整租,,押2付3,2600,中楼层/5层,50,鑫湖家园,中装
整租,,押2付3,5500,底层/12层,127,丰泰家园,精装
整租,,押2付3,4500,顶层/6层,97.56,新月家园,精装
整租,,押2付3,3300,底层/11层,59,鑫湖家园,中装
整租,距离地铁大瓦窑1161米,押2付3,3800,低楼层/6层,80,晓月苑甲1号院,精装
整租,,押1付3,5500,低楼层/6层,158,领秀翡翠山,中装
整租,,押2付3,3000,高楼层/20层,50,中奥嘉园,毛坯
整租,,押2付3,3800,中楼层/18层,70,长辛店长馨园小区,精装
整租,,押2付3,4500,中楼层/6层,72,晓月苑二里,中装
整租,,押1付3,3000,低楼层/6层,42,卢沟桥南里,简装
