chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁马家堡428米,押2付3,5000,低楼层/18层,45,丰开苑小区,精装
整租,距离地铁公益西桥326米,押2付3,16000,底层/10层,220,城南嘉园益明园,精装
整租,距离地铁角门西371米,押2付3,5500,低楼层/6层,60,晨光小区,中装
整租,距离地铁公益西桥203米,押2付3,7500,高楼层/20层,86,星河苑2号院,精装
整租,距离地铁角门西674米,押2付3,5200,中楼层/18层,60,马家堡路67号院,中装
整租,距离地铁角门西402米,押2付3,7500,低楼层/24层,83,明日嘉园,中装
整租,距离地铁马家堡246米,押1付3,4200,中楼层/6层,45,马家堡西里,精装
整租,距离地铁角门西420米,押2付3,6000,底层/6层,60,嘉园二里,中装
整租,距离地铁马家堡96米,押2付3,4500,高楼层/20层,45,嘉园一里,精装
整租,距离地铁角门西211米,押2付3,5200,中楼层/24层,54.75,旭日嘉园,精装
整租,距离地铁马家堡96米,押2付3,5600,高楼层/20层,67,嘉园一里,精装
整租,距离地铁公益西桥652米,押2付3,8000,中楼层/9层,105,城南嘉园益城园,精装
整租,距离地铁角门西595米,押2付3,5000,中楼层/24层,44,明月嘉园,简装
整租,距离地铁公益西桥203米,押1付3,7500,中楼层/20层,80.5,星河苑2号院,精装
整租,距离地铁公益西桥693米,押1付3,5000,低楼层/18层,70,南华小区,精装
整租,距离地铁马家堡246米,押2付3,4200,中楼层/6层,43,马家堡西里,中装
整租,距离地铁公益西桥326米,押2付3,9000,中楼层/11层,98,城南嘉园益明园,精装
整租,距离地铁角门东875米,押1付3,7500,高楼层/16层,122.4,西马金润家园一区,中装
整租,距离地铁公益西桥203米,押2付3,7500,高楼层/18层,82,星河苑2号院,精装
整租,距离地铁角门西420米,押2付3,5500,顶层/6层,68,嘉园二里,中装
整租,距离地铁马家堡246米,押1付3,5200,顶层/18层,70.78,马家堡西里,精装
整租,距离地铁马家堡222米,押2付3,16666,低楼层/18层,180,未来明珠家园,中装
整租,距离地铁角门西595米,押1付6,5000,高楼层/24层,44.5,明月嘉园,中装
整租,距离地铁角门西595米,押1付3,11500,中楼层/24层,120,明月嘉园,精装
整租,距离地铁公益西桥490米,押1付6,5500,高楼层/18层,51.5,星河苑1号院,精装
整租,距离地铁角门西420米,押2付3,5500,顶层/6层,60,嘉园二里,中装
整租,距离地铁公益西桥203米,押2付3,8000,顶层/17层,90,星河苑2号院,精装
整租,距离地铁公益西桥326米,押2付3,8500,中楼层/15层,116,城南嘉园益明园,精装
整租,距离地铁公益西桥434米,押2付3,300000,底层/3层,273,未来假日花园,精装
整租,距离地铁公益西桥451米,押2付3,6000,低楼层/16层,70,流星苑,精装
整租,距离地铁马家堡428米,押2付3,6000,底层/18层,57.19,丰开苑小区,精装
整租,距离地铁马家堡246米,押2付3,5500,顶层/6层,60.1,马家堡西里,精装
整租,距离地铁马家堡246米,押2付3,4800,底层/6层,47,马家堡西里,中装
整租,距离地铁公益西桥261米,押2付3,8000,低楼层/16层,100,名都家苑,精装
整租,距离地铁公益西桥909米,押1付3,18000,顶层/10层,204,景馨园,精装
整租,距离地铁马家堡246米,押1付3,4200,低楼层/6层,43,马家堡西里,中装
整租,距离地铁公益西桥909米,押2付3,5800,顶层/5层,83,景馨园,中装
整租,距离地铁公益西桥326米,押2付3,5000,高楼层/15层,45,城南嘉园益明园,中装
整租,距离地铁公益西桥203米,押2付3,6800,高楼层/20层,83,星河苑2号院,中装
整租,距离地铁公益西桥451米,押1付3,4800,中楼层/16层,70,流星苑,精装
整租,距离地铁公益西桥434米,押1付3,24000,底层/3层,270,未来假日花园,精装
距离地铁角门西420米,距离地铁角门西420米,押1付3,2800,低楼层/18层,15,嘉园二里,合租
整租,距离地铁公益西桥462米,押1付3,7300,高楼层/15层,89,枫竹苑,精装
马家堡,距离地铁角门西601米,押1付3,4600,底层/12层,33.3,嘉园三里,其他
马家堡,距离地铁角门东651米,押1付3,4600,底层/11层,31.67,七克拉,其他
