chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁大红门1103米,押2付3,4800,中楼层/6层,65,南木樨园,精装
整租,距离地铁景泰774米,押2付3,6000,高楼层/26层,75,宣祥家园,中装
整租,距离地铁景泰920米,押2付3,7500,高楼层/28层,102,双城公寓,中装
整租,距离地铁石榴庄615米,押2付3,6500,低楼层/6层,80,海慧寺,中装
整租,距离地铁大红门1103米,押2付3,5000,中楼层/5层,59.68,南木樨园,中装
整租,距离地铁刘家窑838米,押1付3,2500,顶层/6层,25,赵公口小区,中装
整租,距离地铁大红门1149米,押2付3,3000,顶层/18层,14,永外果园,中装
整租,距离地铁刘家窑963米,押2付3,6500,高楼层/27层,101,远中悦麒,精装
合租,距离地铁景泰1123米,押1付3,2200,中楼层/6层,20,马公庄,中装
整租,距离地铁景泰774米,押2付3,4500,底层/25层,68,宣祥家园,中装
整租,距离地铁刘家窑963米,押2付3,4800,中楼层/27层,60,远中悦麒,精装
整租,距离地铁景泰1088米,押2付3,11000,低楼层/23层,150.14,自然美大厦,精装
整租,距离地铁景泰1192米,押2付3,50000,低楼层/25层,427,南曦大厦,精装
整租,距离地铁刘家窑838米,押2付3,4800,中楼层/6层,65,赵公口小区,中装
整租,距离地铁景泰1051米,押2付3,3500,中楼层/6层,45,西木樨园,中装
整租,距离地铁景泰1192米,押2付3,9000,高楼层/21层,148.48,南曦大厦,中装
整租,距离地铁景泰1088米,押2付3,12000,高楼层/23层,159,自然美大厦,中装
合租,距离地铁景泰1123米,押2付3,1800,低楼层/6层,15,马公庄,精装
整租,距离地铁景泰1192米,押2付3,8000,低楼层/25层,145,南曦大厦,中装
整租,距离地铁景泰1192米,押2付3,6800,低楼层/25层,105,南曦大厦,中装
整租,距离地铁景泰1123米,押2付3,4300,中楼层/6层,50,马公庄,精装
合租,距离地铁刘家窑775米,押2付3,1800,低楼层/6层,15,定安西里,简装
整租,距离地铁景泰800米,押2付3,6800,中楼层/9层,90,东木樨园,精装
整租,距离地铁刘家窑551米,押1付6,5000,低楼层/24层,60,冠军楼,中装
木樨园,距离地铁景泰1192米,押1付3,7300,低楼层/25层,140,南曦大厦,其他
整租,距离地铁景泰1192米,押2付3,11000,低楼层/25层,139,南曦大厦,中装
整租,距离地铁景泰1192米,押2付3,8000,高楼层/25层,120,南曦大厦,中装
整租,距离地铁大红门1103米,押2付3,4800,中楼层/6层,63,南木樨园,精装
合租,距离地铁刘家窑775米,押2付3,2600,中楼层/6层,20,定安西里,精装
木樨园,距离地铁景泰924米,押1付3,6500,中楼层/28层,127.8,OLD双城公寓,其他
木樨园,距离地铁大红门1103米,押1付3,5000,低楼层/6层,58.1,南木樨园,其他
木樨园,距离地铁大红门1149米,押1付3,6700,底层/18层,87.4,永外果园,其他
整租,距离地铁景泰920米,押2付3,12000,中楼层/28层,161.5,双城公寓,精装
木樨园,距离地铁大红门1103米,押1付3,4600,底层/6层,50,南木樨园,其他
整租,距离地铁景泰762米,押2付3,6600,中楼层/16层,90,圣淘沙,精装
整租,距离地铁刘家窑775米,押2付3,5300,顶层/6层,54,定安西里,中装
整租,距离地铁刘家窑838米,押1付3,6300,中楼层/6层,80,赵公口小区,精装
整租,距离地铁景泰1192米,押2付3,9200,高楼层/25层,148,南曦大厦,中装
整租,距离地铁景泰1123米,押2付3,5800,低楼层/16层,65.3,马公庄,精装
整租,距离地铁景泰1051米,押2付3,4980,中楼层/6层,58,西木樨园,中装
整租,距离地铁刘家窑775米,押1付3,6000,高楼层/16层,58.4,定安西里,精装
整租,距离地铁景泰1192米,押2付3,8800,中楼层/16层,148.18,南曦大厦,中装
