chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁蒲黄榆379米,押1付3,5200,顶层/6层,53.9,蒲安里,中装
整租,距离地铁刘家窑222米,押2付3,16000,底层/6层,188.93,金容苑,精装
整租,距离地铁蒲黄榆180米,押1付3,9500,中楼层/24层,99,蒲安东里,中装
整租,距离地铁蒲黄榆447米,押2付3,5800,低楼层/6层,57,刘家窑东里,中装
整租,距离地铁景泰414米,押2付3,6000,中楼层/11层,67.7,景泰东里,精装
整租,距离地铁刘家窑264米,押2付3,6800,高楼层/22层,89.06,恒松园,精装
整租,距离地铁蒲黄榆152米,押2付3,3500,底层/7层,41.58,蒲安北里,简装
整租,距离地铁蒲黄榆529米,押2付3,5000,低楼层/6层,60,蒲黄榆四里,精装
整租,距离地铁蒲黄榆596米,押2付3,2500,顶层/16层,15,蒲黄榆二里,中装
整租,距离地铁蒲黄榆152米,押2付3,6000,低楼层/18层,81,蒲安北里,中装
整租,距离地铁刘家窑401米,押1付3,6900,高楼层/14层,75.28,南三环中路15号院,简装
整租,距离地铁刘家窑540米,押2付3,6000,底层/16层,54.9,刘家窑南里,精装
整租,距离地铁蒲黄榆379米,押2付3,6000,顶层/6层,55.5,蒲安里,精装
整租,距离地铁景泰404米,押1付3,5200,底层/6层,50,刘家窑北里,中装
整租,距离地铁蒲黄榆152米,押2付3,5000,高楼层/18层,48.86,蒲安北里,中装
整租,距离地铁景泰414米,押2付3,5000,底层/9层,52,景泰东里,中装
合租,距离地铁蒲黄榆386米,押2付3,2200,顶层/6层,20,蒲黄榆五巷,中装
整租,距离地铁景泰414米,押2付3,6500,高楼层/9层,83,景泰东里,精装
整租,距离地铁刘家窑540米,押2付3,4200,中楼层/6层,40,刘家窑南里,中装
整租,距离地铁蒲黄榆386米,押2付3,4500,低楼层/7层,45.97,蒲黄榆五巷,中装
整租,距离地铁刘家窑540米,押1付3,5500,低楼层/6层,60,刘家窑南里,精装
整租,距离地铁刘家窑401米,押1付3,6200,顶层/6层,49.43,南三环中路15号院,中装
合租,距离地铁蒲黄榆596米,押2付3,2700,中楼层/16层,23,蒲黄榆二里,精装
合租,距离地铁蒲黄榆447米,押2付3,2600,中楼层/18层,25,刘家窑东里,精装
整租,距离地铁蒲黄榆379米,押2付3,6000,顶层/6层,75,蒲安里,精装
整租,距离地铁景泰404米,押2付3,6500,高楼层/6层,68,刘家窑北里,中装
整租,距离地铁蒲黄榆152米,押2付3,7000,低楼层/7层,60,蒲安北里,精装
整租,距离地铁蒲黄榆152米,押2付3,5000,低楼层/18层,47,蒲安北里,简装
整租,距离地铁刘家窑662米,押2付3,5800,底层/6层,51.3,定安东里,精装
合租,距离地铁景泰404米,押2付3,2600,高楼层/6层,20,刘家窑北里,中装
整租,距离地铁蒲黄榆228米,押2付3,6500,中楼层/15层,100,蒲黄榆路,精装
整租,距离地铁刘家窑222米,押1付3,16000,底层/6层,188.93,金容苑,精装
蒲黄榆,距离地铁刘家窑401米,押1付3,3800,高楼层/7层,32.51,南三环中路15号院,其他
合租,距离地铁蒲黄榆379米,押2付3,2000,高楼层/6层,55.5,蒲安里,中装
整租,距离地铁蒲黄榆379米,押2付3,5600,高楼层/6层,65,蒲安里,精装
整租,距离地铁蒲黄榆228米,押2付3,6000,低楼层/6层,70,蒲黄榆路,中装
整租,距离地铁刘家窑540米,押2付3,5000,低楼层/16层,45,刘家窑南里,毛坯
整租,距离地铁蒲黄榆180米,押2付3,4600,底层/18层,50,蒲安东里,精装
合租,距离地铁蒲黄榆596米,押2付3,2600,底层/12层,20,蒲黄榆二里,中装
整租,距离地铁蒲黄榆309米,押2付3,2500,顶层/5层,30,蒲黄榆一里,中装
蒲黄榆,距离地铁刘家窑401米,押1付3,6000,底层/7层,49.43,南三环中路15号院,其他
蒲黄榆,距离地铁刘家窑567米,押1付3,4500,中楼层/13层,50,城市印象,其他
蒲黄榆,距离地铁景泰666米,押1付3,4600,中楼层/6层,65,蒲黄榆三里,其他
蒲黄榆,距离地铁蒲黄榆596米,押1付3,6000,中楼层/6层,53.3,蒲黄榆二里,其他
距离地铁刘家窑264米,距离地铁刘家窑264米,押1付3,2300,底层/23层,15,恒松园,合租
蒲黄榆,距离地铁蒲黄榆379米,押1付3,6000,高楼层/6层,56.7,蒲安里,其他
蒲黄榆,距离地铁景泰491米,押1付3,6500,底层/6层,57.9,蒲安西里,其他
距离地铁蒲黄榆152米,距离地铁蒲黄榆152米,押1付3,3770,高楼层/6层,41.58,蒲安北里,整租
蒲黄榆,距离地铁蒲黄榆447米,押1付3,4600,高楼层/18层,42.92,刘家窑东里,其他
整租,距离地铁刘家窑662米,押1付3,5500,低楼层/18层,60,定安东里,精装
整租,距离地铁蒲黄榆326米,押2付3,9500,中楼层/22层,99,蒲华园,精装
