chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁七里庄496米,押2付3,4500,顶层/6层,60,东大街西里,中装
整租,距离地铁七里庄406米,押2付3,6300,低楼层/24层,97,庄维花园一期,中装
七里庄,距离地铁西局427米,押1付3,5100,低楼层/24层,54.51,西局玉园,其他
七里庄,距离地铁西局427米,押1付3,5100,低楼层/27层,54.42,西局玉园,其他
七里庄,距离地铁西局427米,押1付3,5000,低楼层/23层,55.01,西局玉园,其他
整租,距离地铁七里庄252米,押2付3,5000,低楼层/24层,56,望园东里,简装
整租,距离地铁西局278米,押2付3,10000,低楼层/24层,100,鼎恒中心,简装
七里庄,距离地铁丰台东大街469米,押1付3,4800,顶层/6层,62.16,七里庄小区,其他
七里庄,距离地铁七里庄406米,押1付3,6300,低楼层/24层,80.13,庄维花园一期,其他
整租,距离地铁七里庄252米,押2付3,5000,高楼层/24层,56.3,望园东里,精装
整租,距离地铁七里庄335米,押2付3,13000,低楼层/20层,136.81,西局欣园北区,简装
整租,距离地铁七里庄597米,押2付3,8000,中楼层/22层,120,东大街8号院,中装
整租,距离地铁七里庄982米,押2付3,9000,中楼层/10层,145,小井润园一区,精装
整租,距离地铁七里庄908米,押1付3,5000,顶层/6层,72.05,丰台路口东里,中装
整租,距离地铁七里庄496米,押2付3,5000,高楼层/6层,60,东大街西里,中装
合租,距离地铁七里庄406米,押2付3,3200,高楼层/24层,30,庄维花园一期,精装
整租,距离地铁七里庄172米,押1付3,5300,顶层/6层,65,东大街东里,精装
整租,距离地铁七里庄406米,押2付3,6500,低楼层/22层,101,庄维花园一期,中装
整租,距离地铁七里庄406米,押2付3,9300,中楼层/24层,145,庄维花园一期,精装
整租,距离地铁西局427米,押2付3,6500,底层/22层,83,西局玉园,简装
合租,距离地铁西局427米,押2付3,2600,高楼层/26层,100,西局玉园,精装
整租,距离地铁七里庄496米,押1付3,5300,中楼层/6层,51.3,东大街西里,中装
整租,距离地铁七里庄496米,押2付3,4500,高楼层/6层,60,东大街西里,简装
整租,距离地铁七里庄1134米,押2付3,8000,低楼层/9层,116,保利欣苑,简装
整租,距离地铁七里庄252米,押2付3,5200,中楼层/24层,66,望园东里,中装
距离地铁达官营874米,距离地铁达官营874米,押1付3,2100,中楼层/6层,20,西四环南路32号,合租
七里庄,距离地铁七里庄252米,押1付3,6800,中楼层/26层,82.89,望园东里,其他
七里庄,距离地铁七里庄406米,押1付3,2300,高楼层/14层,15,庄维花园一期,其他
整租,距离地铁七里庄982米,押2付3,7500,中楼层/10层,95,小井润园一区,中装
七里庄,距离地铁六里桥369米,押1付3,5000,高楼层/29层,75,广安路280号院,其他
整租,距离地铁七里庄982米,押2付3,8500,中楼层/9层,148,小井润园一区,简装
整租,距离地铁七里庄335米,押2付3,15000,低楼层/20层,160,西局欣园北区,豪装
整租,距离地铁西局278米,押2付3,4600,低楼层/24层,30,鼎恒中心,中装
合租,距离地铁七里庄870米,押2付3,2000,中楼层/6层,20,北大街北里,中装
整租,距离地铁六里桥912米,押2付3,5500,中楼层/26层,70,玉璞家园,精装
整租,距离地铁六里桥912米,押2付3,6000,中楼层/28层,65,玉璞家园,精装
整租,距离地铁六里桥912米,押2付3,6000,中楼层/28层,65,玉璞家园,精装
整租,距离地铁泥洼277米,押2付3,7000,低楼层/6层,118,泥洼路30号院,中装
整租,距离地铁六里桥912米,押2付3,4500,高楼层/17层,53,玉璞家园,中装
整租,距离地铁六里桥912米,押2付3,5500,低楼层/29层,70,玉璞家园,精装
整租,距离地铁七里庄252米,押1付3,6600,中楼层/26层,85,望园东里,精装
整租,距离地铁七里庄406米,押2付12,7800,高楼层/24层,97,庄维花园一期,精装
整租,距离地铁七里庄406米,押2付3,6000,高楼层/14层,80,庄维花园一期,精装
七里庄,距离地铁七里庄982米,押1付3,1700,低楼层/9层,20,小井润园一区,其他
七里庄,距离地铁七里庄406米,押1付3,8500,低楼层/24层,108,庄维花园一期,其他
七里庄,距离地铁七里庄1134米,押1付3,9200,中楼层/9层,115.92,保利欣苑,其他
七里庄,距离地铁七里庄406米,押1付3,6500,低楼层/24层,80.13,庄维花园一期,其他
七里庄,距离地铁七里庄406米,押1付3,5800,低楼层/24层,80.13,庄维花园一期,其他
七里庄,距离地铁七里庄406米,押1付3,6500,低楼层/24层,88,庄维花园一期,其他
七里庄,距离地铁西局427米,押1付3,5000,低楼层/24层,54.16,西局玉园,其他
七里庄,距离地铁西局427米,押1付3,6000,低楼层/27层,63.09,西局玉园,其他
七里庄,距离地铁七里庄406米,押1付3,6000,高楼层/24层,80.13,庄维花园一期,其他
整租,距离地铁大井918米,押2付3,6000,顶层/6层,90,胡桃园,精装
七里庄,距离地铁西局427米,押1付3,5100,中楼层/22层,54.42,西局玉园,其他
整租,,押2付3,5500,顶层/6层,60,七里庄路20号,精装
整租,距离地铁七里庄982米,押1付3,4300,高楼层/10层,60,小井润园一区,中装
整租,距离地铁大井643米,押2付3,4800,顶层/6层,50,望园西里,中装
整租,距离地铁七里庄870米,押2付3,5000,中楼层/6层,65,北大街北里,中装
七里庄,距离地铁七里庄406米,押1付3,13000,中楼层/22层,174,庄维花园一期,其他
