chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付6,7800,高楼层/19层,113,博龙家园,精装
整租,,押2付3,4500,中楼层/16层,50,青塔蔚园,精装
整租,,押2付3,4500,高楼层/16层,46.6,青塔蔚园,精装
整租,,押2付3,4800,中楼层/6层,65,青塔芳园,中装
整租,,押2付3,6000,低楼层/22层,98,西翠芳庭,精装
整租,,押2付3,4800,高楼层/30层,70,华富丽苑,精装
合租,,押2付3,2700,中楼层/22层,20,西翠芳庭,精装
整租,,押2付3,4800,高楼层/19层,65,博龙家园,精装
整租,,押2付3,4200,低楼层/6层,63.5,青塔秀园,精装
整租,,押2付3,6000,高楼层/20层,98,青塔蔚园,中装
合租,,押2付3,2600,底层/6层,25,青塔芳园,中装
整租,,押1付3,5200,高楼层/28层,85,青塔南里,精装
整租,,押2付3,4600,底层/6层,70,青塔秀园,中装
合租,,押2付3,2500,底层/6层,20,青塔芳园,精装
整租,距离地铁郭庄子1029米,押2付3,6000,低楼层/6层,90,双林苑,精装
整租,,押2付3,5000,低楼层/30层,60,华富丽苑,中装
整租,,押1付3,4700,高楼层/6层,60,青塔秀园,精装
整租,,押1付3,6300,低楼层/15层,106,金隅润景阁,精装
整租,距离地铁郭庄子1011米,押1付3,12000,顶层/10层,157,天鸿美域南区,精装
整租,距离地铁郭庄子1011米,押2付3,8500,中楼层/10层,152,天鸿美域南区,精装
整租,,押1付1,71000,底层/19层,360,博龙家园,简装
整租,,押2付3,4800,高楼层/7层,50,郑常庄308号院,精装
整租,,押2付3,4800,高楼层/7层,80,兆丰园三区,简装
整租,,押2付3,5000,低楼层/6层,56,青塔蔚园,简装
合租,,押2付3,1500,中楼层/16层,15,青塔蔚园,简装
整租,,押2付3,4500,中楼层/6层,56,青塔蔚园,中装
整租,,押1付3,4000,中楼层/6层,48,青塔芳园,中装
整租,,押2付3,3800,底层/6层,45,青塔芳园,简装
合租,,押2付3,1800,低楼层/22层,20,西翠芳庭,中装
,,押1付3,1800,中楼层/20层,13,青塔蔚园,合租
青塔,,押1付3,5700,低楼层/24层,90.66,西翠芳庭,其他
,,押1付3,2200,底层/26层,12,OLD兆丰园,合租
整租,,押1付3,5500,高楼层/20层,80,青塔蔚园,精装
,,押1付3,2000,中楼层/20层,15,青塔蔚园,合租
,,押1付3,2100,中楼层/20层,15,青塔蔚园,合租
整租,,押1付3,5600,高楼层/28层,87.15,青塔南里,中装
,,押1付3,1600,中楼层/20层,10,青塔蔚园,合租
,,押1付3,2200,底层/18层,12,青塔春园,合租
,,押1付3,2600,底层/26层,15,OLD兆丰园,合租
青塔,,押1付3,4200,高楼层/6层,46,青塔芳园,其他
距离地铁郭庄子290米,距离地铁郭庄子290米,押1付3,2650,底层/22层,10,建邦枫景,合租
,,押1付3,2200,底层/18层,15,青塔春园,合租
,,押1付3,2100,底层/18层,13,青塔春园,合租
青塔,距离地铁大瓦窑374米,押1付3,4300,高楼层/21层,49.73,丰泽家园,其他
青塔,,押1付3,5000,高楼层/30层,75,华富丽苑,其他
青塔,,押1付3,3800,底层/6层,34.6,青塔芳园,其他
青塔,,押1付3,4600,中楼层/6层,65,青塔蔚园,其他
青塔,,押1付3,6800,中楼层/15层,102.12,金隅润景阁,其他
青塔,距离地铁郭庄子1407米,押1付3,3600,中楼层/7层,60,首开玲珑汇,其他
距离地铁郭庄子290米,距离地铁郭庄子290米,押1付3,2650,底层/22层,10,建邦枫景,合租
青塔,,押1付3,3800,底层/6层,60.25,青塔蔚园,其他
青塔,,押1付3,4400,底层/19层,67.64,博龙家园,其他
,,押1付3,5300,底层/28层,78,青塔南里,随时看房
青塔,,押1付3,5400,底层/30层,75.29,华富丽苑,其他
合租,,押2付3,2600,高楼层/20层,80,青塔西里,精装
整租,,押2付3,8000,高楼层/20层,120,青塔西里,精装
整租,,押1付3,4600,顶层/6层,65,青塔西里,精装
整租,,押2付3,4600,中楼层/14层,77,青塔西里,中装
整租,,押1付3,6500,低楼层/24层,95,青塔南里,中装
整租,,押2付3,4500,低楼层/24层,60,青塔南里,精装
,,押1付3,2000,低楼层/20层,15,青塔蔚园,合租
,,押1付3,2500,低楼层/20层,15,青塔蔚园,合租
青塔,,押1付3,4400,中楼层/6层,63,青塔秀园,其他
青塔,,押1付3,2100,底层/28层,25,长安新城一区,其他
,,押1付3,2500,底层/7层,15,大成路24号院,合租
,,押1付3,2000,低楼层/20层,15,青塔蔚园,合租
青塔,,押1付3,4200,底层/18层,55,青塔春园,其他
青塔,,押1付3,4300,底层/30层,60,华富丽苑,其他
整租,,押2付3,4200,低楼层/6层,50,青塔秀园,精装
整租,,押2付3,4600,低楼层/6层,65,青塔秀园,中装
整租,,押2付3,5800,中楼层/15层,90,金隅润景阁,精装
整租,,押2付3,7500,中楼层/24层,114,汇锦苑,精装
青塔,,押1付3,4700,底层/6层,58.66,青塔蔚园,其他
整租,,押1付3,5000,底层/6层,63.5,青塔秀园,精装
青塔,,押1付3,4000,高楼层/6层,45,青塔蔚园,其他
青塔,,押1付3,1600,底层/17层,10,长安新城一区,其他
青塔,距离地铁大瓦窑374米,押1付3,4500,中楼层/26层,50.46,丰泽家园,其他
青塔,,押1付3,4800,高楼层/30层,68.53,华富丽苑,其他
青塔,,押1付3,2600,底层/17层,20,长安新城一区,其他
青塔,距离地铁五棵松1492米,押1付3,2200,底层/7层,18,青塔东里,其他
,,押1付3,2300,底层/28层,12,长安新城一区,合租
