chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁六里桥东1010米,押2付3,2200,底层/24层,15,首科花园,精装
整租,距离地铁六里桥东630米,押2付3,9000,低楼层/15层,110,威尔夏大厦,精装
整租,距离地铁六里桥东630米,押1付3,16000,高楼层/21层,153,威尔夏大厦,精装
整租,距离地铁六里桥东385米,押1付3,4700,高楼层/24层,48,太平桥小区,中装
整租,距离地铁六里桥东1010米,押2付3,14000,低楼层/24层,143.13,首科花园,中装
整租,距离地铁六里桥东1010米,押2付3,8800,高楼层/24层,119.4,首科花园,中装
整租,距离地铁六里桥东630米,押2付3,16000,高楼层/21层,220,威尔夏大厦,精装
合租,距离地铁六里桥东322米,押2付3,2800,顶层/6层,15,太平桥西里,中装
合租,距离地铁六里桥东322米,押2付3,2300,高楼层/16层,15,太平桥西里,精装
整租,距离地铁六里桥东1010米,押2付3,7800,低楼层/24层,100,首科花园,精装
整租,距离地铁六里桥东630米,押2付3,11000,低楼层/15层,130,威尔夏大厦,中装
整租,距离地铁六里桥东1010米,押2付3,7800,低楼层/24层,98,首科花园,精装
整租,距离地铁六里桥东1010米,押1付3,7200,高楼层/23层,101.7,首科花园,精装
整租,距离地铁六里桥东322米,押2付3,5500,中楼层/18层,61.86,太平桥西里,中装
整租,距离地铁六里桥东322米,押2付3,5500,高楼层/18层,68,太平桥西里,中装
太平桥,距离地铁六里桥东385米,押1付3,4500,中楼层/24层,55,太平桥小区,其他
整租,距离地铁六里桥东1010米,押2付3,7000,高楼层/24层,88.69,首科花园,中装
太平桥,距离地铁六里桥东1010米,押1付3,6850,底层/14层,80,首科花园,其他
整租,距离地铁六里桥东322米,押2付3,7000,中楼层/6层,73,太平桥西里,精装
整租,距离地铁六里桥东162米,押2付3,6000,高楼层/18层,70,莲花池南里,中装
太平桥,距离地铁六里桥东1010米,押1付3,9400,底层/23层,106.72,首科花园,其他
整租,距离地铁六里桥东896米,押2付3,4000,低楼层/24层,40,尚西泊图,简装
整租,距离地铁六里桥东1010米,押1付3,18000,高楼层/11层,222.72,首科花园,简装
合租,距离地铁六里桥东896米,押2付3,2400,顶层/21层,20,尚西泊图,中装
整租,距离地铁六里桥东322米,押2付3,6000,顶层/6层,60,太平桥西里,精装
整租,距离地铁六里桥东162米,押2付3,4300,低楼层/6层,43.61,莲花池南里,中装
整租,距离地铁六里桥东630米,押2付3,16000,中楼层/20层,160,威尔夏大厦,精装
整租,距离地铁六里桥东322米,押2付3,4800,中楼层/6层,50.6,太平桥西里,精装
太平桥,距离地铁六里桥东322米,押1付3,5600,中楼层/6层,61.75,太平桥西里,其他
整租,距离地铁六里桥东385米,押2付3,4000,底层/6层,40,太平桥小区,中装
整租,距离地铁六里桥东322米,押2付3,4500,顶层/15层,50,太平桥西里,中装
太平桥,距离地铁六里桥东322米,押1付3,4600,低楼层/15层,43.44,太平桥西里,其他
整租,距离地铁六里桥东683米,押2付3,7600,中楼层/20层,90,华源一里8号院,精装
整租,距离地铁六里桥东1008米,押2付3,10000,中楼层/21层,120,华源新第,中装
