chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3200,低楼层/6层,43,丰西北里,精装
整租,距离地铁郭庄子1022米,押2付3,4800,高楼层/23层,83,程庄路小区,中装
整租,距离地铁郭庄子902米,押2付3,3000,底层/6层,50,五里店9号院,毛坯
整租,,押2付3,5200,中楼层/18层,90,彩虹嘉园,精装
整租,,押1付3,3800,高楼层/21层,53.5,程庄南里,精装
整租,,押2付3,5800,底层/18层,91,彩虹嘉园,精装
整租,,押1付3,7000,低楼层/6层,90,丰西北里,精装
整租,距离地铁郭庄子1150米,押1付3,4700,高楼层/6层,90,五里店南里,精装
整租,距离地铁郭庄子1022米,押2付3,8500,顶层/6层,58,程庄路小区,中装
整租,距离地铁郭庄子1150米,押1付3,3000,底层/6层,65,五里店南里,简装
整租,距离地铁郭庄子670米,押1付3,4600,高楼层/6层,55,北油小区,中装
整租,距离地铁郭庄子1150米,押2付3,7000,底层/6层,80,五里店南里,精装
整租,距离地铁郭庄子707米,押2付3,4300,低楼层/10层,60,和光里,豪装
整租,距离地铁郭庄子670米,押2付3,4300,中楼层/6层,70,北油小区,中装
整租,,押2付3,4500,高楼层/6层,78.6,丰西北里,中装
整租,,押2付3,4000,低楼层/21层,57,和风四季,精装
整租,,押2付3,3300,低楼层/6层,60,丰西北里,精装
五里店,,押1付3,3200,高楼层/6层,59.39,丰西北里,其他
五里店,,押1付12,3600,底层/6层,53.72,丰西北里,其他
五里店,,押1付3,3000,顶层/6层,30.49,丰西北里,其他
五里店,距离地铁郭庄子1022米,押1付3,4700,低楼层/6层,91.67,程庄路小区,其他
整租,距离地铁郭庄子902米,押2付3,4200,中楼层/6层,60,五里店9号院,精装
五里店,距离地铁郭庄子670米,押1付3,1800,底层/7层,25,北油小区,其他
整租,,押1付3,4500,中楼层/21层,86,和风四季,中装
整租,距离地铁郭庄子1150米,押2付3,4000,高楼层/6层,60,五里店南里,精装
整租,,押2付3,3500,中楼层/6层,58.71,丰西北里,简装
