chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁永定门外1049米,押2付3,5500,低楼层/18层,70,西罗园二区,精装
整租,距离地铁大红门1217米,押2付3,5000,中楼层/14层,62.2,珠江骏景北区,中装
整租,距离地铁北京南站775米,押1付3,6000,顶层/6层,66.2,马家堡东路29号院,中装
整租,距离地铁永定门外868米,押2付3,12500,底层/5层,80,西罗园一区,中装
整租,距离地铁大红门1217米,押2付3,7300,中楼层/11层,110.71,珠江骏景北区,中装
整租,距离地铁永定门外644米,押2付3,5400,顶层/6层,69.14,管村26号院,精装
整租,距离地铁大红门1217米,押2付3,7300,高楼层/9层,102,珠江骏景北区,中装
整租,距离地铁北京南站1247米,押2付3,5000,高楼层/24层,63.72,宝汇苑,精装
整租,距离地铁大红门694米,押2付3,4800,低楼层/20层,50,珠江骏景南区,精装
整租,距离地铁大红门1217米,押2付3,7500,中楼层/9层,110,珠江骏景北区,精装
整租,距离地铁永定门外868米,押2付3,3800,低楼层/22层,40,西罗园一区,中装
整租,距离地铁永定门外326米,押1付3,5500,顶层/6层,65,东革新里40号院,精装
整租,距离地铁大红门845米,押2付3,7500,低楼层/15层,86,京品小区,精装
整租,距离地铁永定门外326米,押1付3,5000,高楼层/6层,60,东革新里40号院,简装
整租,距离地铁角门东1138米,押2付3,5500,顶层/6层,54.4,西罗园南里小区,精装
整租,距离地铁大红门862米,押1付3,9800,顶层/16层,170,珠江骏景中区,精装
整租,距离地铁大红门731米,押2付3,4500,高楼层/7层,46.25,海户屯,精装
整租,距离地铁角门东1138米,押2付3,5800,高楼层/6层,68,西罗园南里小区,精装
整租,距离地铁北京南站952米,押2付3,4500,顶层/6层,49,西罗园四区,中装
整租,距离地铁北京南站952米,押1付3,4600,中楼层/6层,58.28,西罗园四区,中装
整租,距离地铁北京南站952米,押2付3,3800,中楼层/6层,40,西罗园四区,简装
整租,距离地铁北京南站952米,押2付3,5500,顶层/6层,68,西罗园四区,中装
整租,距离地铁永定门外1049米,押2付3,4000,低楼层/18层,45,西罗园二区,中装
合租,距离地铁北京南站952米,押2付3,2500,中楼层/24层,20,西罗园四区,精装
整租,距离地铁永定门外445米,押2付3,6500,高楼层/16层,75,新永外小区,精装
整租,距离地铁北京南站1079米,押2付3,5000,中楼层/26层,67.6,汇达公寓,精装
整租,距离地铁北京南站952米,押1付3,5700,顶层/6层,65,西罗园四区,精装
整租,距离地铁永定门外445米,押1付3,4300,低楼层/18层,37.3,新永外小区,精装
西罗园,距离地铁永定门外315米,押1付3,3600,中楼层/21层,36.94,革新南路2号院,其他
整租,距离地铁永定门外1049米,押2付3,4300,高楼层/14层,52,西罗园二区,中装
整租,距离地铁北京南站952米,押2付3,4000,高楼层/18层,65.99,西罗园四区,精装
距离地铁北京南站1042米,距离地铁北京南站1042米,押1付3,3800,高楼层/22层,45,西罗园三区,整租
距离地铁永定门外868米,距离地铁永定门外868米,押1付3,4800,中楼层/6层,62,西罗园一区,整租
整租,距离地铁大红门694米,押2付3,4500,高楼层/12层,68,珠江骏景南区,简装
西罗园,距离地铁角门东1138米,押1付3,3800,底层/18层,49.27,西罗园南里小区,其他
整租,距离地铁大红门694米,押2付3,4500,高楼层/12层,68,珠江骏景南区,毛坯
整租,距离地铁大红门694米,押2付3,4000,中楼层/12层,55,珠江骏景南区,中装
合租,距离地铁角门东1138米,押2付3,2000,高楼层/21层,10,西罗园南里小区,精装
整租,距离地铁永定门外779米,押2付3,4300,高楼层/24层,47,百荣嘉园,精装
整租,距离地铁大红门862米,押2付3,33000,顶层/16层,344.87,珠江骏景中区,精装
整租,距离地铁角门东1138米,押2付3,2000,底层/6层,10,西罗园南里小区,简装
整租,距离地铁北京南站952米,押2付3,4600,中楼层/6层,65,西罗园四区,精装
整租,距离地铁角门东1138米,押2付3,6500,高楼层/6层,68,西罗园南里小区,精装
整租,距离地铁大红门694米,押2付3,4500,中楼层/12层,50,珠江骏景南区,简装
整租,距离地铁角门东1138米,押2付3,7500,高楼层/20层,83.49,西罗园南里小区,精装
整租,距离地铁永定门外445米,押2付3,4000,中楼层/16层,42,新永外小区,中装
整租,距离地铁大红门694米,押2付3,7500,低楼层/23层,118,珠江骏景南区,精装
整租,距离地铁大红门862米,押1付3,6800,低楼层/24层,101,珠江骏景中区,简装
整租,距离地铁大红门694米,押2付3,7000,中楼层/12层,98,珠江骏景南区,简装
整租,距离地铁角门东1138米,押2付3,4500,底层/6层,65,西罗园南里小区,精装
整租,距离地铁角门东1138米,押2付3,5500,顶层/6层,65,西罗园南里小区,精装
距离地铁北京南站1042米,距离地铁北京南站1042米,押1付3,2300,底层/24层,15,西罗园三区,合租
整租,距离地铁大红门1217米,押2付3,5200,中楼层/18层,54,珠江骏景北区,中装
西罗园,距离地铁角门东1138米,押1付3,4300,顶层/6层,60,西罗园南里小区,其他
西罗园,距离地铁角门东1138米,押1付3,5200,中楼层/6层,40.6,西罗园南里小区,其他
整租,距离地铁大红门694米,押2付3,10000,低楼层/12层,100,珠江骏景南区,中装
整租,距离地铁大红门694米,押2付3,5000,中楼层/12层,68,珠江骏景南区,简装
整租,距离地铁大红门694米,押2付3,4670,高楼层/12层,70,珠江骏景南区,中装
整租,距离地铁大红门862米,押2付3,9500,中楼层/24层,161,珠江骏景中区,简装
整租,距离地铁大红门1217米,押1付3,12000,底层/14层,41.5,珠江骏景北区,精装
西罗园,距离地铁角门东1138米,押1付3,5800,底层/6层,64.48,西罗园南里小区,其他
