chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁新宫1140米,押2付3,4800,低楼层/15层,58,南庭新苑南区,中装
整租,距离地铁新宫387米,押2付3,6000,中楼层/15层,95,新宫家园,精装
整租,距离地铁新宫328米,押2付3,5500,底层/16层,90,御槐园,精装
整租,距离地铁新宫741米,押1付3,4500,高楼层/16层,58,南庭新苑北区,精装
整租,,押2付3,8500,低楼层/20层,115,公园懿府,精装
整租,距离地铁新宫1140米,押2付3,4800,低楼层/15层,58,南庭新苑南区,精装
整租,距离地铁新宫328米,押2付3,7500,低楼层/16层,85,御槐园,精装
整租,距离地铁新宫387米,押1付3,4500,中楼层/17层,65,新宫家园,精装
整租,距离地铁新宫1140米,押2付3,3600,低楼层/15层,51,南庭新苑南区,精装
整租,,押2付3,5000,中楼层/15层,90,天骄俊园北区,中装
整租,距离地铁新宫741米,押2付3,4500,高楼层/16层,60,南庭新苑北区,精装
新宫,距离地铁新宫741米,押1付3,4200,中楼层/15层,51,南庭新苑北区,其他
新宫,距离地铁新宫690米,押1付3,4200,低楼层/5层,56,翠海明苑,其他
整租,距离地铁新宫1372米,押2付3,5500,高楼层/6层,109,飞腾家园,中装
整租,距离地铁新宫741米,押2付3,4800,顶层/16层,61,南庭新苑北区,中装
整租,距离地铁新宫741米,押1付3,3800,中楼层/15层,50,南庭新苑北区,中装
新宫,距离地铁新宫741米,押1付3,5225,高楼层/15层,68.41,南庭新苑北区,其他
新宫,距离地铁新宫741米,押1付3,4800,中楼层/16层,59,南庭新苑北区,其他
新宫,距离地铁新宫1140米,押1付3,4560,高楼层/16层,60.54,南庭新苑南区,其他
新宫,距离地铁新宫1372米,押1付3,5600,中楼层/6层,114.51,飞腾家园,其他
整租,,押2付3,4800,低楼层/18层,75,公园懿府,精装
新宫,距离地铁新宫1066米,押1付3,4700,底层/18层,81.77,合顺家园,其他
整租,距离地铁新宫1372米,押1付3,5500,顶层/6层,120,飞腾家园,中装
整租,,押2付3,8500,中楼层/16层,127,公园懿府,精装
整租,距离地铁新宫741米,押2付3,60000,低楼层/14层,400,南庭新苑北区,中装
整租,,押2付3,7000,底层/15层,92,公园懿府,豪装
整租,距离地铁新宫741米,押2付3,39000,底层/14层,260,南庭新苑北区,中装
整租,,押2付3,7000,高楼层/15层,110,天骄俊园北区,简装
整租,,押2付3,4000,高楼层/15层,70,天骄俊园北区,中装
整租,,押2付3,8000,高楼层/15层,140,公园懿府,精装
整租,,押2付3,5500,低楼层/15层,98,天骄俊园南区,中装
整租,距离地铁新宫1066米,押2付3,5000,高楼层/18层,83,合顺家园,简装
整租,,押2付3,6500,低楼层/15层,110,天骄俊园南区,简装
整租,距离地铁新宫1140米,押2付3,5000,低楼层/16层,58.81,南庭新苑南区,精装
整租,,押2付3,5000,中楼层/10层,85,天骄俊园北区,中装
整租,,押2付3,5500,高楼层/15层,85.3,天骄俊园北区,简装
整租,距离地铁新宫387米,押2付3,4500,高楼层/15层,69,新宫家园,精装
整租,距离地铁新宫387米,押2付3,5500,低楼层/17层,85,新宫家园,精装
整租,,押2付3,4000,低楼层/15层,60,天骄俊园北区,简装
整租,,押2付3,5000,高楼层/15层,84,天骄俊园南区,简装
整租,距离地铁新宫1140米,押1付3,5000,高楼层/16层,70,南庭新苑南区,精装
整租,距离地铁新宫741米,押2付3,6000,底层/10层,82,南庭新苑北区,中装
整租,距离地铁新宫1372米,押2付3,5500,中楼层/6层,114,飞腾家园,中装
整租,距离地铁新宫1140米,押2付3,4800,低楼层/15层,60,南庭新苑南区,中装
整租,距离地铁新宫741米,押2付3,87000,底层/14层,580,南庭新苑北区,中装
整租,,押2付3,4000,中楼层/18层,53,公园懿府,精装
整租,距离地铁新宫328米,押2付3,5500,低楼层/16层,85,御槐园,精装
整租,距离地铁新宫690米,押2付3,5200,低楼层/5层,57,翠海明苑,中装
整租,,押2付3,5000,高楼层/15层,88,天骄俊园北区,精装
整租,,押2付3,3900,低楼层/12层,51,公园懿府,精装
整租,,押1付3,4900,底层/18层,74,公园懿府,中装
