chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁角门东795米,押2付3,9000,低楼层/21层,101.67,首座绿洲,精装
整租,距离地铁北京南站539米,押2付3,5000,高楼层/6层,65,马家堡路33号院,精装
整租,距离地铁北京南站343米,押1付3,4000,低楼层/20层,37,洋桥北里,精装
整租,距离地铁北京南站716米,押2付3,5000,顶层/6层,65,洋桥西里,精装
整租,距离地铁角门东1067米,押2付3,7800,底层/24层,112,东丽温泉家园,精装
整租,距离地铁角门东1067米,押2付3,6500,顶层/18层,85.44,东丽温泉家园,精装
整租,距离地铁北京南站716米,押2付3,5000,低楼层/6层,65,洋桥西里,中装
整租,距离地铁北京南站343米,押2付3,4800,中楼层/18层,65,洋桥北里,中装
整租,距离地铁北京南站343米,押2付3,5200,中楼层/6层,55,洋桥北里,中装
整租,距离地铁北京南站343米,押2付3,5800,高楼层/22层,56.5,洋桥北里,精装
洋桥,距离地铁角门东601米,押1付3,5600,高楼层/18层,64.8,海户西里34号院,其他
整租,距离地铁角门东1117米,押2付3,5000,顶层/6层,64.4,海户西里,中装
洋桥,距离地铁北京南站716米,押1付3,5700,底层/14层,64.35,洋桥西里,其他
距离地铁角门东601米,距离地铁角门东601米,押1付3,2700,中楼层/18层,10,海户西里34号院,合租
洋桥,距离地铁北京南站343米,押1付12,5000,底层/6层,69,洋桥北里,其他
洋桥,距离地铁北京南站1005米,押1付3,4700,底层/6层,54.7,马家堡路80号院,其他
整租,距离地铁北京南站596米,押1付3,6200,顶层/6层,71,马家堡路8号院,精装
洋桥,距离地铁北京南站716米,押1付3,4400,底层/24层,51.4,洋桥西里,其他
洋桥,距离地铁角门东719米,押1付3,4500,低楼层/6层,65,海户西里31号院,其他
洋桥,距离地铁北京南站1018米,押1付3,2500,低楼层/18层,15,政洋家园,其他
整租,距离地铁北京南站618米,押2付3,5300,中楼层/18层,65,马家堡路23号院,精装
整租,距离地铁角门东1067米,押2付3,5900,底层/18层,80,东丽温泉家园,精装
距离地铁北京南站1018米,距离地铁北京南站1018米,押1付3,2500,低楼层/18层,18,政洋家园,合租
整租,距离地铁北京南站813米,押1付3,6100,高楼层/16层,67,洋桥东里,精装
整租,距离地铁北京南站1018米,押2付3,3600,高楼层/16层,60,政洋家园,精装
整租,距离地铁北京南站716米,押2付3,6000,高楼层/6层,81,洋桥西里,中装
整租,距离地铁北京南站716米,押2付3,5500,高楼层/14层,65,洋桥西里,精装
洋桥,距离地铁北京南站343米,押1付3,2200,底层/6层,12,洋桥北里,其他
距离地铁北京南站1018米,距离地铁北京南站1018米,押1付3,2200,低楼层/18层,15,政洋家园,合租
整租,距离地铁角门东795米,押2付3,8500,底层/21层,86.54,首座绿洲,精装
整租,距离地铁北京南站618米,押2付3,6500,低楼层/18层,70,马家堡路23号院,精装
距离地铁北京南站1018米,距离地铁北京南站1018米,押1付3,2700,低楼层/18层,18,政洋家园,合租
整租,距离地铁角门东1117米,押2付3,5800,顶层/18层,70,海户西里,精装
洋桥,距离地铁北京南站489米,押1付3,5800,底层/20层,74.7,马家堡路27号院,其他
整租,距离地铁北京南站918米,押2付3,6000,底层/6层,60,南三环中路71号院,精装
洋桥,距离地铁北京南站343米,押1付3,4700,底层/6层,57.1,洋桥北里,其他
距离地铁角门东601米,距离地铁角门东601米,押1付3,6000,低楼层/18层,83,海户西里34号院,整租
整租,距离地铁北京南站716米,押2付3,7000,低楼层/6层,76,洋桥西里,精装
整租,距离地铁北京南站343米,押2付3,6500,高楼层/24层,85,洋桥北里,豪装
整租,距离地铁角门东1067米,押2付3,9000,高楼层/24层,142.23,东丽温泉家园,精装
距离地铁角门东1117米,距离地铁角门东1117米,押1付3,4500,顶层/6层,54.22,海户西里,整租
