chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,5800,低楼层/18层,82,玉林里,精装
整租,距离地铁北京南站585米,押1付3,5000,高楼层/6层,59,开阳里东巷甲24号院,精装
右安门外,距离地铁北京南站1378米,押1付3,4600,顶层/6层,60,玉林东里三区,其他
整租,,押2付3,4700,中楼层/6层,57.1,玉林里,中装
整租,距离地铁北京南站1378米,押2付3,4800,中楼层/6层,54.44,玉林东里三区,简装
整租,,押2付3,5000,高楼层/6层,58,玉林里,精装
右安门外,,押1付3,4800,底层/18层,58.59,玉林西里,其他
整租,,押2付3,5500,高楼层/18层,67,玉林西里,豪装
右安门外,,押1付3,6300,高楼层/18层,74.38,玉林西里,其他
,,押1付3,2050,中楼层/6层,15,玉林里,合租
右安门外,距离地铁北京南站585米,押1付3,5400,中楼层/6层,57.8,开阳里东巷甲24号院,其他
右安门外,距离地铁北京南站1419米,押1付3,3900,低楼层/6层,44.5,玉林东里一区,其他
右安门外,距离地铁北京南站1372米,押1付3,6000,低楼层/6层,73,右外西三条,其他
右安门外,距离地铁马家堡1122米,押1付3,4800,高楼层/22层,50.17,百合园,其他
右安门外,,押1付3,5500,高楼层/6层,58,玉林里,其他
,,押1付3,2000,低楼层/18层,10,玉林里,合租
,,押1付3,2400,低楼层/18层,15,玉林里,合租
,,押1付3,2400,低楼层/18层,15,玉林里,合租
右安门外,,押1付3,5500,高楼层/18层,66.96,玉林里,其他
右安门外,距离地铁北京南站1197米,押1付3,4500,中楼层/10层,36.2,右外大街1号,其他
右安门外,,押1付3,4600,顶层/6层,65,玉林东里二区,其他
整租,,押2付3,6700,底层/28层,87,亚林西居住区,精装
右安门外,距离地铁北京南站1378米,押1付3,5000,低楼层/6层,56.83,玉林东里三区,其他
整租,,押2付3,5200,低楼层/28层,58,亚林西居住区,精装
右安门外,距离地铁北京南站1170米,押1付3,3800,中楼层/6层,37.21,右安门外大街22号院,其他
距离地铁马家堡1122米,距离地铁马家堡1122米,押1付3,5500,低楼层/14层,83,百合园,整租
整租,,押2付3,6000,中楼层/6层,57.71,祖家庄,精装
距离地铁北京南站1419米,距离地铁北京南站1419米,押1付3,2100,中楼层/4层,10,玉林东里一区,合租
整租,距离地铁马家堡1122米,押2付3,5500,低楼层/22层,70,百合园,精装
整租,,押2付3,7800,低楼层/18层,97.28,玉林西里,中装
整租,,押2付3,6500,低楼层/28层,87,亚林西居住区,精装
整租,,押2付3,6000,低楼层/24层,87,亚林西居住区,简装
整租,,押1付3,7200,顶层/24层,87,亚林西居住区,豪装
整租,,押2付3,5500,高楼层/20层,58,亚林西居住区,简装
整租,,押2付3,7000,低楼层/20层,87,亚林西居住区,中装
整租,,押1付3,5500,中楼层/24层,58,亚林西居住区,精装
合租,,押2付3,7000,中楼层/24层,120,亚林西居住区,精装
整租,,押2付3,5300,低楼层/28层,58,亚林西居住区,精装
整租,,押2付3,5300,高楼层/28层,58,亚林西居住区,精装
整租,,押2付3,6500,高楼层/28层,87,亚林西居住区,精装
整租,,押2付3,5000,顶层/6层,60,玉林里,中装
整租,,押2付3,5500,高楼层/28层,58,亚林西居住区,精装
整租,,押2付3,5000,顶层/6层,60,玉林里,精装
整租,,押2付3,5000,顶层/6层,60,玉林里,中装
整租,,押2付3,5300,低楼层/25层,58,亚林西居住区,精装
整租,,押2付3,5000,中楼层/18层,58,亚林西居住区,精装
整租,,押1付3,4800,中楼层/18层,60,玉林西里,中装
整租,,押2付3,5500,高楼层/28层,60,亚林西居住区,精装
右安门外,,押1付3,4900,低楼层/18层,61.5,玉林东里二区,其他
右安门外,,押1付3,2150,中楼层/18层,11,玉林西里,其他
整租,,押2付3,5500,中楼层/28层,58,亚林西居住区,精装
距离地铁马家堡1122米,距离地铁马家堡1122米,押1付3,4691,高楼层/14层,70,百合园,整租
,,押1付3,3830,高楼层/7层,50,玉林西里,整租
右安门外,距离地铁马家堡1122米,押1付3,5520,高楼层/14层,77,百合园,其他
右安门外,距离地铁马家堡1122米,押1付3,5650,中楼层/14层,80,百合园,其他
整租,,押2付3,5600,中楼层/26层,58,亚林西居住区,精装
整租,距离地铁北京南站1378米,押2付3,5100,高楼层/6层,54.35,玉林东里三区,中装
整租,,押1付3,6000,顶层/6层,68.6,玉林里,中装
