chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,7600,中楼层/22层,115,民岳家园,精装
整租,,押2付3,8300,中楼层/23层,120,西府景园,精装
整租,,押2付3,4700,中楼层/20层,60,梅市口路甲12号院,精装
整租,,押1付3,13000,中楼层/9层,132,大成郡花雨园,精装
整租,,押2付3,6000,中楼层/27层,85,大成时代公寓楼,精装
整租,距离地铁大井538米,押2付3,5200,顶层/6层,61.4,大井东里,中装
整租,距离地铁大井263米,押2付3,5500,高楼层/6层,50.73,大井南里,中装
整租,距离地铁大井263米,押2付3,4500,顶层/6层,60,大井南里,中装
整租,,押1付6,5000,低楼层/17层,50,第七街区,精装
整租,距离地铁大井493米,押2付3,8000,中楼层/31层,97.12,丰体时代,精装
整租,距离地铁大井493米,押2付3,7700,高楼层/28层,123,丰体时代,精装
整租,,押2付3,7600,中楼层/21层,127,西府颐园,精装
整租,,押2付3,4700,低楼层/9层,65,靛厂锦园,简装
整租,,押1付3,10000,低楼层/20层,140,民岳家园,中装
整租,,押2付3,5600,高楼层/27层,75,大成时代公寓楼,简装
整租,,押2付3,7500,中楼层/34层,100,第七街区,中装
整租,,押2付3,17000,顶层/27层,180,大成时代公寓楼,精装
岳各庄,距离地铁大井493米,押1付3,4200,低楼层/28层,33.45,丰体时代,其他
整租,,押2付3,7000,低楼层/27层,85,大成时代公寓楼,精装
整租,,押2付3,8800,高楼层/34层,139,第七街区,中装
整租,,押2付3,8000,中楼层/34层,100,第七街区,精装
整租,,押1付3,8000,中楼层/23层,120,西府景园,精装
整租,,押1付3,7000,中楼层/18层,93,紫辰院,精装
整租,,押2付3,6000,中楼层/5层,80,梅市口路11号院,中装
电话预约,,,7300,中楼层/15层,110,第七街区,精装
整租,距离地铁大井493米,押2付3,3800,中楼层/29层,45,丰体时代,毛坯
整租,,押2付3,6200,底层/13层,68,珠江峰景,精装
整租,,押2付3,6800,高楼层/23层,90,民岳家园三期,精装
整租,,押2付3,5000,中楼层/9层,65,靛厂锦园,精装
整租,,押2付3,8000,高楼层/23层,120,西府景园,精装
岳各庄,距离地铁大井263米,押1付3,5800,底层/6层,49.29,大井南里,其他
整租,距离地铁大井263米,押2付3,4800,中楼层/6层,53,大井南里,精装
整租,,押2付3,3800,中楼层/15层,64,第七街区,精装
整租,,押2付3,6200,低楼层/22层,104.9,民岳家园,精装
整租,,押1付12,5000,高楼层/8层,60,靛厂锦园,精装
整租,,押2付3,5700,中楼层/26层,95,西府颐园,中装
整租,距离地铁大井291米,押2付3,5000,低楼层/6层,58,大井中里,精装
整租,距离地铁大井538米,押1付3,4800,高楼层/6层,61.4,大井东里,中装
整租,,押1付3,4600,中楼层/9层,60,靛厂锦园,中装
整租,距离地铁大井263米,押1付3,5000,中楼层/6层,60,大井南里,简装
距离地铁大井538米,距离地铁大井538米,押1付3,5000,顶层/6层,61.84,大井东里,整租
岳各庄,距离地铁大井493米,押1付3,7800,高楼层/29层,105,丰体时代,其他
岳各庄,距离地铁大井263米,押1付3,4600,底层/6层,53,大井南里,其他
岳各庄,距离地铁大井493米,押1付3,3500,中楼层/28层,40,丰体时代,其他
岳各庄,,押1付3,6300,底层/9层,90,靛厂锦园,其他
,,押1付3,7500,中楼层/27层,80,大成时代公寓楼,整租
岳各庄,距离地铁大井373米,押1付3,4200,高楼层/6层,50,大井北里,其他
岳各庄,,押1付3,7500,高楼层/21层,154,珠江峰景,其他
岳各庄,,押1付3,5500,底层/15层,51.27,第七街区,其他
岳各庄,,押1付3,5500,低楼层/27层,86,大成时代公寓楼,其他
岳各庄,距离地铁大井493米,押1付3,8000,高楼层/28层,120,丰体时代,其他
岳各庄,距离地铁大井493米,押1付12,5800,顶层/29层,95,丰体时代,其他
