chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁首经贸625米,押2付3,7100,中楼层/22层,96,万年花城三期,中装
整租,距离地铁丰台站823米,押2付3,4800,低楼层/17层,40,万年花城五期回迁,中装
整租,距离地铁首经贸1075米,押1付12,5000,高楼层/6层,73,新村四里,精装
整租,距离地铁纪家庙372米,押2付3,3900,中楼层/24层,40,亿朋苑三区,中装
整租,距离地铁首经贸659米,押2付3,7000,高楼层/17层,90,万年花城五期,中装
整租,距离地铁首经贸540米,押2付3,9000,中楼层/18层,116,万年花城一期回迁,精装
整租,距离地铁纪家庙1151米,押2付3,7500,中楼层/6层,110,青秀城,精装
整租,距离地铁首经贸304米,押2付3,5500,底层/29层,47,万年花城二期,精装
整租,距离地铁首经贸304米,押2付3,7500,低楼层/29层,88.48,万年花城二期,精装
整租,距离地铁首经贸601米,押2付3,6800,高楼层/17层,80,万年花城一期,中装
整租,距离地铁首经贸334米,押1付3,7500,高楼层/29层,89,万年花城四期,精装
整租,距离地铁纪家庙697米,押2付3,3800,顶层/6层,45,万柳园,精装
整租,距离地铁首经贸1075米,押1付3,4600,低楼层/6层,60,新村四里,精装
整租,距离地铁丰台站239米,押2付3,6800,低楼层/24层,95,三环新城8号院,精装
整租,距离地铁首经贸304米,押2付6,7000,低楼层/13层,81.36,万年花城二期,精装
整租,距离地铁首经贸334米,押1付3,5200,高楼层/26层,52,万年花城四期,中装
整租,距离地铁丰台站451米,押1付3,5000,高楼层/31层,67,三环新城7号院,精装
整租,距离地铁纪家庙1151米,押2付3,4700,高楼层/18层,60,青秀城,精装
整租,距离地铁首经贸334米,押1付3,6000,中楼层/29层,74,万年花城四期,精装
整租,距离地铁首经贸625米,押2付3,9500,中楼层/19层,130,万年花城三期,精装
整租,距离地铁丰台站525米,押2付3,6500,低楼层/24层,106,三环新城6号院,精装
整租,距离地铁丰台站451米,押2付3,6000,高楼层/31层,95,三环新城7号院,中装
整租,距离地铁丰台站593米,押1付3,4000,高楼层/11层,40,樊家村甲六号院,中装
整租,距离地铁首经贸334米,押1付3,8000,中楼层/29层,100,万年花城四期,精装
整租,距离地铁首经贸334米,押2付3,5200,中楼层/29层,54,万年花城四期,精装
整租,距离地铁纪家庙697米,押1付3,4000,顶层/6层,60,万柳园,中装
整租,距离地铁丰台南路842米,押2付3,5000,底层/4层,65,新村二里,精装
整租,距离地铁丰台站239米,押2付3,5000,中楼层/16层,60,三环新城8号院,精装
整租,距离地铁纪家庙1151米,押2付3,6000,中楼层/20层,90,青秀城,精装
整租,距离地铁丰台南路842米,押2付3,5200,顶层/6层,60,新村二里,精装
整租,距离地铁丰台南路143米,押1付3,6500,低楼层/18层,102,宝丰大厦,精装
整租,距离地铁丰台南路561米,押2付3,6500,中楼层/14层,100,彩虹街区,精装
整租,距离地铁丰台站451米,押2付3,6200,低楼层/31层,93,三环新城7号院,中装
整租,距离地铁首经贸894米,押2付3,6200,高楼层/20层,85,中景理想家,精装
整租,距离地铁丰台站451米,押1付12,5500,低楼层/31层,65,三环新城7号院,中装
整租,距离地铁纪家庙697米,押1付3,5300,高楼层/6层,70,万柳园,精装
整租,距离地铁丰台南路561米,押2付3,27000,底层/18层,86.69,彩虹街区,中装
整租,距离地铁首经贸894米,押1付3,7000,中楼层/15层,90,中景理想家,精装
整租,距离地铁首经贸334米,押1付3,7000,中楼层/27层,97,万年花城四期,精装
整租,距离地铁丰台南路561米,押1付3,6500,中楼层/16层,101.22,彩虹街区,精装
整租,距离地铁首经贸304米,押2付3,7300,中楼层/14层,103,万年花城二期,精装
整租,距离地铁丰台南路212米,押2付3,4500,中楼层/6层,60,造甲南里,中装
整租,距离地铁首经贸304米,押2付3,7500,高楼层/10层,117.58,万年花城二期,简装
整租,距离地铁科怡路896米,押2付3,4500,低楼层/21层,58,鸿业兴园一区,中装
整租,距离地铁首经贸659米,押1付3,5600,高楼层/17层,50,万年花城五期,精装
整租,距离地铁丰台站593米,押2付3,4000,高楼层/11层,40,樊家村甲六号院,精装
整租,距离地铁首经贸625米,押1付3,5200,中楼层/14层,57,万年花城三期,精装
整租,距离地铁首经贸334米,押1付3,7000,高楼层/29层,98,万年花城四期,精装
