chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁宋家庄697米,押1付3,3500,中楼层/22层,30,顶秀欣园西苑,中装
整租,距离地铁大红门188米,押2付3,5500,顶层/5层,70,苗圃东里,简装
整租,距离地铁宋家庄1051米,押2付3,9000,中楼层/12层,130,世华水岸,精装
整租,距离地铁大红门188米,押2付3,4500,高楼层/22层,60,苗圃东里,精装
整租,距离地铁石榴庄760米,押2付3,4500,中楼层/16层,46,彩虹城四区,中装
整租,距离地铁宋家庄697米,押2付3,5500,顶层/22层,65,顶秀欣园西苑,精装
整租,距离地铁石榴庄396米,押2付3,5300,中楼层/6层,60,石榴园北里,精装
整租,距离地铁宋家庄930米,押2付3,5000,中楼层/21层,50,怡和世家,精装
整租,距离地铁宋家庄930米,押2付3,4200,中楼层/27层,55,怡和世家,中装
合租,距离地铁石榴庄396米,押1付3,2200,高楼层/6层,58.84,石榴园北里,精装
整租,距离地铁石榴庄744米,押2付3,7000,高楼层/22层,87,彩虹城一区,精装
整租,距离地铁宋家庄930米,押1付3,4500,底层/26层,50,怡和世家,中装
整租,距离地铁石榴庄744米,押2付3,6900,高楼层/22层,90.33,彩虹城一区,精装
合租,距离地铁石榴庄306米,押2付3,2000,低楼层/6层,60,石榴庄西街,精装
整租,距离地铁石榴庄319米,押2付3,5200,高楼层/6层,60,南顶村,精装
整租,距离地铁石榴庄319米,押1付3,5500,低楼层/6层,70,南顶村,精装
整租,距离地铁宋家庄930米,押2付3,6000,高楼层/20层,85,怡和世家,中装
整租,距离地铁宋家庄930米,押2付3,4500,高楼层/26层,55,怡和世家,简装
整租,距离地铁石榴庄181米,押1付3,7200,中楼层/21层,106,慧时欣园一期,精装
合租,距离地铁宋家庄930米,押2付3,2600,低楼层/25层,30,怡和世家,中装
整租,距离地铁宋家庄930米,押2付3,4800,高楼层/25层,60,怡和世家,精装
整租,距离地铁宋家庄697米,押2付3,5800,高楼层/22层,81.5,顶秀欣园西苑,精装
整租,距离地铁石榴庄404米,押1付12,6000,高楼层/6层,75,石榴园南里,精装
赵公口,距离地铁石榴庄396米,押1付3,4400,低楼层/6层,50,石榴园北里,其他
赵公口,距离地铁石榴庄396米,押1付3,4300,顶层/6层,44.7,石榴园北里,其他
赵公口,距离地铁景泰989米,押1付3,5000,高楼层/14层,38.8,OLD南三环中路,其他
赵公口,距离地铁宋家庄697米,押1付3,2500,低楼层/22层,30,顶秀欣园西苑,其他
赵公口,距离地铁石榴庄396米,押1付3,5300,底层/18层,69.71,石榴园北里,其他
赵公口,距离地铁宋家庄930米,押1付3,6200,底层/26层,85,怡和世家,其他
赵公口,距离地铁宋家庄930米,押1付3,6550,中楼层/25层,90,怡和世家,其他
赵公口,距离地铁石榴庄605米,押1付3,5000,中楼层/5层,68,OLD南顶村,其他
赵公口,距离地铁石榴庄605米,押1付3,4700,低楼层/6层,50.55,OLD南顶村,其他
赵公口,距离地铁宋家庄697米,押1付3,2200,顶层/22层,20,顶秀欣园西苑,其他
赵公口,距离地铁宋家庄1051米,押1付3,2400,高楼层/9层,25,世华水岸,其他
赵公口,距离地铁石榴庄181米,押1付3,2400,高楼层/24层,20,慧时欣园一期,其他
赵公口,距离地铁石榴庄605米,押1付3,4700,顶层/6层,54.1,OLD南顶村,其他
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2650,高楼层/22层,15,顶秀欣园西苑,合租
赵公口,距离地铁石榴庄417米,押1付3,8000,中楼层/24层,109,慧时欣园二期,其他
赵公口,距离地铁石榴庄396米,押1付3,4200,顶层/6层,60.72,石榴园北里,其他
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2600,高楼层/22层,15,顶秀欣园西苑,合租
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2650,高楼层/22层,15,顶秀欣园西苑,合租
赵公口,距离地铁大红门1205米,押1付3,4000,中楼层/6层,40.27,大红门南里,其他
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2300,高楼层/22层,15,顶秀欣园西苑,合租
赵公口,距离地铁石榴庄396米,押1付3,4900,中楼层/6层,58.54,石榴园北里,其他
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2600,高楼层/22层,15,顶秀欣园西苑,合租
距离地铁石榴庄404米,距离地铁石榴庄404米,押1付3,3500,低楼层/11层,55,石榴园南里,整租
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2350,高楼层/22层,15,顶秀欣园西苑,合租
距离地铁石榴庄181米,距离地铁石榴庄181米,押1付3,2700,高楼层/1层,20,慧时欣园一期,合租
赵公口,距离地铁宋家庄1051米,押1付3,2800,高楼层/9层,23,世华水岸,其他
赵公口,距离地铁石榴庄181米,押1付3,5400,高楼层/1层,73,慧时欣园一期,其他
赵公口,距离地铁石榴庄396米,押1付3,5150,中楼层/6层,61.8,石榴园北里,其他
距离地铁石榴庄404米,距离地铁石榴庄404米,押1付3,2100,高楼层/6层,18,石榴园南里,合租
距离地铁石榴庄404米,距离地铁石榴庄404米,押1付3,2400,高楼层/6层,15,石榴园南里,合租
赵公口,距离地铁石榴庄603米,押1付3,4500,低楼层/6层,47.62,康泽园小区,其他
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2300,中楼层/22层,20,顶秀欣园西苑,合租
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2500,中楼层/22层,20,顶秀欣园西苑,合租
赵公口,距离地铁石榴庄605米,押1付3,4500,中楼层/5层,66,OLD南顶村,其他
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2200,中楼层/22层,20,顶秀欣园西苑,合租
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2300,中楼层/22层,20,顶秀欣园西苑,合租
赵公口,距离地铁石榴庄319米,押1付3,4400,中楼层/6层,45.3,南顶村,其他
整租,距离地铁宋家庄1051米,押2付3,10000,中楼层/6层,166,世华水岸,精装
合租,距离地铁大红门1020米,押1付3,3000,高楼层/21层,20,裕隆园,精装
赵公口,,押1付3,7200,中楼层/15层,120,OLD彩虹城,其他
整租,距离地铁石榴庄760米,押2付3,7000,低楼层/22层,91.25,彩虹城四区,精装
整租,距离地铁宋家庄1051米,押2付3,12000,底层/6层,138,世华水岸,精装
整租,距离地铁石榴庄894米,押2付3,50000,底层/1层,650,彩虹城二区,精装
距离地铁石榴庄404米,距离地铁石榴庄404米,押1付3,2400,高楼层/6层,20,石榴园南里,合租
赵公口,距离地铁大红门454米,押1付3,4000,底层/6层,51.89,高庄,其他
距离地铁石榴庄417米,距离地铁石榴庄417米,押1付3,9000,中楼层/25层,166,慧时欣园二期,整租
整租,距离地铁石榴庄396米,押1付3,5500,顶层/6层,60,石榴园北里,精装
赵公口,距离地铁石榴庄396米,押1付3,2200,顶层/9层,24,石榴园北里,其他
赵公口,距离地铁石榴庄605米,押1付3,4000,中楼层/19层,65.84,OLD南顶村,其他
距离地铁大红门188米,距离地铁大红门188米,押1付3,2500,底层/22层,13,苗圃东里,合租
整租,距离地铁石榴庄396米,押2付3,4800,底层/6层,60,石榴园北里,精装
赵公口,距离地铁石榴庄417米,押1付3,7500,低楼层/27层,106.2,慧时欣园二期,其他
赵公口,距离地铁大红门188米,押1付3,4400,顶层/5层,61.47,苗圃东里,其他
距离地铁石榴庄396米,距离地铁石榴庄396米,押1付3,1900,底层/9层,10,石榴园北里,合租
赵公口,距离地铁宋家庄930米,押1付3,4000,底层/26层,50,怡和世家,其他
赵公口,距离地铁石榴庄396米,押1付3,4300,顶层/6层,50,石榴园北里,其他
赵公口,距离地铁石榴庄181米,押1付3,7000,高楼层/1层,120,慧时欣园一期,其他
距离地铁大红门1068米,距离地铁大红门1068米,押2付3,5200,中楼层/21层,77,光彩家园,随时看房
距离地铁宋家庄697米,距离地铁宋家庄697米,押1付3,2100,中楼层/22层,15,顶秀欣园西苑,合租
距离地铁石榴庄603米,距离地铁石榴庄603米,押1付3,2500,中楼层/21层,20,康泽园小区,合租
整租,距离地铁宋家庄1051米,押2付3,17000,低楼层/8层,188,世华水岸,中装
赵公口,距离地铁石榴庄605米,押1付3,5700,中楼层/6层,58.89,OLD南顶村,其他
距离地铁石榴庄417米,距离地铁石榴庄417米,押1付3,8000,中楼层/25层,115,慧时欣园二期,整租
整租,距离地铁石榴庄396米,押2付3,5000,中楼层/6层,58.8,石榴园北里,中装
整租,距离地铁石榴庄760米,押2付3,7500,高楼层/22层,97,彩虹城四区,精装
整租,距离地铁石榴庄603米,押2付3,7500,低楼层/22层,141,康泽园小区,中装
合租,距离地铁石榴庄396米,押1付3,2000,高楼层/6层,60,石榴园北里,简装
整租,距离地铁大红门188米,押2付3,4500,中楼层/5层,50,苗圃东里,简装
整租,距离地铁石榴庄744米,押1付3,7000,低楼层/22层,92,彩虹城一区,精装
整租,距离地铁大红门188米,押1付3,5500,低楼层/22层,70,苗圃东里,简装
