chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,4100,中楼层/8层,93,首座御园一期,中装
整租,,押1付3,3500,中楼层/15层,96,瀛海家园,中装
整租,,押2付3,3200,底层/4层,61,敬贤里,精装
合租,,押2付3,1400,低楼层/9层,20,格林云墅,精装
整租,,押2付3,4000,低楼层/15层,80,南海家园一里,精装
整租,,押2付3,4200,底层/23层,90,兴盛馨苑,精装
整租,,押1付3,3500,中楼层/6层,121,隆盛东园,精装
整租,,押2付3,4800,中楼层/8层,92.43,首座御园一期,精装
整租,,押1付3,2200,中楼层/6层,52,红星鸡场,中装
整租,,押2付3,3800,高楼层/16层,90,永旭嘉园,精装
整租,,押2付3,3500,中楼层/15层,88,永旭嘉园,精装
整租,,押2付3,3500,低楼层/15层,70,南海家园一里,精装
整租,,押2付3,3900,顶层/6层,83,德茂小区,精装
整租,,押2付3,4300,高楼层/18层,90,南海子家园二里,中装
整租,距离地铁黄村火车站1316米,押2付3,3700,顶层/18层,88,佟馨家园,简装
整租,,押2付3,3700,顶层/20层,90,兴盛馨苑,中装
整租,,押2付3,3200,顶层/5层,55.87,团河苑,精装
整租,,押1付3,2800,中楼层/6层,74,新凤小区,简装
合租,,押2付3,1300,中楼层/8层,18,首座御园一期,精装
整租,距离地铁黄村火车站1316米,押2付3,3600,低楼层/18层,80,佟馨家园,精装
整租,,押1付3,3400,低楼层/6层,94,德茂佳苑,精装
整租,,押1付3,4600,低楼层/15层,96,中南湾,精装
整租,,押2付3,3400,中楼层/6层,56,德茂小区,精装
整租,,押2付3,2700,中楼层/6层,135,隆盛东园,精装
整租,,押2付3,2500,高楼层/11层,93,大东新村,精装
整租,,押1付3,4200,中楼层/18层,95,鹿海园五里,中装
整租,,押1付3,5300,中楼层/14层,92,鹿海园五里,精装
整租,,押2付3,3300,底层/18层,64,兴盛馨苑,精装
整租,,押2付3,4500,底层/14层,100,鹿海园五里,精装
整租,,押2付3,15000,底层/3层,330,198栋,精装
整租,,押2付3,4500,低楼层/15层,80,瀛海家园,精装
整租,,押2付3,3000,高楼层/6层,57.97,鹿海园三里,简装
整租,,押2付3,4300,低楼层/6层,95,上林苑,精装
整租,,押2付3,3000,高楼层/6层,85,新凤小区,简装
整租,,押2付3,3500,中楼层/28层,86,瀛海家园,精装
整租,,押2付3,4000,低楼层/18层,90,南海家园一里,中装
整租,,押1付3,4100,低楼层/24层,127,金色漫香郡,精装
整租,,押1付3,3800,高楼层/18层,91,南海子家园二里,简装
整租,,押2付3,4000,高楼层/8层,93.62,首座御园一期,精装
整租,,押2付3,3500,低楼层/20层,105,富力非常haos,中装
整租,,押2付3,3500,底层/6层,88,华远和墅雅园,中装
整租,距离地铁清源路1179米,押2付3,4300,中楼层/6层,101,金华里,中装
整租,,押2付3,3000,中楼层/15层,81,蓝桥驿苑,精装
