chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁黄村西大街1323米,押2付3,3700,中楼层/6层,70,双河南里,精装
整租,距离地铁黄村西大街1386米,押1付3,3000,顶层/6层,53,观音寺北里,中装
观音寺,距离地铁黄村火车站1393米,押1付3,3680,高楼层/6层,78.55,观音寺南里,其他
整租,距离地铁黄村火车站1393米,押2付3,4900,顶层/6层,136,观音寺南里,中装
整租,距离地铁黄村火车站1217米,押2付3,3300,顶层/6层,74,海子角南里,中装
整租,距离地铁黄村西大街1323米,押1付3,4200,中楼层/6层,96,双河南里,精装
整租,距离地铁黄村火车站1393米,押2付3,3500,低楼层/6层,61,观音寺南里,中装
整租,,押1付3,3500,高楼层/6层,84.03,林海园,精装
整租,距离地铁黄村火车站1205米,押2付3,3800,顶层/4层,89.56,海子角西里,中装
整租,距离地铁黄村西大街1386米,押1付12,3500,低楼层/6层,70,观音寺北里,中装
整租,距离地铁黄村火车站1200米,押1付3,3800,中楼层/24层,78,海悦公馆,精装
合租,距离地铁黄村西大街1323米,押1付3,2000,低楼层/6层,25,双河南里,中装
整租,距离地铁黄村火车站1440米,押2付3,4100,底层/6层,84,观音寺小区,精装
整租,距离地铁黄村西大街1495米,押1付3,3600,中楼层/18层,64,双河南里尚城,精装
整租,距离地铁黄村西大街1386米,押2付3,3600,高楼层/6层,80,观音寺北里,中装
整租,距离地铁黄村火车站1393米,押2付3,3500,高楼层/6层,70,观音寺南里,精装
距离地铁黄村西大街1325米,距离地铁黄村西大街1325米,押1付3,1300,顶层/4层,14,观音寺新区,合租
距离地铁黄村西大街1325米,距离地铁黄村西大街1325米,押1付3,1750,顶层/4层,15,观音寺新区,合租
距离地铁黄村火车站1200米,距离地铁黄村火车站1200米,押1付3,1800,低楼层/24层,8,海悦公馆,合租
距离地铁黄村西大街1325米,距离地铁黄村西大街1325米,押1付3,1300,顶层/4层,13,观音寺新区,合租
距离地铁黄村西大街1325米,距离地铁黄村西大街1325米,押1付3,1400,顶层/4层,13,观音寺新区,合租
整租,距离地铁黄村西大街1386米,押2付3,4500,高楼层/6层,85,观音寺北里,中装
观音寺,距离地铁黄村西大街1323米,押1付3,3700,低楼层/6层,86.89,双河南里,其他
整租,距离地铁黄村火车站1200米,押2付3,3200,低楼层/24层,56,海悦公馆,中装
整租,距离地铁黄村火车站1393米,押2付3,3400,中楼层/6层,63,观音寺南里,简装
整租,距离地铁黄村西大街1323米,押1付3,3500,中楼层/6层,75,双河南里,精装
整租,距离地铁黄村火车站1393米,押2付3,3700,低楼层/6层,90,观音寺南里,中装
整租,距离地铁黄村西大街1323米,押2付3,3300,顶层/6层,69.4,双河南里,中装
随时看房,距离地铁黄村火车站1393米,,3800,低楼层/6层,90,观音寺南里,中装
整租,距离地铁黄村火车站1200米,押2付3,4000,中楼层/24层,83,海悦公馆,精装
整租,距离地铁黄村火车站1200米,押1付3,3500,中楼层/24层,65,海悦公馆,精装
整租,距离地铁黄村西大街1386米,押2付3,3800,高楼层/6层,87,观音寺北里,精装
整租,距离地铁黄村西大街1323米,押2付3,3500,中楼层/6层,78.31,双河南里,中装
整租,距离地铁黄村火车站1226米,押2付3,3800,顶层/6层,100,宇丰苑,精装
整租,,押2付3,3500,底层/6层,100.8,林海园,精装
整租,距离地铁黄村火车站1393米,押2付3,3800,顶层/6层,87,观音寺南里,精装
整租,,押1付3,3300,低楼层/6层,84,林海园,中装
整租,距离地铁黄村火车站1283米,押2付3,3500,中楼层/6层,71,海子角小区,中装
整租,距离地铁黄村火车站1200米,押2付3,3600,中楼层/24层,82,海悦公馆,精装
整租,距离地铁黄村火车站1283米,押2付3,3800,中楼层/6层,90,海子角小区,精装
整租,距离地铁黄村火车站1393米,押2付3,3000,中楼层/5层,56,观音寺南里,中装
整租,距离地铁黄村火车站1440米,押2付3,3800,顶层/6层,72,观音寺小区,精装
整租,距离地铁黄村火车站1283米,押2付3,4500,中楼层/6层,88,海子角小区,中装
整租,,押1付3,3700,底层/6层,81,海子角东里,精装
整租,距离地铁黄村火车站1393米,押2付3,3500,低楼层/6层,80,观音寺南里,中装
整租,,押2付3,3200,中楼层/6层,80,辛店小区,简装
整租,距离地铁黄村火车站1217米,押2付3,3200,顶层/6层,76,海子角南里,中装
整租,,押1付12,2500,顶层/6层,55,辛店小区,精装
整租,距离地铁黄村火车站1393米,押2付3,4000,中楼层/6层,85,观音寺南里,精装
距离地铁黄村西大街1325米,距离地铁黄村西大街1325米,押1付3,1650,顶层/4层,15,观音寺新区,合租
