chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付6,3000,中楼层/6层,69,大兴新安里,精装
合租,,押0付6,1050,中楼层/6层,16,新安里西区,中装
整租,距离地铁黄村西大街1117米,押2付3,4500,低楼层/18层,90,三合北巷7号院,中装
合租,距离地铁黄村西大街1117米,押2付3,1500,低楼层/18层,20,三合北巷7号院,精装
整租,,押2付3,3300,底层/6层,72,新安里西区,简装
整租,距离地铁黄村西大街1117米,押2付3,4300,高楼层/18层,87,三合北巷7号院,精装
整租,,押2付3,4000,高楼层/6层,84,大兴新安里,精装
整租,距离地铁黄村西大街1117米,押1付3,3600,中楼层/18层,59,三合北巷7号院,精装
整租,距离地铁义和庄356米,押2付3,8000,高楼层/9层,175,泰禾中央广场,精装
黄村,距离地铁黄村西大街1117米,押1付3,4000,高楼层/17层,87,三合北巷7号院,其他
整租,距离地铁义和庄356米,押2付3,4200,中楼层/9层,57.15,泰禾中央广场,精装
整租,距离地铁义和庄356米,押2付3,5000,中楼层/9层,58,泰禾中央广场,精装
整租,距离地铁黄村西大街1060米,押2付3,3500,高楼层/22层,60,三合北巷4号院,精装
整租,距离地铁义和庄356米,押2付3,6000,中楼层/9层,105,泰禾中央广场,精装
整租,,押2付3,3300,中楼层/6层,70,大兴新安里,精装
整租,距离地铁义和庄356米,押2付3,5000,中楼层/9层,47,泰禾中央广场,精装
合租,距离地铁黄村西大街1117米,押2付3,1600,底层/17层,20,三合北巷7号院,精装
