chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3500,中楼层/6层,84,长丰园,精装
合租,距离地铁高米店北637米,押2付3,2100,中楼层/10层,20,郁花园一里,精装
整租,距离地铁高米店北212米,押1付3,4000,高楼层/6层,65,郁花园二里,精装
整租,距离地铁高米店北208米,押2付3,5200,低楼层/24层,84.59,保利茉莉公馆,精装
整租,距离地铁高米店北208米,押1付3,7000,高楼层/31层,91,保利茉莉公馆,精装
整租,距离地铁高米店北1000米,押1付3,6800,中楼层/20层,113,顺驰领海,精装
整租,距离地铁高米店北637米,押2付3,4300,高楼层/6层,84,郁花园一里,中装
整租,距离地铁高米店南419米,押2付3,6300,低楼层/25层,90,新里西斯莱公馆,精装
整租,距离地铁枣园540米,押1付3,4500,中楼层/18层,83,枣园尚城北区,中装
整租,距离地铁高米店南419米,押1付3,6600,中楼层/25层,90,新里西斯莱公馆,精装
整租,距离地铁高米店北637米,押1付3,4800,高楼层/6层,85,郁花园一里,精装
整租,距离地铁高米店北208米,押2付3,15000,底层/1层,165,保利茉莉公馆,精装
整租,距离地铁高米店北561米,押2付3,5600,底层/6层,87.41,金惠园三里,精装
整租,距离地铁高米店北208米,押2付3,6000,低楼层/26层,90,保利茉莉公馆,精装
整租,距离地铁高米店北480米,押2付3,5000,高楼层/18层,85,郁花园三里,中装
整租,距离地铁高米店南419米,押1付6,6300,中楼层/25层,93,新里西斯莱公馆,精装
整租,距离地铁高米店北208米,押1付3,5800,高楼层/31层,85,保利茉莉公馆,中装
整租,距离地铁高米店北208米,押1付3,5880,中楼层/26层,85.04,保利茉莉公馆,精装
整租,距离地铁高米店北208米,押2付3,5500,底层/26层,85,保利茉莉公馆,简装
整租,距离地铁高米店北480米,押1付3,5500,低楼层/18层,92,郁花园三里,精装
合租,距离地铁高米店北208米,押2付3,1900,中楼层/31层,20,保利茉莉公馆,精装
整租,距离地铁高米店北208米,押2付3,6500,低楼层/27层,88.72,保利茉莉公馆,精装
合租,距离地铁高米店北208米,押2付3,1400,底层/21层,15,保利茉莉公馆,中装
合租,距离地铁高米店北561米,押2付3,2000,中楼层/5层,20,金惠园三里,中装
整租,,押2付3,7200,高楼层/7层,142,金地仰山东区,精装
整租,,押2付3,5500,中楼层/6层,126.98,长丰园,精装
整租,距离地铁高米店北208米,押2付3,6800,高楼层/31层,90,保利茉莉公馆,中装
整租,距离地铁高米店南327米,押1付3,10000,底层/6层,122.91,康颐园,精装
合租,距离地铁高米店北212米,押1付1,1800,高楼层/6层,120,郁花园二里,精装
整租,距离地铁高米店北1000米,押2付3,4900,低楼层/18层,106.3,顺驰领海,中装
整租,距离地铁高米店南419米,押1付3,6200,低楼层/15层,100.23,新里西斯莱公馆,精装
整租,距离地铁高米店北208米,押2付3,7300,低楼层/17层,89.91,保利茉莉公馆,豪装
整租,距离地铁高米店南419米,押1付6,8500,低楼层/17层,136,新里西斯莱公馆,精装
整租,距离地铁高米店北292米,押1付3,6700,中楼层/5层,115.05,青岛嘉园,精装
整租,距离地铁高米店北1000米,押1付3,6500,低楼层/18层,120,顺驰领海,精装
合租,距离地铁高米店南327米,押1付3,2000,中楼层/6层,25,康颐园,精装
合租,距离地铁高米店北208米,押1付3,2800,高楼层/21层,23,保利茉莉公馆,精装
整租,距离地铁高米店北212米,押2付3,5200,高楼层/6层,81,郁花园二里,精装
整租,距离地铁高米店北208米,押2付3,32500,底层/3层,190.51,保利茉莉公馆,精装
整租,距离地铁高米店北457米,押2付3,5500,中楼层/6层,96,金惠园二里,中装
整租,距离地铁高米店北480米,押1付6,4000,高楼层/18层,60,郁花园三里,中装
整租,距离地铁高米店南419米,押1付6,18000,低楼层/21层,274,新里西斯莱公馆,精装
整租,距离地铁高米店南419米,押1付3,13000,高楼层/29层,199,新里西斯莱公馆,精装
整租,距离地铁高米店北561米,押2付3,3500,顶层/6层,95,金惠园三里,中装
整租,距离地铁高米店北208米,押2付3,5600,低楼层/28层,85,保利茉莉公馆,精装
整租,距离地铁高米店南419米,押1付6,13000,高楼层/25层,186,新里西斯莱公馆,精装
整租,距离地铁高米店北480米,押1付3,5200,高楼层/18层,95,郁花园三里,精装
黄村北,距离地铁高米店北561米,押1付3,4800,底层/6层,68.15,金惠园三里,其他
合租,距离地铁高米店北561米,押1付3,2000,顶层/6层,12,金惠园三里,精装
距离地铁高米店北208米,距离地铁高米店北208米,押1付3,2200,底层/23层,12,保利茉莉公馆,合租
黄村北,距离地铁高米店北637米,押1付3,3500,底层/17层,49.36,郁花园一里,其他
距离地铁高米店北208米,距离地铁高米店北208米,押1付3,3000,底层/23层,20,保利茉莉公馆,合租
黄村北,距离地铁高米店北637米,押1付3,4500,底层/6层,72.73,郁花园一里,其他
黄村北,距离地铁高米店北561米,押1付3,4000,中楼层/6层,62,金惠园三里,其他
黄村北,距离地铁枣园540米,押1付3,4000,中楼层/15层,61.9,枣园尚城北区,其他
