chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁黄村火车站378米,押2付3,3500,低楼层/5层,52,车站北里,简装
整租,,押2付3,4200,高楼层/20层,80,恒大翡翠华庭,精装
整租,,押2付3,4500,顶层/27层,89,恒大翡翠华庭,精装
整租,距离地铁黄村火车站773米,押2付3,4000,低楼层/6层,64,林校北里,精装
整租,距离地铁黄村火车站378米,押2付3,5500,高楼层/6层,161,车站北里,精装
整租,,押2付3,3500,中楼层/20层,60,恒大翡翠华庭,精装
整租,距离地铁义和庄990米,押2付3,3500,低楼层/6层,80,兴水家园,中装
整租,,押2付3,4300,低楼层/27层,89,恒大翡翠华庭,精装
整租,距离地铁黄村火车站378米,押1付3,4100,顶层/6层,75,车站北里,精装
整租,距离地铁黄村火车站378米,押2付3,3600,顶层/6层,72,车站北里,中装
合租,距离地铁黄村火车站773米,押1付3,4900,低楼层/6层,99.52,林校北里,精装
合租,距离地铁黄村火车站250米,押2付3,1300,中楼层/6层,13,车站中里,中装
整租,距离地铁黄村火车站938米,押2付3,3800,高楼层/19层,106,林校中里,中装
整租,距离地铁黄村火车站403米,押2付3,8700,底层/13层,146.07,翰林庭院,精装
整租,距离地铁黄村火车站403米,押2付3,8000,中楼层/13层,137,翰林庭院,中装
整租,距离地铁义和庄1143米,押2付3,6000,底层/6层,129,众美光合原筑,精装
整租,距离地铁黄村火车站378米,押1付3,3100,顶层/5层,65,车站北里,中装
整租,距离地铁义和庄1235米,押2付3,4100,中楼层/6层,116,车站南里,中装
整租,距离地铁黄村火车站452米,押2付3,4600,中楼层/18层,96,艺苑桐城,精装
整租,距离地铁黄村火车站903米,押2付3,3700,低楼层/26层,75,长兴公寓,精装
整租,距离地铁黄村火车站378米,押2付3,3500,中楼层/5层,60.49,车站北里,精装
合租,距离地铁黄村火车站250米,押2付3,1700,顶层/6层,40,车站中里,中装
整租,距离地铁黄村火车站378米,押2付3,3600,顶层/6层,51,车站北里,精装
整租,距离地铁黄村火车站378米,押2付3,3600,中楼层/6层,60,车站北里,中装
整租,,押1付3,3600,高楼层/20层,70,恒大翡翠华庭,精装
整租,距离地铁黄村火车站378米,押2付3,3500,中楼层/6层,56,车站北里,中装
合租,距离地铁黄村火车站773米,押2付3,1700,低楼层/5层,20,林校北里,中装
黄村火车站,距离地铁黄村火车站250米,押1付3,3500,高楼层/6层,66.04,车站中里,其他
黄村火车站,距离地铁黄村火车站773米,押1付3,3200,低楼层/6层,55.11,林校北里,其他
整租,,押1付3,4500,高楼层/26层,85,恒大翡翠华庭,精装
整租,距离地铁黄村火车站773米,押2付3,4500,中楼层/6层,92,林校北里,精装
整租,距离地铁黄村火车站903米,押1付3,4100,中楼层/26层,75,长兴公寓,精装
整租,距离地铁黄村火车站250米,押2付3,4000,底层/6层,70,车站中里,精装
合租,距离地铁义和庄1235米,押2付3,1100,低楼层/6层,15,车站南里,精装
整租,距离地铁义和庄840米,押2付3,3600,中楼层/6层,97.5,锦华园小区,精装
