chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁黄村西大街501米,押2付3,3600,低楼层/5层,52,黄村西里,精装
整租,距离地铁黄村西大街735米,押1付3,3700,中楼层/6层,65,永华北里,精装
整租,,押2付3,1500,低楼层/18层,15,康泰园,精装
整租,距离地铁黄村西大街534米,押2付3,6200,高楼层/11层,126,清澄名苑南区,中装
整租,距离地铁高米店南1397米,押2付3,5500,低楼层/6层,100,骏城,精装
整租,距离地铁清源路563米,押2付3,7500,底层/6层,140,清城北区,精装
整租,,押2付3,3500,中楼层/18层,65,康泰园,精装
整租,距离地铁黄村西大街717米,押2付3,4200,高楼层/11层,75,兴丰家园,精装
整租,距离地铁黄村西大街501米,押2付3,3200,低楼层/5层,60,黄村西里,简装
整租,距离地铁清源路563米,押2付3,9000,低楼层/21层,128.64,清城北区,精装
整租,距离地铁黄村西大街1004米,押2付3,3600,低楼层/6层,60,兴政东里,精装
整租,距离地铁黄村西大街501米,押2付3,3100,底层/5层,40,黄村西里,中装
整租,距离地铁清源路563米,押2付3,65000,底层/1层,450,清城北区,中装
整租,距离地铁黄村西大街444米,押2付3,3800,高楼层/6层,67,兴政西里,中装
整租,距离地铁清源路1383米,押2付3,3000,高楼层/18层,50,清源佳园,中装
整租,距离地铁黄村西大街501米,押2付3,3100,中楼层/5层,50,黄村西里,简装
整租,距离地铁黄村西大街269米,押2付3,3500,底层/15层,69,阳光乐府,中装
整租,距离地铁黄村西大街501米,押2付3,3500,底层/5层,43.19,黄村西里,中装
整租,距离地铁清源路872米,押2付3,3300,中楼层/6层,45,富强东里,中装
整租,距离地铁黄村西大街1004米,押2付3,3500,中楼层/6层,66.4,兴政东里,精装
整租,距离地铁黄村西大街444米,押1付3,4500,低楼层/6层,67.65,兴政西里,精装
整租,距离地铁清源路1186米,押2付3,3500,顶层/6层,87,黄村东里,中装
整租,,押1付3,3800,中楼层/6层,85,新居里,精装
整租,距离地铁高米店南1397米,押2付3,5300,底层/6层,85,骏城,精装
整租,距离地铁黄村西大街444米,押2付3,3500,高楼层/6层,68,兴政西里,中装
整租,距离地铁黄村西大街709米,押2付3,3500,顶层/6层,73,三合南里,精装
整租,距离地铁黄村西大街709米,押2付3,1200,低楼层/6层,80,三合南里,精装
整租,距离地铁黄村西大街1004米,押2付3,4200,中楼层/25层,84,兴政东里,中装
整租,距离地铁清源路563米,押2付3,7500,低楼层/12层,152,清城北区,精装
合租,距离地铁黄村西大街534米,押2付3,2000,底层/9层,92,清澄名苑南区,精装
整租,距离地铁黄村西大街444米,押2付3,4000,中楼层/6层,82,兴政西里,精装
整租,距离地铁黄村西大街534米,押1付3,5500,高楼层/11层,115,清澄名苑南区,精装
合租,距离地铁黄村西大街1004米,押2付3,1900,高楼层/6层,25,兴政东里,中装
黄村中,距离地铁黄村西大街444米,押1付3,5500,中楼层/6层,150,兴政西里,精装
合租,距离地铁清源路563米,押2付3,2500,高楼层/22层,25,清城北区,精装
整租,距离地铁清源路461米,押2付3,4000,中楼层/6层,64,富强西里,中装
整租,距离地铁清源路461米,押2付3,4500,低楼层/5层,70.67,富强西里,中装
整租,距离地铁清源路940米,押2付3,4800,高楼层/20层,95,瑞康家园,精装
整租,距离地铁黄村西大街501米,押2付3,3800,顶层/6层,60,黄村西里,精装
整租,距离地铁黄村西大街269米,押2付3,5000,底层/11层,90,阳光乐府,精装
整租,距离地铁清源路563米,押1付3,10000,中楼层/21层,133.57,清城北区,精装
整租,距离地铁清源路563米,押2付3,8200,高楼层/22层,128,清城北区,中装
整租,距离地铁清源路563米,押2付3,8500,高楼层/22层,105,清城北区,中装
整租,距离地铁黄村西大街444米,押1付3,3500,高楼层/6层,55,兴政西里,中装
黄村中,,押1付3,3500,低楼层/6层,117.98,双河北里,其他
黄村中,,押1付3,3100,高楼层/10层,51.98,双河北里,其他
整租,距离地铁清源路940米,押2付3,3500,低楼层/18层,70,瑞康家园,简装
黄村中,距离地铁黄村西大街501米,押1付3,3200,中楼层/5层,43.19,黄村西里,其他
黄村中,距离地铁黄村西大街709米,押1付3,3500,中楼层/6层,65.69,三合南里,其他
黄村中,距离地铁清源路1383米,押1付3,3380,低楼层/18层,40.59,清源佳园,其他
黄村中,距离地铁清源路872米,押1付3,3500,低楼层/6层,53.94,富强东里,其他
黄村中,距离地铁黄村西大街1030米,押1付3,1850,底层/15层,10,时代龙和大道,其他
黄村中,距离地铁清源路563米,押1付3,5300,高楼层/10层,95,清城北区,其他
距离地铁黄村西大街830米,距离地铁黄村西大街830米,押1付3,1400,低楼层/17层,15,蚂蚁工坊,合租
距离地铁黄村西大街830米,距离地铁黄村西大街830米,押1付3,1800,低楼层/17层,15,蚂蚁工坊,合租
黄村中,距离地铁清源路563米,押1付3,6000,中楼层/22层,99.6,清城北区,其他
黄村中,距离地铁黄村西大街1030米,押1付3,2300,底层/15层,15,时代龙和大道,其他
黄村中,距离地铁黄村西大街709米,押1付3,3600,低楼层/6层,68.08,三合南里,其他
黄村中,距离地铁黄村西大街269米,押1付3,4200,底层/15层,90.36,阳光乐府,其他
黄村中,,押1付3,3400,顶层/6层,90.71,新居里,其他
整租,距离地铁黄村西大街554米,押2付3,8000,底层/9层,160,博悦府,简装
整租,距离地铁清源路1369米,押2付3,7000,高楼层/15层,167,先锋公寓,中装
整租,距离地铁黄村西大街709米,押2付3,4500,低楼层/6层,120,三合南里,精装
整租,距离地铁清源路563米,押1付3,6500,高楼层/22层,88,清城北区,中装
整租,距离地铁清源路1369米,押1付3,8500,高楼层/15层,188.68,先锋公寓,精装
整租,距离地铁黄村西大街534米,押2付3,3500,顶层/11层,80,清澄名苑南区,中装
整租,距离地铁清源路461米,押1付3,4000,中楼层/5层,71.58,富强西里,精装
合租,距离地铁黄村西大街534米,押2付3,2300,低楼层/9层,20,清澄名苑南区,中装
整租,,押1付3,3400,中楼层/6层,80,新居里,精装
整租,距离地铁黄村西大街717米,押2付3,4600,中楼层/11层,100,兴丰家园,中装
整租,距离地铁黄村西大街1004米,押1付3,3700,中楼层/6层,60,兴政东里,精装
整租,距离地铁黄村西大街269米,押2付3,5000,高楼层/15层,92,阳光乐府,精装
整租,距离地铁黄村西大街269米,押2付12,38000,底层/15层,280,阳光乐府,中装
整租,距离地铁黄村西大街735米,押1付3,4300,低楼层/6层,90,永华北里,精装
整租,距离地铁黄村西大街717米,押1付3,4600,高楼层/7层,111,兴丰家园,中装
整租,距离地铁黄村西大街1004米,押2付3,4000,底层/12层,15,兴政东里,精装
整租,距离地铁黄村西大街501米,押1付12,3500,中楼层/5层,70,黄村西里,精装
整租,距离地铁清源路1383米,押2付3,5000,高楼层/18层,88,清源佳园,精装
整租,距离地铁黄村西大街709米,押2付3,4500,中楼层/6层,95,三合南里,中装
整租,距离地铁黄村西大街501米,押2付3,3600,中楼层/5层,60,黄村西里,中装
整租,距离地铁黄村西大街709米,押2付3,3400,顶层/6层,70,三合南里,中装
整租,距离地铁清源路1383米,押2付3,4100,底层/18层,86,清源佳园,中装
整租,距离地铁黄村西大街1030米,押2付3,5000,高楼层/11层,104,时代龙和大道,精装
整租,距离地铁清源路461米,押2付3,3600,低楼层/6层,56,富强西里,简装
整租,,押1付3,5000,底层/18层,82,康泰园,中装
整租,距离地铁黄村西大街735米,押2付3,4500,高楼层/6层,87,永华北里,中装
合租,,押2付3,1600,中楼层/18层,15,双河北里尚城,中装
合租,距离地铁黄村西大街534米,押2付3,1400,高楼层/9层,15,清澄名苑南区,精装
合租,距离地铁黄村西大街501米,押2付3,1700,中楼层/5层,25,黄村西里,中装
黄村中,距离地铁高米店南1397米,押1付3,4280,底层/6层,90,骏城,其他
黄村中,距离地铁黄村西大街444米,押1付3,3200,顶层/6层,55.56,兴政西里,其他
