chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3700,高楼层/10层,63,芳源里,简装
整租,距离地铁旧宫1064米,押2付3,3500,高楼层/12层,39,亦庄北岸,精装
整租,,押2付3,5000,高楼层/18层,86,庑殿家苑A区,精装
整租,距离地铁旧宫1018米,押2付3,4000,中楼层/18层,60,旧宫新苑南区,简装
整租,距离地铁旧宫1018米,押2付3,4500,低楼层/18层,78,旧宫新苑南区,简装
整租,距离地铁旧宫1018米,押2付3,4800,顶层/15层,84,旧宫新苑南区,精装
整租,,押1付3,4200,中楼层/6层,72,清欣园,中装
整租,距离地铁旧宫873米,押2付3,5300,顶层/5层,93,宣颐家园,精装
整租,,押1付12,3200,中楼层/6层,60,成和园,中装
整租,,押2付3,3500,底层/6层,70,康福园,精装
整租,距离地铁旧宫1018米,押2付3,5000,顶层/18层,85,旧宫新苑南区,中装
整租,,押2付3,4300,中楼层/6层,65,六营门,简装
整租,距离地铁旧宫1232米,押1付3,4000,顶层/6层,70,清逸园,中装
整租,,押2付3,4850,中楼层/10层,92,润枫锦尚,精装
整租,距离地铁旧宫834米,押2付3,5500,底层/6层,89,美然绿色家园,中装
整租,,押2付3,3200,低楼层/4层,45,万源东里,中装
整租,距离地铁旧宫1232米,押1付3,5500,中楼层/6层,95,清逸园,精装
整租,,押2付3,4500,高楼层/10层,89,润枫锦尚,精装
整租,距离地铁旧宫1313米,押2付3,6800,低楼层/11层,100,润龙家园,中装
整租,,押2付3,5000,高楼层/11层,97,润星家园,中装
整租,,押1付6,4600,低楼层/18层,84,庑殿家苑C区,中装
整租,距离地铁旧宫1064米,押2付3,3100,顶层/12层,39,亦庄北岸,中装
整租,,押2付3,4200,顶层/6层,72,红星北里小区,精装
整租,,押2付3,3600,高楼层/6层,60,东高地小区,简装
整租,距离地铁成寿寺782米,押1付3,6300,中楼层/16层,94,小红门路65号院,中装
整租,距离地铁旧宫677米,押1付3,8000,中楼层/10层,100,富力盛悦居西区,精装
整租,距离地铁旧宫1232米,押2付3,4200,中楼层/6层,70,清逸园,简装
整租,距离地铁旧宫448米,押1付3,8500,中楼层/21层,107,朗润园,精装
整租,,押2付3,3500,中楼层/6层,50,清逸西园,中装
整租,距离地铁旧宫554米,押2付3,7500,中楼层/11层,132.84,幻星家园,精装
整租,,押2付3,4000,高楼层/6层,71,云龙家园,中装
整租,,押2付3,8500,低楼层/13层,105,德贤公馆,精装
整租,距离地铁旧宫793米,押2付3,3700,中楼层/15层,63,旧宫新苑北区,中装
整租,,押2付3,4700,中楼层/18层,80,庑殿家苑A区,中装
整租,,押2付3,4500,低楼层/6层,70,东高地小区,精装
整租,,押2付3,4400,高楼层/6层,74,梅源小区,精装
整租,,押2付3,5300,高楼层/6层,113,美利新世界,精装
整租,距离地铁旧宫933米,押2付3,5000,顶层/6层,140,灵秀山庄,中装
整租,,押2付3,3800,高楼层/19层,78,明悦湾,中装
整租,距离地铁旧宫1018米,押2付3,4000,低楼层/18层,65,旧宫新苑南区,中装
整租,,押2付3,4500,低楼层/6层,62,清逸西园,精装
整租,距离地铁旧宫1018米,押2付3,4000,低楼层/18层,86,旧宫新苑南区,简装
整租,距离地铁旧宫308米,押2付3,8800,中楼层/9层,128,紫郡府,精装
整租,,押2付3,4600,低楼层/18层,79,庑殿家苑C区,中装
整租,,押2付3,3200,中楼层/19层,50,明悦湾,精装
整租,,押1付3,4000,中楼层/19层,74,明悦湾,精装
整租,,押2付3,3500,顶层/6层,75,芳源里,精装
