chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁生物医药基地961米,押2付3,3800,中楼层/18层,80,天宫院小区,精装
整租,距离地铁生物医药基地435米,押1付3,3600,高楼层/18层,66,新源时代北区,精装
整租,距离地铁生物医药基地399米,押1付3,4200,中楼层/26层,85,明发雅苑,精装
整租,距离地铁天宫院855米,押2付3,4000,中楼层/18层,78,金融街融汇,精装
整租,距离地铁生物医药基地961米,押2付3,4000,低楼层/18层,77,天宫院小区,精装
整租,距离地铁生物医药基地961米,押1付3,3600,中楼层/18层,67,天宫院小区,中装
合租,距离地铁天宫院298米,押2付3,1300,高楼层/24层,15,保利春天里,精装
整租,距离地铁生物医药基地399米,押2付3,5200,中楼层/26层,106,明发雅苑,精装
整租,距离地铁生物医药基地300米,押2付3,5500,顶层/28层,93,住总万科橙,精装
整租,距离地铁生物医药基地435米,押1付3,4200,中楼层/18层,90,新源时代北区,中装
整租,距离地铁义和庄159米,押2付3,3800,中楼层/6层,47,万科天地,精装
整租,距离地铁生物医药基地300米,押1付3,4300,中楼层/26层,78,住总万科橙,精装
整租,距离地铁生物医药基地162米,押2付3,6000,中楼层/24层,130,龙湖时代天街,中装
整租,距离地铁生物医药基地162米,押2付3,4200,低楼层/25层,85,龙湖时代天街,精装
整租,距离地铁生物医药基地513米,押1付3,5500,高楼层/30层,90,金科嘉苑,精装
整租,距离地铁生物医药基地162米,押2付3,4000,中楼层/26层,130,龙湖时代天街,豪装
整租,距离地铁生物医药基地513米,押2付3,4500,中楼层/29层,90,金科嘉苑,精装
整租,距离地铁生物医药基地162米,押2付3,5600,高楼层/15层,98,龙湖时代天街,精装
整租,距离地铁生物医药基地837米,押2付3,5400,中楼层/21层,100,云立方,精装
整租,,押1付3,4500,高楼层/28层,90,住总正华多彩嘉园,豪装
整租,距离地铁生物医药基地162米,押1付3,5500,中楼层/15层,98,龙湖时代天街,精装
整租,距离地铁生物医药基地837米,押1付3,3500,中楼层/21层,55,云立方,精装
整租,距离地铁天宫院855米,押1付3,3600,低楼层/27层,55,金融街融汇,精装
整租,距离地铁生物医药基地513米,押2付3,5200,低楼层/20层,90,金科嘉苑,精装
整租,距离地铁生物医药基地513米,押2付3,5000,高楼层/28层,89,金科嘉苑,精装
整租,距离地铁生物医药基地399米,押1付3,4300,高楼层/26层,88,明发雅苑,精装
整租,距离地铁义和庄159米,押2付3,7500,中楼层/6层,81.44,万科天地,精装
整租,距离地铁天宫院855米,押1付3,4400,高楼层/21层,78,金融街融汇,精装
整租,距离地铁生物医药基地961米,押2付3,4300,高楼层/18层,90,天宫院小区,精装
整租,距离地铁生物医药基地513米,押2付3,4300,低楼层/27层,90,金科嘉苑,中装
整租,距离地铁生物医药基地162米,押2付3,4500,中楼层/25层,85,龙湖时代天街,简装
整租,距离地铁生物医药基地162米,押1付3,5500,低楼层/18层,98,龙湖时代天街,精装
整租,距离地铁生物医药基地961米,押2付3,5000,中楼层/18层,90,天宫院小区,精装
整租,距离地铁天宫院855米,押2付3,4800,高楼层/27层,120,金融街融汇,精装
整租,,押2付3,5700,高楼层/25层,95,住总正华多彩嘉园,精装
整租,距离地铁生物医药基地961米,押2付3,4000,低楼层/18层,89,天宫院小区,毛坯
整租,距离地铁生物医药基地162米,押1付3,6000,底层/18层,211,龙湖时代天街,毛坯
整租,距离地铁生物医药基地837米,押2付3,4500,中楼层/21层,100,云立方,精装
整租,距离地铁生物医药基地837米,押1付3,4500,高楼层/21层,86,云立方,豪装
整租,距离地铁生物医药基地162米,押2付3,8000,低楼层/26层,170,龙湖时代天街,精装
整租,距离地铁生物医药基地247米,押2付3,1800,高楼层/26层,15,鑫苑鑫都汇,精装
整租,距离地铁义和庄159米,押1付3,3200,顶层/6层,42,万科天地,精装
整租,距离地铁义和庄159米,押2付3,5300,低楼层/6层,86,万科天地,精装
整租,,押1付3,4500,低楼层/28层,85,住总正华多彩嘉园,精装
整租,,押2付3,4100,高楼层/25层,89,住总正华多彩嘉园,精装
整租,距离地铁天宫院855米,押1付3,5500,低楼层/20层,100,金融街融汇,精装
整租,距离地铁天宫院736米,押2付3,3300,高楼层/6层,63,天堂河北区,精装
整租,,押1付3,4800,低楼层/25层,85,住总正华多彩嘉园,精装
整租,距离地铁生物医药基地399米,押2付3,4500,中楼层/26层,71.27,明发雅苑,精装
电话预约,距离地铁生物医药基地300米,,5500,中楼层/26层,93,住总万科橙,精装
整租,距离地铁天宫院298米,押1付3,6500,低楼层/27层,97,保利春天里,精装
整租,距离地铁生物医药基地300米,押2付3,4500,顶层/18层,77,住总万科橙,中装
整租,距离地铁生物医药基地435米,押2付3,4200,高楼层/18层,90,新源时代北区,精装
整租,距离地铁天宫院855米,押1付12,4100,低楼层/28层,51.54,金融街融汇,精装
整租,距离地铁生物医药基地435米,押1付12,4000,底层/18层,90,新源时代北区,精装
天宫院,距离地铁生物医药基地837米,押1付3,4400,中楼层/23层,89.71,云立方,其他
整租,距离地铁生物医药基地435米,押2付3,4300,高楼层/18层,90,新源时代北区,精装
天宫院,距离地铁天宫院298米,押1付3,4100,低楼层/27层,84.52,保利春天里,其他
天宫院,距离地铁生物医药基地745米,押1付3,4000,底层/24层,57.24,珺悦国际,其他
天宫院,距离地铁生物医药基地745米,押1付3,3300,底层/24层,42.22,珺悦国际,其他
天宫院,距离地铁生物医药基地162米,押1付3,4200,低楼层/27层,85,龙湖时代天街,其他
距离地铁生物医药基地162米,距离地铁生物医药基地162米,押1付3,1700,中楼层/25层,12,龙湖时代天街,合租
天宫院,距离地铁天宫院309米,押1付3,6000,高楼层/22层,97.16,保利首开熙悦春天,其他
距离地铁天宫院309米,距离地铁天宫院309米,押1付3,1200,高楼层/22层,20,保利首开熙悦春天,合租
天宫院,距离地铁生物医药基地745米,押1付3,4300,底层/28层,58.1,珺悦国际,其他
天宫院,距离地铁生物医药基地837米,押1付3,4200,低楼层/21层,89.67,云立方,其他
距离地铁生物医药基地837米,距离地铁生物医药基地837米,押1付3,1800,高楼层/21层,12,云立方,合租
距离地铁生物医药基地837米,距离地铁生物医药基地837米,押1付3,1900,高楼层/21层,12,云立方,合租
天宫院,距离地铁生物医药基地745米,押1付3,3600,底层/28层,41.86,珺悦国际,其他
距离地铁生物医药基地837米,距离地铁生物医药基地837米,押1付3,1500,高楼层/21层,9,云立方,合租
距离地铁生物医药基地837米,距离地铁生物医药基地837米,押1付3,1200,高楼层/21层,7,云立方,合租
整租,距离地铁天宫院855米,押1付3,4500,中楼层/24层,73,金融街融汇,精装
整租,距离地铁义和庄159米,押1付3,3800,中楼层/5层,75,万科天地,精装
合租,距离地铁生物医药基地513米,押2付3,1700,高楼层/28层,90,金科嘉苑,精装
整租,距离地铁天宫院855米,押1付12,5500,中楼层/26层,110,金融街融汇,精装
整租,距离地铁天宫院298米,押2付3,8800,高楼层/27层,153,保利春天里,精装
整租,距离地铁生物医药基地416米,押1付3,4000,底层/26层,80,明发广场,中装
整租,距离地铁生物医药基地435米,押2付3,4300,低楼层/18层,90,新源时代北区,精装
