chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁西红门298米,押2付3,1800,底层/6层,25,瑞海家园一区,精装
整租,,押1付3,3500,中楼层/10层,51,华远西红世,精装
整租,,押1付3,3500,中楼层/18层,48,华远西红世,精装
整租,,押2付3,3800,中楼层/12层,55,华远西红世,精装
整租,,押2付3,3800,低楼层/18层,47,华远西红世,中装
整租,,押2付3,3700,中楼层/12层,59,华远西红世,精装
整租,距离地铁西红门1397米,押2付3,8000,低楼层/21层,135,鸿坤理想城礼域府,中装
整租,距离地铁西红门1229米,押1付3,6200,低楼层/6层,116,兴都苑南区,精装
整租,,押2付3,6000,高楼层/6层,78,九龙山庄三区,中装
整租,距离地铁西红门387米,押1付3,4800,顶层/6层,85,兴海家园日苑,精装
整租,距离地铁西红门1258米,押2付3,4500,高楼层/25层,75,理想家园,精装
整租,距离地铁西红门1240米,押2付3,4800,低楼层/24层,82,鸿坤理想城回迁八期,中装
整租,距离地铁西红门769米,押1付3,5000,顶层/6层,78,兴海家园月苑,中装
整租,距离地铁西红门769米,押2付3,5300,底层/6层,85,兴海家园月苑,精装
整租,,押2付3,5300,中楼层/18层,95,鸿坤理想城派郡,中装
整租,距离地铁西红门1397米,押1付3,6100,低楼层/20层,95,鸿坤理想城礼域府,精装
整租,距离地铁西红门1292米,押1付3,4200,顶层/6层,70.07,宏福园,中装
整租,距离地铁西红门1183米,押1付3,4200,低楼层/18层,70,鸿坤理想城大满贯,简装
整租,距离地铁西红门1397米,押2付3,6200,低楼层/21层,95,鸿坤理想城礼域府,中装
整租,距离地铁西红门1183米,押1付3,4200,顶层/17层,88.88,鸿坤理想城大满贯,中装
整租,距离地铁西红门677米,押1付3,5000,顶层/6层,85,兴海家园星苑,精装
整租,距离地铁西红门1397米,押1付12,6300,顶层/20层,92,鸿坤理想城礼域府,精装
整租,距离地铁西红门298米,押2付3,5800,高楼层/6层,108,瑞海家园一区,精装
整租,,押2付3,3800,低楼层/12层,55,华远西红世,精装
整租,距离地铁西红门1183米,押1付3,3700,中楼层/17层,68,鸿坤理想城大满贯,简装
整租,距离地铁西红门917米,押2付3,5200,中楼层/5层,75,月桂庄园,中装
整租,,押2付3,5000,顶层/18层,80,鸿坤理想城回迁五期,中装
整租,,押2付3,7500,高楼层/7层,137,九龙山庄二区,中装
整租,,押2付3,7500,中楼层/6层,145.08,九龙家园北区,精装
西红门,距离地铁西红门978米,押2付3,4500,低楼层/25层,62.33,鸿坤曦望山,精装
整租,距离地铁西红门1258米,押2付3,5000,中楼层/25层,74,理想家园,精装
整租,距离地铁西红门1258米,押2付3,5000,中楼层/25层,74,理想家园,精装
整租,距离地铁西红门1004米,押1付3,7000,中楼层/6层,133.52,瑞海家园五区,简装
整租,距离地铁西红门997米,押2付3,10500,顶层/6层,99.75,兴都苑西区,中装
整租,,押2付3,3300,中楼层/18层,48,华远西红世,精装
整租,距离地铁西红门1183米,押2付3,4400,高楼层/17层,70,鸿坤理想城大满贯,精装
整租,,押2付3,5200,顶层/6层,76,同兴园小区,精装
整租,距离地铁西红门630米,押1付3,6800,顶层/16层,143,宏大南园,精装
西红门,,押1付3,3500,低楼层/10层,47.13,华远西红世,其他
整租,距离地铁西红门1397米,押2付3,6000,高楼层/21层,92.11,鸿坤理想城礼域府,中装
