chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁枣园235米,押2付3,4500,顶层/6层,74,枣园东里,精装
整租,距离地铁枣园198米,押2付3,7200,低楼层/34层,135,中建国际港,中装
整租,,押1付3,5000,顶层/17层,85.18,东亚马赛公馆,中装
整租,距离地铁枣园422米,押2付3,4000,高楼层/17层,66,枣园尚城南区,精装
整租,距离地铁枣园681米,押2付3,3300,底层/6层,55,滨河西里,简装
合租,距离地铁枣园576米,押2付3,1700,高楼层/11层,130,彩虹新城,中装
合租,距离地铁枣园576米,押2付3,1800,底层/13层,20,彩虹新城,中装
整租,距离地铁枣园681米,押2付3,4200,高楼层/6层,60,滨河西里,中装
整租,距离地铁枣园454米,押1付3,5500,顶层/6层,120,枣园小区,精装
整租,距离地铁枣园476米,押1付3,11000,底层/4层,177.31,丽园东里,简装
合租,,押2付3,2300,底层/16层,47,首邑溪谷,精装
整租,距离地铁高米店南645米,押2付3,7500,低楼层/12层,149,原生墅,精装
整租,,押2付3,4900,低楼层/14层,47,首邑溪谷,精装
整租,距离地铁高米店南1218米,押1付3,7000,低楼层/6层,159,泰中花园,中装
整租,距离地铁枣园620米,押2付3,12000,中楼层/23层,140,红木林南区,中装
整租,距离地铁枣园422米,押2付3,3900,中楼层/17层,62,枣园尚城南区,中装
整租,,押2付3,4800,高楼层/16层,100,首邑溪谷,中装
整租,距离地铁枣园576米,押2付3,5800,中楼层/18层,80,彩虹新城,中装
整租,距离地铁枣园620米,押2付3,5300,底层/28层,76,红木林南区,精装
整租,距离地铁枣园681米,押1付3,3500,底层/6层,73.02,滨河西里,中装
整租,距离地铁枣园198米,押1付6,5500,中楼层/31层,88.33,中建国际港,精装
整租,距离地铁枣园198米,押2付3,5500,低楼层/34层,90,中建国际港,精装
合租,距离地铁枣园576米,押1付3,1700,中楼层/18层,15,彩虹新城,简装
整租,距离地铁枣园454米,押2付3,4300,中楼层/6层,75,枣园小区,精装
合租,距离地铁枣园454米,押2付3,1500,低楼层/6层,15,枣园小区,中装
整租,距离地铁枣园1428米,押2付3,4200,中楼层/16层,85,丽园187号院,精装
整租,距离地铁枣园454米,押2付3,5000,中楼层/6层,93,枣园小区,精装
整租,,押1付3,4000,中楼层/28层,70,首开康乃馨城,中装
整租,距离地铁枣园523米,押2付3,6500,中楼层/13层,98,首邑上城,精装
整租,,押2付3,4800,高楼层/16层,42,首邑溪谷,精装
整租,距离地铁枣园1062米,押1付12,5100,中楼层/6层,100,丽园C区,精装
整租,,押2付3,4800,底层/14层,94,首邑溪谷,中装
合租,,押1付3,1700,低楼层/22层,15,兴康家园,精装
整租,距离地铁高米店南512米,押2付3,4000,顶层/22层,60,康庄路9号院,精装
整租,,押1付3,4900,高楼层/21层,93.7,东亚马赛公馆,中装
整租,距离地铁枣园576米,押2付3,4800,高楼层/16层,90,彩虹新城,中装
整租,距离地铁高米店南645米,押2付3,7200,高楼层/6层,147,原生墅,精装
合租,距离地铁枣园576米,押1付3,2000,中楼层/17层,88.7,彩虹新城,精装
整租,距离地铁清源路331米,押2付3,3500,中楼层/6层,66,清源西里,中装
整租,距离地铁枣园576米,押2付3,5500,高楼层/18层,90,彩虹新城,简装
整租,距离地铁枣园576米,押1付3,4000,高楼层/16层,80,彩虹新城,精装
整租,距离地铁枣园198米,押2付3,7300,中楼层/34层,130,中建国际港,精装
整租,距离地铁清源路331米,押2付3,3700,中楼层/6层,65,清源西里,中装
整租,,押2付3,4300,中楼层/22层,90,首开康乃馨城,中装
整租,距离地铁枣园576米,押2付3,7500,底层/11层,123,彩虹新城,中装
合租,距离地铁枣园694米,押2付3,2200,高楼层/24层,20,红木林北区,精装
整租,距离地铁枣园198米,押2付3,5400,中楼层/34层,90,中建国际港,精装
整租,距离地铁枣园576米,押2付3,4300,低楼层/18层,63,彩虹新城,精装
整租,距离地铁枣园827米,押2付3,3500,顶层/6层,60,滨河东里,中装
合租,距离地铁枣园454米,押2付3,1800,中楼层/6层,15,枣园小区,简装
整租,,押2付3,4200,底层/9层,90,首开康乃馨城,简装
整租,,押2付3,3600,高楼层/8层,65,首开康乃馨城,中装
整租,距离地铁枣园737米,押2付3,15000,底层/3层,210,那尔水晶城,精装
整租,距离地铁枣园454米,押2付3,5000,高楼层/6层,70,枣园小区,精装
整租,,押2付3,3600,低楼层/22层,62,首开康乃馨城,精装
整租,距离地铁高米店南645米,押1付3,7000,低楼层/12层,146,原生墅,中装
整租,距离地铁清源路637米,押2付3,4400,中楼层/6层,80,兴华园,简装
整租,距离地铁枣园576米,押2付3,5200,低楼层/18层,90,彩虹新城,精装
整租,,押1付3,5600,低楼层/20层,110,兴康家园,精装
整租,距离地铁枣园620米,押1付3,5600,低楼层/28层,90,红木林南区,精装
整租,距离地铁枣园576米,押2付3,4000,高楼层/18层,55,彩虹新城,精装
整租,,押1付3,6000,底层/8层,60,首开康乃馨城,中装
整租,距离地铁枣园1280米,押2付3,4500,低楼层/12层,85,丽园189号院,精装
整租,距离地铁清源路637米,押2付3,4800,低楼层/18层,104,兴华园,简装
合租,距离地铁枣园582米,押2付3,1500,低楼层/7层,10,滨河西里北区,精装
整租,距离地铁清源路331米,押2付3,4500,高楼层/6层,85,清源西里,豪装
整租,距离地铁高米店南769米,押2付3,3800,低楼层/6层,82,康顺园,中装
整租,距离地铁高米店南769米,押2付3,3800,顶层/6层,90,康顺园,简装
整租,,押2付3,4500,中楼层/18层,92,康庄中巷4号院,精装
整租,距离地铁高米店南512米,押2付3,7000,中楼层/18层,135,康庄路9号院,中装
整租,距离地铁枣园422米,押2付3,4500,中楼层/17层,85,枣园尚城南区,简装
整租,距离地铁枣园681米,押2付3,4500,低楼层/6层,83,滨河西里,简装
整租,距离地铁枣园422米,押2付3,4000,中楼层/17层,66,枣园尚城南区,中装
整租,距离地铁枣园422米,押2付3,4200,中楼层/17层,65,枣园尚城南区,中装
整租,距离地铁枣园1428米,押2付3,4500,中楼层/13层,85,丽园187号院,精装
整租,距离地铁清源路331米,押2付3,3800,高楼层/6层,60,清源西里,精装
整租,距离地铁枣园454米,押2付3,5200,中楼层/6层,70,枣园小区,精装
整租,距离地铁枣园1428米,押2付3,3500,中楼层/12层,60,丽园187号院,中装
整租,距离地铁枣园576米,押2付3,5200,中楼层/18层,95,彩虹新城,精装
整租,,押2付3,4100,中楼层/18层,80,首开康乃馨城,精装
整租,距离地铁枣园1428米,押2付3,4200,中楼层/16层,85,丽园187号院,精装
整租,距离地铁枣园681米,押1付3,4000,高楼层/6层,50,滨河西里,中装
整租,距离地铁枣园1428米,押1付3,3800,低楼层/12层,85,丽园187号院,中装
整租,,押1付12,4000,高楼层/14层,90,康庄中巷4号院,中装
距离地铁高米店南1218米,距离地铁高米店南1218米,押1付3,14800,底层/6层,256,泰中花园,随时看房
整租,距离地铁枣园694米,押2付3,8500,中楼层/21层,154.53,红木林北区,简装
整租,,押2付3,6500,低楼层/16层,140,首邑溪谷,精装
整租,距离地铁清源路637米,押2付3,5500,中楼层/18层,94,兴华园,精装
整租,距离地铁清源路637米,押2付3,5200,低楼层/18层,85,兴华园,精装
整租,,押1付3,4700,低楼层/19层,90,东亚马赛公馆,中装
整租,距离地铁枣园454米,押1付3,4800,中楼层/6层,76,枣园小区,精装
合租,,押2付3,1900,低楼层/20层,85,东亚马赛公馆,精装
合租,距离地铁枣园235米,押1付3,1500,低楼层/6层,75,枣园东里,精装
整租,距离地铁清源路331米,押1付3,3700,高楼层/6层,60,清源西里,精装
整租,距离地铁枣园576米,押2付3,4600,高楼层/18层,90,彩虹新城,简装
整租,,押1付12,4700,中楼层/15层,93,首开康乃馨城,精装
整租,距离地铁枣园454米,押1付3,12000,顶层/6层,201.26,枣园小区,精装
整租,距离地铁枣园454米,押2付3,4000,高楼层/6层,70,枣园小区,中装
合租,距离地铁枣园454米,押2付3,1600,高楼层/6层,75,枣园小区,精装
合租,距离地铁枣园454米,押1付3,2300,顶层/6层,124.6,枣园小区,精装
合租,距离地铁枣园454米,押2付3,1500,低楼层/6层,9,枣园小区,中装
整租,距离地铁高米店南645米,押1付12,8000,低楼层/12层,146,原生墅,精装
枣园,距离地铁枣园827米,押1付3,3400,底层/6层,60,滨河东里,其他
枣园,距离地铁枣园582米,押1付3,3400,中楼层/6层,50,滨河西里北区,其他
整租,距离地铁枣园198米,押2付3,5800,中楼层/34层,90,中建国际港,精装
枣园,距离地铁枣园576米,押1付3,5000,中楼层/16层,88.56,彩虹新城,其他
整租,,押2付3,4200,底层/22层,87.35,兴康家园,中装
枣园,距离地铁清源路1420米,押1付3,4200,顶层/21层,78,康宜家园,其他
整租,距离地铁枣园422米,押1付3,4800,中楼层/17层,83,枣园尚城南区,精装
整租,距离地铁枣园422米,押2付3,3900,低楼层/17层,62,枣园尚城南区,中装
整租,,押1付3,13800,低楼层/5层,222.22,首邑溪谷,简装
整租,距离地铁高米店南1218米,押2付3,6000,高楼层/6层,122.5,泰中花园,精装
整租,,押2付3,6200,中楼层/16层,105,首邑溪谷,豪装
整租,距离地铁枣园235米,押2付3,4200,高楼层/6层,82,枣园东里,精装
整租,,押2付3,17000,低楼层/17层,200,首邑溪谷,豪装
合租,距离地铁枣园576米,押2付3,2800,高楼层/18层,18,彩虹新城,精装
整租,,押1付3,4500,高楼层/6层,49.74,东亚马赛公馆,精装
整租,距离地铁枣园1280米,押1付3,4500,低楼层/12层,85,丽园189号院,中装
整租,距离地铁枣园576米,押2付3,5300,中楼层/18层,89,彩虹新城,简装
整租,距离地铁枣园235米,押1付3,4300,中楼层/6层,85,枣园东里,精装
整租,,押1付3,4500,低楼层/14层,103,康庄路50号院,中装
整租,,押2付3,4200,中楼层/17层,80,首邑溪谷,精装
整租,距离地铁枣园1493米,押1付3,4500,中楼层/8层,87,康庄路8号院,中装
整租,距离地铁清源路1006米,押2付3,3800,顶层/6层,41.97,滨河坊,精装
整租,距离地铁枣园235米,押2付3,5000,中楼层/6层,82,枣园东里,精装
整租,距离地铁枣园1333米,押2付3,4600,顶层/4层,100,康庄路37号院,精装
整租,距离地铁枣园681米,押2付3,3800,中楼层/6层,57.12,滨河西里,简装
距离地铁枣园454米,距离地铁枣园454米,押1付3,1800,高楼层/6层,20,枣园小区,合租
枣园,距离地铁枣园198米,押1付3,5500,高楼层/34层,88,中建国际港,其他
距离地铁清源路637米,距离地铁清源路637米,押1付3,1300,中楼层/18层,11,兴华园,合租
枣园,距离地铁枣园198米,押1付3,4800,中楼层/34层,90,中建国际港,其他
枣园,距离地铁枣园198米,押1付3,5600,高楼层/34层,87,中建国际港,其他
距离地铁清源路637米,距离地铁清源路637米,押1付3,1700,中楼层/18层,11,兴华园,合租
枣园,距离地铁枣园198米,押1付3,5400,中楼层/34层,90.5,中建国际港,其他
枣园,距离地铁枣园576米,押1付3,3600,中楼层/18层,58.85,彩虹新城,其他
枣园,距离地铁枣园582米,押1付3,2500,高楼层/6层,75,滨河西里北区,其他
距离地铁枣园454米,距离地铁枣园454米,押1付3,1800,低楼层/6层,15,枣园小区,合租
距离地铁枣园454米,距离地铁枣园454米,押1付3,1800,中楼层/6层,15,枣园小区,合租
枣园,,押1付3,4300,中楼层/20层,86,首开康乃馨城,其他
距离地铁枣园454米,距离地铁枣园454米,押1付3,1600,中楼层/6层,16,枣园小区,合租
距离地铁清源路637米,距离地铁清源路637米,押1付3,1400,高楼层/18层,11,兴华园,合租
枣园,距离地铁枣园582米,押1付3,3300,中楼层/6层,60.2,滨河西里北区,其他
枣园,,押1付3,4400,底层/16层,47,首邑溪谷,其他
枣园,,押1付3,4200,底层/14层,46.74,首邑溪谷,其他
