chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3500,低楼层/11层,85,加州水郡西区四期,中装
整租,,押2付3,3600,中楼层/15层,105,溪雅苑二区,中装
整租,距离地铁广阳城1385米,押1付6,2700,中楼层/6层,60,小西庄,中装
整租,距离地铁长阳586米,押1付3,4500,中楼层/28层,89.98,长阳半岛祥云街2号院,精装
整租,距离地铁长阳787米,押2付3,4000,中楼层/20层,80,长阳国际城二里,中装
整租,,押1付3,3300,低楼层/14层,88,加州水郡西区四期,简装
整租,,押2付3,3500,中楼层/11层,91.57,加州水郡西区四期,中装
整租,,押1付3,4500,低楼层/15层,123.53,梧杖爱,精装
整租,,押2付3,3600,顶层/9层,95,加州水郡东区菱形公寓,精装
整租,,押1付3,5000,低楼层/18层,118.5,天资华府,精装
整租,,押1付3,3500,低楼层/14层,86,加州水郡西区三期,精装
整租,,押2付3,3500,中楼层/15层,90,加州水郡西区四期,中装
合租,,押2付3,1200,中楼层/6层,100,碧桂园温泉小区,中装
整租,,押1付3,2800,中楼层/14层,58,加州水郡西区四期,精装
整租,,押1付3,2800,中楼层/11层,58.3,加州水郡西区三期,精装
整租,,押2付3,2800,中楼层/11层,58.77,加州水郡西区四期,精装
整租,距离地铁广阳城773米,押2付3,3400,中楼层/5层,90,房山区天骄俊园,精装
整租,距离地铁长阳628米,押2付3,4300,高楼层/20层,93,长阳半岛云湾家园怡和路1号院,简装
整租,,押2付3,3500,低楼层/15层,98.57,溪雅苑二区,精装
整租,,押2付3,1400,低楼层/13层,137,天资华府,中装
整租,,押2付3,3600,底层/15层,92,加州水郡西区四期,精装
整租,,押1付3,5000,高楼层/11层,132,加州水郡西区三期,精装
整租,距离地铁篱笆房900米,押1付12,3900,底层/12层,90,清雅小区,精装
整租,,押2付3,3500,高楼层/11层,87,加州水郡西区三期,简装
合租,距离地铁长阳586米,押2付3,1750,顶层/9层,13,长阳半岛祥云街2号院,精装
整租,,押1付3,3600,高楼层/15层,83,加州水郡西区三期,精装
随时看房,距离地铁广阳城1385米,,3000,低楼层/6层,85,小西庄,中装
随时看房,,,3500,顶层/11层,86,加州水郡西区三期,简装
整租,距离地铁长阳755米,押1付3,6200,底层/9层,130,徜徉嘉园祥云街5号院,精装
整租,,押1付3,3200,中楼层/15层,87,加州水郡西区四期,中装
整租,,押1付3,3800,低楼层/15层,95,溪雅苑二区,精装
整租,距离地铁广阳城507米,押1付3,3800,中楼层/6层,117.22,碧波园一期,精装
整租,,押1付3,3000,低楼层/14层,85.83,加州水郡西区四期,精装
整租,距离地铁长阳586米,押2付3,4000,低楼层/28层,87,长阳半岛祥云街2号院,精装
整租,,押1付3,3700,顶层/14层,89,加州水郡西区四期,精装
整租,,押1付6,16500,底层/3层,300,加州水郡东区别墅,中装
整租,距离地铁广阳城1385米,押1付3,3200,底层/6层,84,小西庄,精装
整租,,押2付3,3500,低楼层/11层,87.05,加州水郡西区三期,简装
整租,距离地铁长阳787米,押2付3,4200,高楼层/20层,81,长阳国际城二里,简装
整租,距离地铁长阳1306米,押1付3,4200,低楼层/20层,80,长阳国际城一里,精装
整租,,押1付3,3800,中楼层/14层,108.28,溪雅苑二区,精装
电话预约,距离地铁广阳城777米,押2付3,8000,底层/2层,240,世茂维拉,毛坯
整租,距离地铁广阳城850米,押2付3,3000,高楼层/6层,60,广阳城新区,精装
整租,,押1付6,4900,低楼层/11层,80.99,首创新悦都二区,中装
整租,,押1付3,3700,底层/18层,75.4,首创新悦都二区,中装
整租,,押1付3,2800,底层/15层,86.87,加州水郡西区三期,精装
整租,距离地铁广阳城507米,押1付3,3500,顶层/6层,112,碧波园一期,中装
整租,距离地铁篱笆房501米,押1付3,4600,中楼层/10层,88,芭蕾雨一期,精装
整租,,押1付3,2500,中楼层/15层,74,溪雅苑二区,简装
整租,距离地铁良乡大学城810米,押2付3,5500,中楼层/11层,95,万科长阳天地长悦路5号院,精装
合租,,押1付3,1250,高楼层/18层,135,天资华府,精装
整租,距离地铁长阳1084米,押1付12,4200,高楼层/15层,89.5,长阳国际城三里,精装
整租,,押1付3,3700,中楼层/15层,103.51,梧杖爱,精装
整租,,押1付3,5000,中楼层/8层,97,翠林漫步二期,精装
整租,,押1付3,3600,高楼层/15层,107.63,梧杖爱,简装
整租,,押2付3,18000,底层/1层,298,加州水郡东区别墅,中装
整租,,押2付3,4000,底层/14层,159,溪雅苑一区,毛坯
整租,,押1付3,4000,高楼层/16层,95,天资华府,精装
整租,距离地铁长阳1306米,押2付3,4500,底层/20层,88.88,长阳国际城一里,精装
整租,距离地铁广阳城777米,押2付3,2800,中楼层/15层,69,世茂维拉,精装
整租,,押2付3,4500,中楼层/9层,158.18,加州水郡东区菱形公寓,中装
整租,,押1付6,5000,高楼层/11层,103,长阳半岛紫云家园怡和南路10号院,精装
整租,距离地铁长阳586米,押2付3,21000,底层/9层,85,长阳半岛祥云街2号院,精装
