chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,2300,中楼层/6层,106,世界名园B区,精装
整租,,押1付3,3000,高楼层/9层,126,城建琨廷北区,精装
整租,,押1付3,2600,低楼层/6层,106,世界名园A区,精装
随时看房,,,1600,高楼层/6层,73,田家园一区,中装
整租,,押1付3,1300,高楼层/6层,28.32,沁园·春景,精装
整租,,押2付3,1800,高楼层/6层,85,田家园新村南,中装
整租,,押2付3,2000,低楼层/15层,99,田家园新村,精装
整租,,押1付3,1800,高楼层/6层,80,金鑫苑,中装
整租,,押1付3,2300,底层/6层,115,康乐园,中装
整租,,押2付3,1800,底层/6层,75,山水汇豪A区,中装
整租,,押2付3,1900,底层/6层,87,金鑫苑,中装
整租,,押1付3,2000,顶层/6层,120,山水汇豪A区,简装
整租,,押1付3,2800,中楼层/15层,83,万科幸福汇,精装
整租,,押1付3,2000,高楼层/6层,88,田家园二区,精装
随时看房,,,2800,低楼层/10层,139,明峻嘉园,中装
合租,,押2付3,1600,中楼层/6层,100,京南嘉园,简装
整租,,押2付3,3500,中楼层/13层,95,万科幸福汇,精装
整租,,押1付3,3500,中楼层/13层,95,万科幸福汇,精装
整租,,押2付3,1700,低楼层/6层,86.84,金鑫苑,简装
整租,,押1付3,2000,顶层/6层,133.06,沁园·春景,简装
整租,,押1付3,3000,高楼层/15层,100.63,城建琨廷北区,精装
整租,,押1付3,2600,高楼层/6层,100.4,城建琨廷南区,简装
整租,,押1付6,2000,底层/6层,73,田家园二区,精装
合租,,押1付3,1000,中楼层/6层,100.4,沁馥家园,精装
整租,,押1付3,1800,高楼层/6层,98,田家园二区,中装
整租,,押1付3,2000,低楼层/6层,90.04,沁园·春景,简装
整租,,押2付3,3000,低楼层/9层,127,城建琨廷北区,中装
整租,,押2付3,2500,底层/8层,85,万科幸福汇,中装
整租,,押1付3,2400,中楼层/15层,80,万科幸福汇,精装
整租,,押2付3,3200,低楼层/9层,126,城建琨廷北区,精装
