chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁房山城关1420米,押1付3,1800,高楼层/6层,59.58,城关南里,中装
整租,距离地铁房山城关623米,押1付3,1800,顶层/6层,75,顺成嘉苑,简装
整租,距离地铁房山城关1420米,押1付3,1500,中楼层/5层,56,城关南里,简装
整租,,押1付3,2600,高楼层/6层,113,九洲兴达家园A区,精装
整租,距离地铁房山城关1162米,押2付3,2400,低楼层/4层,80,兴房大街12号院,中装
整租,距离地铁房山城关1437米,押2付3,1700,中楼层/6层,46,永安西里,中装
整租,距离地铁房山城关783米,押2付3,1900,顶层/6层,80,槠榆树家园17-20号,简装
整租,距离地铁房山城关765米,押1付3,1600,顶层/6层,60,万宁小区,中装
整租,距离地铁饶乐府785米,押2付3,2700,中楼层/20层,87.44,原香漫谷一区,精装
整租,距离地铁饶乐府105米,押2付3,2400,高楼层/20层,90.67,原香漫谷二区,中装
整租,,押1付3,2000,低楼层/6层,90,矿机北门,简装
整租,距离地铁房山城关1420米,押2付3,1300,顶层/6层,44.21,城关南里,简装
电话预约,距离地铁房山城关1177米,,2300,中楼层/6层,86.7,兴房大街14号院,精装
整租,,押1付3,1500,中楼层/7层,55,矿机西门,简装
整租,距离地铁房山城关1372米,押2付3,1900,中楼层/6层,52,山水家园,简装
随时看房,,,2200,低楼层/6层,95,九洲兴达家园A区,简装
整租,距离地铁房山城关1420米,押2付3,1700,中楼层/5层,56.8,城关南里,简装
整租,距离地铁房山城关257米,押1付3,1700,低楼层/4层,38.44,城关北里,精装
整租,距离地铁房山城关765米,押2付3,1600,中楼层/6层,54.29,万宁小区,简装
整租,,押2付3,1700,中楼层/6层,60,南关大街63、65、67号,简装
整租,距离地铁房山城关783米,押2付3,1300,顶层/6层,45.5,槠榆树家园17-20号,简装
整租,距离地铁房山城关1437米,押2付3,1500,中楼层/6层,54,永安西里,中装
随时看房,距离地铁房山城关1437米,,1800,中楼层/6层,58.27,永安西里,简装
随时看房,距离地铁房山城关1372米,,2000,中楼层/6层,85.27,山水家园,简装
整租,距离地铁房山城关765米,押1付3,1600,低楼层/6层,50,万宁小区,中装
整租,距离地铁房山城关549米,押2付3,1500,顶层/6层,60,东城根,简装
整租,距离地铁房山城关623米,押2付3,2000,中楼层/5层,89,顺成嘉苑,中装
整租,,押1付3,1900,高楼层/6层,80,九洲兴达家园A区,简装
整租,距离地铁房山城关1349米,押1付3,1800,中楼层/6层,76.95,管道局社区,精装
整租,,押2付3,2100,低楼层/6层,101,永安家园,简装
整租,距离地铁房山城关1397米,押1付3,1700,中楼层/6层,51,中医院家属楼,精装
整租,,押1付3,2200,底层/6层,65.13,南关大街63、65、67号,简装
整租,距离地铁马各庄524米,押2付3,1500,底层/15层,86.98,中冶蓝城德润街12号院,毛坯
电话预约,,,2500,高楼层/20层,87.49,原香漫谷四区,精装
整租,,押1付3,1500,中楼层/7层,65.9,矿机西门,中装
整租,距离地铁房山城关1239米,押2付3,1600,低楼层/6层,60,靶场路小区,简装
整租,距离地铁房山城关857米,押2付3,2400,低楼层/6层,78.12,万宁新区,精装
整租,,押2付3,1800,中楼层/6层,75,洪顺家园A区,中装
整租,距离地铁房山城关1420米,押2付3,2200,中楼层/5层,70,城关南里,简装
整租,距离地铁饶乐府105米,押2付3,2400,中楼层/20层,88.64,原香漫谷二区,精装
整租,距离地铁饶乐府785米,押1付3,2400,中楼层/12层,96,原香漫谷一区,中装
整租,距离地铁马各庄524米,押1付3,2500,低楼层/15层,89.86,中冶蓝城德润街12号院,精装
整租,距离地铁房山城关1437米,押1付3,1700,低楼层/6层,50,永安西里北区,精装
整租,,押1付3,2200,顶层/6层,97,永乐园社区,简装
整租,,押2付3,1800,低楼层/6层,70,农林路,简装
随时看房,距离地铁房山城关1349米,,1500,顶层/6层,70,管道局社区,简装
房山城关,,押1付3,1800,顶层/6层,80,槠榆树西路9号院,中装
整租,距离地铁房山城关257米,押1付3,1700,高楼层/7层,64,城关北里,中装
整租,距离地铁房山城关623米,押2付3,2200,高楼层/6层,80,顺成嘉苑,中装
整租,,押2付3,2100,高楼层/6层,61,农林路,简装
距离地铁房山城关1420米,距离地铁房山城关1420米,押2付3,1800,低楼层/5层,57,城关南里,随时看房
整租,,押2付3,2200,顶层/9层,72,原香漫谷四区,精装
整租,距离地铁房山城关623米,押2付3,2000,高楼层/6层,74,顺成嘉苑,中装
整租,,押1付12,1700,中楼层/6层,40,槠榆树西路9号院,精装
房山城关,距离地铁房山城关166米,押1付3,2100,中楼层/6层,95,燕房路小区,精装
整租,距离地铁饶乐府230米,押2付3,3000,顶层/15层,99,中冶蓝城德润街11号院,精装
整租,距离地铁房山城关1231米,押2付3,2100,顶层/6层,95.51,洪福家园,简装
整租,,押1付3,2000,低楼层/6层,97.14,房山永安路小区,简装
整租,,押2付3,4000,底层/6层,119.57,良工佳苑,简装
整租,距离地铁房山城关166米,押2付3,1600,顶层/6层,65,燕房路小区,简装
整租,距离地铁房山城关917米,押2付3,1900,中楼层/7层,86,永乐园三里,中装
整租,距离地铁房山城关1349米,押2付3,1800,中楼层/4层,60,管道局社区,简装
整租,,押1付3,1700,顶层/6层,81,洪顺家园A区,简装
整租,,押2付3,2500,中楼层/6层,81.25,房山西大街6号,中装
整租,距离地铁房山城关1231米,押2付3,2100,顶层/6层,95.51,洪福家园,中装
整租,距离地铁良乡南关815米,押2付3,1600,顶层/6层,91.67,矿机东门,中装
整租,,押2付6,2200,低楼层/6层,85.17,永乐园社区,简装
整租,距离地铁房山城关857米,押1付3,2100,底层/6层,80.61,万宁新区,中装
整租,距离地铁饶乐府230米,押1付3,2500,顶层/15层,100,中冶蓝城德润街11号院,精装
随时看房,距离地铁房山城关547米,,1700,底层/12层,55,富仕苑小区,精装
整租,距离地铁房山城关547米,押1付3,1800,高楼层/12层,90,富仕苑小区,简装
整租,,押2付3,1800,顶层/6层,94.8,九洲兴达家园A区,精装
整租,,押1付3,3000,底层/6层,98,房山西大街6号,精装
整租,距离地铁房山城关257米,押1付3,2200,顶层/6层,85,城关北里,中装
整租,,押1付3,2200,低楼层/20层,88,原香漫谷四区,简装
整租,距离地铁房山城关965米,押1付3,2300,中楼层/4层,76,吉兴苑,精装
整租,距离地铁房山城关1197米,押2付3,1800,中楼层/5层,47,南沿里,精装
整租,,押1付3,1800,顶层/6层,115.17,农林路,简装
随时看房,距离地铁房山城关765米,,2000,顶层/5层,70,万宁小区,简装
整租,距离地铁房山城关857米,押2付3,2300,高楼层/6层,81,万宁新区,中装
整租,距离地铁房山城关1420米,押2付3,1700,中楼层/5层,55,城关南里,简装
整租,,押2付3,1300,顶层/6层,50,南关大街63、65、67号,简装
整租,,押2付3,2500,高楼层/6层,102,永安家园,中装
