chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,1600,高楼层/18层,50,福鼎广场,中装
整租,,押2付3,1250,低楼层/6层,54,双惠园,中装
整租,距离地铁阎村东898米,押2付3,2300,顶层/6层,82,东沿村新村,精装
整租,距离地铁紫草坞1461米,押1付3,3000,底层/6层,91.66,千禧家园,中装
整租,距离地铁阎村东664米,押1付3,2000,高楼层/6层,50,金鸽园南区,中装
整租,,押1付3,1500,高楼层/6层,80,西山小镇,中装
整租,距离地铁阎村东589米,押2付3,1000,顶层/6层,15,金鸽园东区,简装
整租,,押1付3,1800,低楼层/18层,53,福鼎广场,精装
整租,距离地铁阎村东589米,押1付3,2500,底层/6层,86,金鸽园东区,简装
电话预约,,,1500,中楼层/17层,35,福鼎广场,精装
整租,,押1付3,1600,中楼层/6层,96,新海龙乡苑,中装
整租,,押1付3,1100,中楼层/6层,37.8,西山小镇,精装
整租,,押1付3,1500,中楼层/17层,35,福鼎广场,中装
整租,,押1付3,1700,中楼层/6层,85,西山小镇,简装
整租,,押1付3,1800,高楼层/18层,70,福鼎广场,简装
整租,,押2付3,1500,中楼层/6层,90,新海龙乡苑,中装
整租,,押2付3,1400,高楼层/6层,90,西山小镇,简装
整租,距离地铁紫草坞1461米,押2付3,3600,中楼层/6层,126,千禧家园,精装
整租,距离地铁阎村东898米,押2付3,2500,低楼层/6层,80,东沿村新村,简装
整租,,押2付3,1700,低楼层/18层,68,福鼎广场,中装
整租,距离地铁阎村东664米,押1付3,2300,顶层/6层,89,金鸽园南区,精装
整租,,押1付3,1800,高楼层/18层,70,福鼎广场,简装
整租,,押1付3,2000,中楼层/18层,69.69,福鼎广场,中装
整租,距离地铁阎村东898米,押2付3,2000,低楼层/6层,45,东沿村新村,中装
随时看房,,,1800,低楼层/18层,58,福鼎广场,精装
整租,,押1付3,1700,高楼层/6层,127.67,奥龙嘉苑,精装
整租,,押1付3,1300,中楼层/6层,42,西山小镇,精装
整租,,押2付3,1900,高楼层/17层,53,福鼎广场,中装
整租,,押2付3,1700,低楼层/18层,59.6,福鼎广场,简装
整租,,押2付3,1500,顶层/17层,33,福鼎广场,精装
,,押1付3,1000,中楼层/5层,54.61,燕麓苑西区,随时看房
整租,,押1付3,1100,中楼层/6层,73,西山小镇,中装
整租,,押1付3,1400,高楼层/18层,38,福鼎广场,精装
整租,,押2付3,1500,底层/6层,96,天合嘉园,中装
整租,距离地铁阎村东589米,押2付3,2200,顶层/6层,86,金鸽园东区,中装
整租,距离地铁阎村东589米,押1付3,2000,高楼层/6层,85,金鸽园东区,简装
整租,,押1付3,1500,高楼层/18层,70,福鼎广场,精装
整租,,押1付3,1500,中楼层/6层,90,新海龙乡苑,中装
整租,,押1付3,1500,高楼层/6层,96,新海龙乡苑,中装
