chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,1400,底层/5层,68,雅苑,简装
整租,,押1付3,2300,中楼层/6层,108.88,韩村河西小区,简装
整租,,押2付3,1600,中楼层/5层,90.1,雅苑,简装
整租,,押1付12,2000,中楼层/5层,112,雅苑,简装
整租,,押2付3,1700,中楼层/6层,108,韩村河西小区,简装
整租,,押1付3,1800,中楼层/6层,108.88,韩村河西小区,简装
整租,,押1付12,1500,顶层/6层,197.7,韩村河西小区,毛坯
整租,,押1付3,2000,中楼层/6层,108.88,韩村河西小区,简装
整租,,押2付3,2000,中楼层/6层,101,雅苑,精装
整租,,押1付6,2000,中楼层/7层,97,云龙阁,简装
整租,,押1付3,1800,低楼层/6层,82.65,韩村河西小区,简装
整租,,押1付3,2200,低楼层/6层,117.78,韩村河西小区,简装
整租,,押2付3,1800,中楼层/5层,90.1,雅苑,中装
整租,,押1付3,1600,高楼层/6层,82,韩村河西小区,简装
整租,,押2付3,2000,低楼层/5层,120,雅苑,中装
整租,,押2付3,2000,低楼层/4层,90,芦苇小区,简装
整租,,押2付3,1600,高楼层/6层,82.65,韩村河西小区,简装
整租,,押1付12,2000,底层/4层,90,芦苇小区,简装
整租,,押2付3,2000,中楼层/5层,80,雅苑,中装
整租,,押2付3,2000,低楼层/4层,90,芦苇小区,简装
整租,,押1付3,1800,低楼层/5层,90.09,雅苑,中装
整租,,押2付3,1800,高楼层/6层,94.15,韩村河西小区,中装
整租,,押1付12,2200,中楼层/6层,108,韩村河西小区,中装
整租,,押2付3,1700,顶层/6层,101,雅苑,中装
整租,,押1付12,1500,高楼层/6层,138.49,韩村河西小区,中装
整租,,押2付3,1800,高楼层/6层,138,韩村河西小区,简装
整租,,押1付12,1800,顶层/5层,120,雅苑,简装
整租,,押1付12,2000,顶层/6层,180,雅苑,中装
整租,,押1付3,1650,中楼层/5层,94.81,雅苑,简装
整租,,押1付12,2500,顶层/5层,169,雅苑,精装
合租,,押1付3,1000,低楼层/6层,101,雅苑,精装
整租,,押1付3,1600,中楼层/5层,90.09,雅苑,简装
整租,,押1付12,2500,中楼层/6层,117,韩村河西小区,中装
整租,,押2付3,1600,中楼层/5层,90.09,雅苑,简装
整租,,押2付3,1100,中楼层/6层,117,韩村河西小区,毛坯
电话预约,,,1000,顶层/5层,80,芦苇小区,简装
