chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁良乡南关466米,押2付3,3300,高楼层/15层,79.65,署前街家园,精装
整租,距离地铁苏庄532米,押2付3,3000,中楼层/6层,97,良乡西路甲7号,中装
整租,距离地铁苏庄367米,押2付3,2800,高楼层/11层,81,西路时代,中装
电话预约,距离地铁良乡南关1078米,,2800,底层/5层,78,西潞东里,中装
整租,距离地铁良乡大学城西868米,押2付3,3100,中楼层/17层,89,瑞雪春堂二里,中装
电话预约,,,4000,中楼层/10层,100,北潞春,精装
整租,,押2付3,3300,低楼层/11层,102.37,文水家园,中装
整租,距离地铁良乡南关434米,押2付3,3500,顶层/6层,109.8,罗府家园,中装
整租,,押1付3,3500,中楼层/6层,89.94,建华北里小区,精装
电话预约,,,2300,低楼层/6层,41,四合巷小区,中装
整租,距离地铁良乡大学城西265米,押1付3,4200,中楼层/6层,124,鸿顺园,精装
整租,距离地铁良乡大学城西265米,押1付3,4200,低楼层/6层,116,鸿顺园,中装
随时看房,距离地铁苏庄272米,,3200,低楼层/14层,95,佳世苑北区,中装
整租,,押2付3,2700,顶层/6层,89.94,建华北里小区,精装
整租,距离地铁良乡南关297米,押2付3,3000,中楼层/6层,83,长虹小区,简装
整租,距离地铁良乡大学城西234米,押1付3,3500,高楼层/9层,98,昊天之都,中装
整租,,押1付3,2500,中楼层/6层,54,宜春里社区,中装
整租,,押1付3,3200,中楼层/6层,88,北潞冠,中装
整租,,押1付3,3800,中楼层/6层,121,北潞冠,中装
整租,距离地铁苏庄272米,押1付3,3300,底层/15层,159.26,佳世苑北区,中装
整租,,押2付3,2600,中楼层/6层,52,宜春里社区,简装
随时看房,距离地铁苏庄966米,,3200,顶层/6层,0,月华小区,精装
整租,,押1付3,2700,中楼层/6层,70,北潞华,精装
整租,距离地铁苏庄1117米,押2付3,2200,中楼层/9层,40,阳光公寓,精装
整租,距离地铁良乡南关1246米,押2付3,3000,高楼层/6层,86.16,聪慧里,精装
整租,距离地铁苏庄1210米,押3付3,3000,中楼层/6层,74.7,西潞园一里,中装
整租,距离地铁良乡南关297米,押1付3,3500,高楼层/6层,100,长虹小区,中装
整租,距离地铁苏庄1210米,押1付3,2700,顶层/6层,75,西潞园一里,简装
整租,距离地铁良乡大学城西265米,押2付3,3000,高楼层/6层,103.3,鸿顺园,中装
整租,,押1付12,3200,低楼层/6层,95,政通路西里,精装
整租,,押1付3,4000,中楼层/18层,97,首创伊林郡一期,中装
合租,距离地铁良乡大学城西781米,押2付3,1500,顶层/6层,87,阳光邑上,精装
合租,,押1付3,2400,底层/5层,56.5,昊天大街17号院,简装
整租,,押1付6,4000,高楼层/11层,126,北潞华,中装
整租,,押1付3,3500,底层/6层,119,政通路西里,简装
整租,距离地铁苏庄1234米,押1付3,2400,高楼层/10层,56,蓝光星华海悦城,精装
整租,,押2付3,3000,顶层/6层,130,北潞冠,中装
整租,距离地铁良乡大学城西1103米,押2付3,2800,低楼层/7层,83,伟业嘉园西里,中装
整租,距离地铁苏庄1341米,押1付3,5500,低楼层/24层,210,时尚家园,简装
整租,距离地铁苏庄1373米,押1付3,3000,底层/6层,87,西潞园二里,中装
电话预约,,,2800,低楼层/6层,88,东关家园,中装
整租,距离地铁苏庄1117米,押2付3,2400,顶层/9层,40,阳光公寓,精装
